Date,CHTR
2020-01-01,436.56333608396073
2020-01-02,436.1451941781493
2020-01-03,427.82154293260623
2020-01-06,446.0404881096656
2020-01-07,458.8782654712333
2020-01-08,460.89680380088447
2020-01-09,439.377006730916
2020-01-10,427.7494379846354
2020-01-13,425.24200310039225
2020-01-14,426.67927006170925
2020-01-15,423.48922780318037
2020-01-16,425.826316050556
2020-01-17,437.13988341173064
2020-01-20,428.8345320226919
2020-01-21,438.93318836040686
2020-01-22,444.42501190688967
2020-01-23,430.3943346774055
2020-01-24,444.93610092343226
2020-01-27,433.5883678189907
2020-01-28,448.97873267273417
2020-01-29,435.1943799991295
2020-01-30,456.33912009999295
2020-01-31,468.46998057212085
2020-02-03,458.8413955199488
2020-02-04,453.6261465670173
2020-02-05,452.3539728212468
2020-02-06,452.31480020042915
2020-02-07,446.9447440656797
2020-02-10,445.38702867956357
2020-02-11,432.9966986873142
2020-02-12,444.5261725476981
2020-02-13,449.76221934392055
2020-02-14,456.86545929930816
2020-02-17,475.6917440667949
2020-02-18,472.77077503628016
2020-02-19,474.63745194075915
2020-02-20,468.48825284419337
2020-02-21,457.1370660385694
2020-02-24,446.5198070989723
2020-02-25,451.37196210610557
2020-02-26,447.27775895930193
2020-02-27,431.1144360058669
2020-02-28,431.02350088841274
2020-03-02,435.533570195592
2020-03-03,425.2123619089157
2020-03-04,430.55973067132516
2020-03-05,423.07449400886475
2020-03-06,408.9158270153011
2020-03-09,407.7046960145842
2020-03-10,411.84784030610825
2020-03-11,419.2641567326114
2020-03-12,408.00524158182117
2020-03-13,404.64280822539945
2020-03-16,409.45188805638804
2020-03-17,409.3650646857112
2020-03-18,394.04958944914426
2020-03-19,397.47523223146317
2020-03-20,399.8031468669909
2020-03-23,393.7106652493088
2020-03-24,388.5713631034983
2020-03-25,370.6680576779958
2020-03-26,366.81982114709837
2020-03-27,364.7240911455289
2020-03-30,351.78018812000676
2020-03-31,352.9363896234935
2020-04-01,367.79301447556384
2020-04-02,375.43386941039427
2020-04-03,381.4533627317253
2020-04-06,368.7604294317021
2020-04-07,367.36196116046835
2020-04-08,371.2608710499479
2020-04-09,374.58643582045244
2020-04-10,371.31163749463747
2020-04-13,373.0383813566455
2020-04-14,362.8511324147903
2020-04-15,359.74330573691674
2020-04-16,357.6815475062649
2020-04-17,365.609920186243
2020-04-20,379.8084692777055
2020-04-21,364.3301043888478
2020-04-22,366.19985903661245
2020-04-23,362.10806205013694
2020-04-24,365.06195636725374
2020-04-27,359.3152971177517
2020-04-28,371.6447606530816
2020-04-29,375.83509566985947
2020-04-30,383.04527443789567
2020-05-01,389.39199112072464
2020-05-04,395.09256727422985
2020-05-05,388.64562639497353
2020-05-06,390.7886018323043
2020-05-07,404.9516059944277
2020-05-08,414.6677459392335
2020-05-11,431.5869799652195
2020-05-12,440.4001023850484
2020-05-13,450.46121948101467
2020-05-14,443.63918463455803
2020-05-15,443.1824239734397
2020-05-18,437.75010801019374
2020-05-19,427.87440108451113
2020-05-20,428.30028238828857
2020-05-21,426.9297388953155
2020-05-22,443.0914513023508
2020-05-25,455.24214497043516
2020-05-26,459.31872365420014
2020-05-27,464.2546466185994
2020-05-28,469.1412880123143
2020-05-29,458.0944473453172
2020-06-01,450.0918190196395
2020-06-02,441.5772222394452
2020-06-03,437.191772941007
2020-06-04,435.6415932982113
2020-06-05,436.22106997723245
