Date,TPR
2020-01-01,446.66524307083927
2020-01-02,436.49222405277357
2020-01-03,428.23766176274256
2020-01-06,439.14841852648505
2020-01-07,441.0750694326639
2020-01-08,422.53048341404724
2020-01-09,419.85118021273837
2020-01-10,439.86639840698166
2020-01-13,455.85247160907187
2020-01-14,456.03345790883884
2020-01-15,468.4165062598
2020-01-16,474.19875989728666
2020-01-17,489.09196903478164
2020-01-20,484.19432092494793
2020-01-21,482.1734691625779
2020-01-22,487.9056922592276
2020-01-23,474.88284389944107
2020-01-24,459.6586456753037
2020-01-27,454.19020821642744
2020-01-28,453.18361454770775
2020-01-29,464.64776470430786
2020-01-30,439.5859598018518
2020-01-31,429.9554153110151
2020-02-03,434.2849682840299
2020-02-04,441.16521882063205
2020-02-05,441.8258046830702
2020-02-06,447.78871125135964
2020-02-07,432.35349914149833
2020-02-10,421.8709422719341
2020-02-11,428.02469500088006
2020-02-12,429.4058360392868
2020-02-13,439.0885205278561
2020-02-14,455.874797649138
2020-02-17,447.3804882112071
2020-02-18,451.483485682949
2020-02-19,457.00195204491905
2020-02-20,470.53204836725854
2020-02-21,493.73052561465704
2020-02-24,501.1046860923173
2020-02-25,512.3474734947125
2020-02-26,507.8253258009222
2020-02-27,511.75387153626264
2020-02-28,518.300192328282
2020-03-02,515.8276530493936
2020-03-03,517.1414847988392
2020-03-04,499.9045190401274
2020-03-05,499.0204989113737
2020-03-06,491.23673199481993
2020-03-09,480.95148272514064
2020-03-10,474.43036174185016
2020-03-11,480.7948546980523
2020-03-12,475.5241199817284
2020-03-13,462.07555674506904
2020-03-16,464.01223166085197
2020-03-17,454.34185282586964
2020-03-18,457.89616930575295
2020-03-19,451.19867324969005
2020-03-20,449.88307532324836
2020-03-23,455.1974377389098
2020-03-24,455.78136780371483
2020-03-25,450.7327513913438
2020-03-26,470.11162052022433
2020-03-27,479.7447608696327
2020-03-30,479.7804581185459
2020-03-31,462.861826509793
2020-04-01,479.8791128989099
2020-04-02,479.20273991304043
2020-04-03,488.96996163635987
2020-04-06,495.34977800502617
2020-04-07,485.2387084795327
2020-04-08,492.3041321383096
2020-04-09,508.6075315640255
2020-04-10,514.2554721746989
2020-04-13,526.7397952217814
2020-04-14,515.5626286072256
2020-04-15,539.8030294158359
2020-04-16,542.5228537137388
2020-04-17,543.3842323459043
2020-04-20,544.9158442663835
2020-04-21,561.9101461249448
2020-04-22,582.7893182397835
2020-04-23,582.9533839271239
2020-04-24,581.6084686145557
2020-04-27,581.0541657386034
2020-04-28,584.0161425065115
2020-04-29,576.9900859411955
2020-04-30,580.7347310814927
2020-05-01,562.3178511385228
2020-05-04,572.9581179105124
2020-05-05,561.8435235136246
2020-05-06,581.3895571368363
2020-05-07,556.739068484072
2020-05-08,562.3939210236213
2020-05-11,570.1503556478807
2020-05-12,559.5184785956787
2020-05-13,566.1478649459817
2020-05-14,562.3346819535991
2020-05-15,556.9232848230466
2020-05-18,538.0111114926677
2020-05-19,538.3925511896725
2020-05-20,551.1196516352948
2020-05-21,545.7683818066097
2020-05-22,543.8364754140588
2020-05-25,528.1713163614174
2020-05-26,521.4882293116307
2020-05-27,514.25180808747
2020-05-28,514.1108596940568
2020-05-29,518.3405182934503
2020-06-01,532.8016696905496
2020-06-02,520.4499980435168
2020-06-03,510.3759990765146
2020-06-04,500.82350312985403
2020-06-05,499.4086807899567
2020-06-08,496.19480446946284
2020-06-09,490.018156310929
2020-06-10,485.8553977322037
2020-06-11,467.1831393136436
2020-06-12,485.5921962207861
2020-06-15,493.6460875615385
2020-06-16,484.5084872229553
2020-06-17,480.26868042481726
2020-06-18,482.15338996891313
2020-06-19,496.8449241560615
2020-06-22,478.7375981551681
2020-06-23,504.170477487867
2020-06-24,484.82648222601625
2020-06-25,503.32406670717756
2020-06-26,508.845565496335
2020-06-29,519.601975138882
2020-06-30,525.5658082389418
2020-07-01,524.0956995661957
2020-07-02,504.5760668902211
2020-07-03,484.27533781787747
2020-07-06,478.46379983198204
2020-07-07,472.7046270280648
2020-07-08,464.99310480680765
2020-07-09,456.73123788307834
2020-07-10,452.9168950017767
2020-07-13,442.1307357101199
2020-07-14,446.3896566365304
2020-07-15,441.8608928177652
2020-07-16,441.9405080875835
2020-07-17,469.03570438456563
2020-07-20,466.5149040654102
2020-07-21,466.17073584523456
2020-07-22,449.6149474380992
2020-07-23,446.1541269351284
2020-07-24,441.3588684467265
2020-07-27,439.85197014515217
2020-07-28,447.271655424434
2020-07-29,447.1646535026302
2020-07-30,443.72939043866836
2020-07-31,435.01628796299843
2020-08-03,445.53856495339517
2020-08-04,446.03160162284564
2020-08-05,452.7039976646707
2020-08-06,456.5857157033342
2020-08-07,465.01323121292774
2020-08-10,462.1438292320871
2020-08-11,460.55005073725897
2020-08-12,462.50133765988664
2020-08-13,472.2535803872584
2020-08-14,464.7564065529404
2020-08-17,479.3155376011103
2020-08-18,498.5316827020572
2020-08-19,511.685415604929
2020-08-20,518.0585768373389
2020-08-21,518.2484723925004
2020-08-24,535.6446010788371
2020-08-25,530.5077414637907
2020-08-26,554.0769338703046
2020-08-27,565.9303489864948
2020-08-28,568.512787840529
2020-08-31,590.1630009148748
2020-09-01,579.9197095915696
2020-09-02,578.5749977934008
2020-09-03,588.2149971008845
2020-09-04,574.1349797978077
2020-09-07,564.6831927420652
2020-09-08,549.7614753393198
2020-09-09,539.7733061531544
2020-09-10,536.8090768188478
2020-09-11,536.0148538415006
2020-09-14,533.5752460275229
2020-09-15,517.8961606331618
2020-09-16,515.9675627206311
2020-09-17,509.35715763595624
2020-09-18,489.734974571237
2020-09-21,489.0204932728825
2020-09-22,504.53639290467623
2020-09-23,532.9186970616219
2020-09-24,522.8277222085906
2020-09-25,538.7054739264804
2020-09-28,539.1615158078605
2020-09-29,528.7779455184168
2020-09-30,523.0526909546242
2020-10-01,536.0250592414216
2020-10-02,547.5720024398161
2020-10-05,541.354736290199
2020-10-06,545.598186940404
2020-10-07,544.2321208924551
2020-10-08,531.4797572051135
2020-10-09,532.0455080511188
2020-10-12,536.4067956595525
2020-10-13,531.4252469387784
2020-10-14,528.3854879578014
2020-10-15,507.2443985806601
2020-10-16,499.2228069051881
2020-10-19,491.7634070855615
2020-10-20,506.2372669657677
2020-10-21,514.1371992414599
2020-10-22,495.75094972584355
2020-10-23,481.7342280705646
2020-10-26,508.2692566160825
2020-10-27,504.12193696982854
2020-10-28,489.460255156696
2020-10-29,462.6906392132214
