Date,AAPL
2020-01-01,276.28356630228245
2020-01-02,255.92691233496996
2020-01-03,239.01941229491175
2020-01-06,236.4758381589568
2020-01-07,245.7505083524921
2020-01-08,231.33420177345053
2020-01-09,225.33250320116602
2020-01-10,237.2000709670724
2020-01-13,232.70196326606091
2020-01-14,223.00846047264437
2020-01-15,228.80849818269303
2020-01-16,232.8730820020644
2020-01-17,229.4705725740537
2020-01-20,229.45416342090581
2020-01-21,229.579902924899
2020-01-22,228.6588250202473
2020-01-23,229.97239896963586
2020-01-24,228.17131198070805
2020-01-27,226.92554388712088
2020-01-28,236.55625419359737
2020-01-29,238.4827899370984
2020-01-30,230.05525320754305
2020-01-31,220.64158562851284
2020-02-03,219.11068315769438
2020-02-04,220.34973732838301
2020-02-05,208.15723435252372
2020-02-06,210.3854274521355
2020-02-07,197.7744267395761
2020-02-10,195.75469962622125
2020-02-11,198.40855039457108
2020-02-12,200.52195017011144
2020-02-13,199.26848157603345
2020-02-14,200.09874179105913
2020-02-17,202.59469508432883
2020-02-18,207.91989623645304
2020-02-19,199.96208306448054
2020-02-20,202.87054749722083
2020-02-21,201.04348401945873
2020-02-24,209.64123646346295
2020-02-25,211.10786391374242
2020-02-26,217.13151195373717
2020-02-27,219.05015257473596
2020-02-28,214.8247294565699
2020-03-02,210.2247364770964
2020-03-03,212.3348752919087
2020-03-04,196.38662588709755
2020-03-05,196.22994906654787
2020-03-06,193.37068687494116
2020-03-09,191.3512055636097
2020-03-10,190.0002419424023
2020-03-11,188.44852533509516
2020-03-12,193.0500542536018
2020-03-13,205.12469097176663
2020-03-16,199.5425705620274
2020-03-17,205.6299676464655
2020-03-18,200.39021961686444
2020-03-19,197.80089620194457
2020-03-20,200.43996000204174
2020-03-23,199.29822164763056
2020-03-24,198.76072479177648
2020-03-25,192.88986248401696
2020-03-26,194.2849116907532
2020-03-27,196.66750185974672
2020-03-30,199.65971341830416
2020-03-31,198.3614992151855
2020-04-01,195.47694922922074
2020-04-02,197.30085855538854
2020-04-03,200.46440248567535
2020-04-06,200.02446253627127
2020-04-07,196.75734859436855
2020-04-08,204.3170874756792
2020-04-09,203.13009219385214
2020-04-10,199.71684263132173
2020-04-13,206.71829353477642
2020-04-14,207.300420257533
2020-04-15,203.95272196157282
2020-04-16,208.00746460242377
2020-04-17,205.18738528257492
2020-04-20,198.1265559069897
2020-04-21,194.16244331137787
2020-04-22,196.72632411995474
2020-04-23,206.40470821369655
2020-04-24,213.4960455739959
2020-04-27,217.40847428836267
2020-04-28,217.05870362453797
2020-04-29,208.37545923620888
2020-04-30,203.31121705408518
2020-05-01,198.84013824888714
2020-05-04,198.7269901414283
2020-05-05,187.80936864308597
2020-05-06,192.92799787349279
2020-05-07,193.23009212103273
2020-05-08,194.9384740734091
2020-05-11,196.75429139622545
2020-05-12,190.96995326426855
