Date,NUE
2020-01-01,409.62187799732067
2020-01-02,417.5141290009973
2020-01-03,420.73382443897697
2020-01-06,425.18200354481684
2020-01-07,420.8013408745339
2020-01-08,423.8173674974
2020-01-09,433.0777017965207
2020-01-10,445.1263106790799
2020-01-13,444.91899802021237
2020-01-14,468.7132144187153
2020-01-15,477.6103424047165
2020-01-16,486.5125549568694
2020-01-17,482.90222188169207
2020-01-20,488.17533630721766
2020-01-21,498.60259860148676
2020-01-22,493.8661978341557
2020-01-23,478.16073058758855
2020-01-24,461.535994380061
2020-01-27,449.3634354193985
2020-01-28,445.60650273200554
2020-01-29,450.0660717265018
2020-01-30,453.20389091783426
2020-01-31,446.4895164079969
2020-02-03,447.3054526864499
2020-02-04,448.4134402869707
2020-02-05,444.9506850507568
2020-02-06,434.7511170282491
2020-02-07,434.286978350589
2020-02-10,436.38436376594757
2020-02-11,428.9982051708333
2020-02-12,431.25237224953344
2020-02-13,432.5860752444981
2020-02-14,427.8455871527896
2020-02-17,421.57403803925405
2020-02-18,421.60526660410363
2020-02-19,417.2224095744474
2020-02-20,428.64732320568754
2020-02-21,433.85865949460447
2020-02-24,432.7917353009078
2020-02-25,425.2351283684421
2020-02-26,427.65646646230556
2020-02-27,410.36380134847275
2020-02-28,416.80836887160416
2020-03-02,423.4838671176896
2020-03-03,436.95073972306915
2020-03-04,451.1897697682334
2020-03-05,444.65522281414457
2020-03-06,444.98132520753273
2020-03-09,430.1931853279211
2020-03-10,436.4089740210322
2020-03-11,443.25875758169394
2020-03-12,437.9973326605768
2020-03-13,445.03345182387716
2020-03-16,430.37834985085664
2020-03-17,420.2793251790813
2020-03-18,430.67972331054904
2020-03-19,439.814397249724
2020-03-20,447.4807249824585
2020-03-23,441.6684401357439
2020-03-24,444.597760610352
2020-03-25,449.06894725339214
2020-03-26,445.3450419431442
2020-03-27,442.4969457396074
2020-03-30,436.15472537834205
2020-03-31,436.9515490552805
2020-04-01,437.74356377261
2020-04-02,443.574139177645
2020-04-03,437.79690070047667
2020-04-06,442.2733754269814
2020-04-07,438.93424596376525
2020-04-08,430.3897719988097
2020-04-09,423.8689226641011
2020-04-10,428.8132633516906
2020-04-13,432.9430236449728
2020-04-14,433.40747579069193
2020-04-15,443.83835287919277
2020-04-16,440.48848832916235
2020-04-17,450.88588880711
2020-04-20,441.22994879588697
2020-04-21,442.756239891631
2020-04-22,441.73205022083715
2020-04-23,437.93397166633423
2020-04-24,439.8644995842341
2020-04-27,443.4947856124015
2020-04-28,455.29812666652026
2020-04-29,455.14542594070537
2020-04-30,441.91436401312535
2020-05-01,442.4804808568673
2020-05-04,442.4312876481414
2020-05-05,436.96697007277305
2020-05-06,440.3690195815767
2020-05-07,440.8251359904938
2020-05-08,437.4550648013975
2020-05-11,443.9129620778157
2020-05-12,447.79034296417126
2020-05-13,452.1346816823158
2020-05-14,457.580755383167
2020-05-15,452.079114386398
2020-05-18,441.91646516434173
2020-05-19,435.6766829625594
2020-05-20,441.90413578276616
2020-05-21,438.1711230485662
2020-05-22,435.5018055371555
2020-05-25,422.6040043511396
2020-05-26,427.74871155078284
2020-05-27,438.217459781796
2020-05-28,450.605868487273
2020-05-29,453.5199543051656
2020-06-01,457.9676505238891
2020-06-02,465.88901436527317
2020-06-03,459.82992457251856
2020-06-04,457.4269663112019
2020-06-05,472.90391232559784
2020-06-08,462.7963896256644
2020-06-09,458.979360362043
2020-06-10,457.67153429464116
2020-06-11,444.1260003743151
2020-06-12,457.38003374811746
2020-06-15,453.274436117495
2020-06-16,457.1334541728954
2020-06-17,436.12847367681906
2020-06-18,433.5972743268219
2020-06-19,432.86074585055235
2020-06-22,422.16296466030406
2020-06-23,417.67372768047164
2020-06-24,411.3625602099173
2020-06-25,408.6030442357913
2020-06-26,403.18863769248946
2020-06-29,417.7348944230228
2020-06-30,407.58205782088436
2020-07-01,398.66516249647236
2020-07-02,402.7504754028032
2020-07-03,398.2491845365089
2020-07-06,401.65613192968493
2020-07-07,399.1927563171689
2020-07-08,400.06588296103166
2020-07-09,397.9739392638382
2020-07-10,397.6309884793591
2020-07-13,399.8514067913169
2020-07-14,395.24417398516334
2020-07-15,388.876904254941
2020-07-16,384.35299818118847
2020-07-17,382.7291209906359
2020-07-20,374.9999164996553
2020-07-21,387.2440700365351
2020-07-22,404.79623643941085
2020-07-23,413.8800430330521
2020-07-24,392.11440395747434
2020-07-27,394.6962128054775
2020-07-28,395.13508916506663
2020-07-29,394.1833319927107
2020-07-30,394.8697954560821
2020-07-31,386.21604645844394
2020-08-03,401.79492726409535
2020-08-04,384.8298217375287
2020-08-05,382.011650366921
2020-08-06,391.7973928348671
2020-08-07,396.1975543781553
2020-08-10,398.05252600524403
2020-08-11,390.4001571886155
2020-08-12,394.46017190397
2020-08-13,392.23422619439407
2020-08-14,388.35886378786
2020-08-17,398.7443241102001
2020-08-18,394.6949818192998
2020-08-19,387.24070583688183
2020-08-20,391.50355231952153
2020-08-21,398.1992845375295
2020-08-24,407.35763910421457
2020-08-25,402.4987978016423
2020-08-26,403.0379656699292
2020-08-27,400.65895321712554
2020-08-28,399.72541989530635
2020-08-31,396.3505582911255
2020-09-01,397.23449919382506
2020-09-02,396.9899804211197
2020-09-03,388.3076476149514
2020-09-04,402.5016446242525
2020-09-07,393.9835147530756
2020-09-08,398.0822165721475
2020-09-09,394.958699595995
2020-09-10,391.4981241567641
2020-09-11,390.85897350675486
2020-09-14,380.087303045429
2020-09-15,370.3040442871523
2020-09-16,378.7231475793229
2020-09-17,377.3361575405367
2020-09-18,371.9616523352474
2020-09-21,359.99241437643565
2020-09-22,375.7238168815578
2020-09-23,381.15211969382113
2020-09-24,385.46576024941265
2020-09-25,390.72428434833756
2020-09-28,396.90961027911254
2020-09-29,394.0708183705814
2020-09-30,388.7856941089603
2020-10-01,391.770972918514
2020-10-02,384.4109313309423
2020-10-05,380.0926324992607
2020-10-06,365.87870429520575
2020-10-07,367.24036171576665
2020-10-08,353.8719629585594
2020-10-09,360.874975357702
2020-10-12,368.23049301224205
2020-10-13,368.89525297184633
2020-10-14,367.02665516073455
2020-10-15,363.0841760011517
2020-10-16,363.15378039267137
2020-10-19,362.13128274739216
2020-10-20,360.44408823272676
2020-10-21,366.06895709496456
2020-10-22,363.4253382642814
2020-10-23,358.54942591686773
2020-10-26,359.21455599554326
2020-10-27,361.14904682929915
2020-10-28,355.45060706429933
2020-10-29,348.25774575029527
2020-10-30,348.68040671268176
2020-11-02,348.8799018571132
2020-11-03,358.6233128914988
2020-11-04,358.5017380570152
2020-11-05,361.3302588003947
2020-11-06,362.6374846314443
2020-11-09,373.031102221488
2020-11-10,375.28452514177116
2020-11-11,362.5044854398372
2020-11-12,367.56243739924133
2020-11-13,384.41014671800315
2020-11-16,389.1811980726785
2020-11-17,401.51571297542125
2020-11-18,380.50144713317803
2020-11-19,384.47866547131923
2020-11-20,388.6606879962287
2020-11-23,387.84590927917895
2020-11-24,380.1451817503984
2020-11-25,382.9832286817228
2020-11-26,387.03246303354246
2020-11-27,376.77633704041074
2020-11-30,377.462236824329
2020-12-01,384.98239021146964
2020-12-02,379.9715557802528
2020-12-03,377.13626866368435
2020-12-04,391.12855499499784
2020-12-07,397.5005759020827
2020-12-08,392.6378880918387
2020-12-09,397.2187851219675
2020-12-10,406.60530248536344
2020-12-11,418.0381262252437
2020-12-14,411.8298117424303
2020-12-15,413.8603755013553
2020-12-16,423.7130526847495
2020-12-17,427.87550362407677
2020-12-18,420.32151245311326
2020-12-21,421.44737138744233
2020-12-22,418.7025998925056
2020-12-23,412.19154409115237
2020-12-24,402.2969968739412
2020-12-25,406.9107284905352
2020-12-28,404.69989077482484
2020-12-29,396.9740968968461
2020-12-30,389.2903200721392
2020-12-31,389.8327252136871
2021-01-01,379.47317139116393
2021-01-04,384.4057915512742
2021-01-05,393.30888880448856
2021-01-06,391.84535567403327
2021-01-07,385.0702019281156
2021-01-08,388.8225165528957
2021-01-11,395.3072492070995
2021-01-12,384.29114727358706
2021-01-13,385.7202839159479
2021-01-14,392.90610953076725
2021-01-15,389.76806381424916
2021-01-18,390.315537565756
2021-01-19,386.7729335029489
2021-01-20,375.55755805392323
2021-01-21,374.7985020276992
2021-01-22,374.68600274151567
2021-01-25,377.3522361414063
2021-01-26,372.1789976753576
2021-01-27,376.3573802952963
2021-01-28,382.1304579684746
2021-01-29,383.79494517930743
2021-02-01,388.8654713327881
2021-02-02,392.76586885505395
2021-02-03,385.9477019497601
2021-02-04,374.69923672215026
2021-02-05,373.3721821867905
