Date,AMZN
2020-01-01,257.84395766096196
2020-01-02,251.84854524438185
2020-01-03,256.3511745273146
2020-01-06,253.24185378796713
2020-01-07,251.52327540040812
2020-01-08,255.40465204535676
2020-01-09,253.36004813024428
2020-01-10,245.51905138482766
2020-01-13,246.3085228033107
2020-01-14,243.69221929525202
2020-01-15,241.6587786298578
2020-01-16,236.78495105162264
2020-01-17,228.5957355593968
2020-01-20,221.84783520840116
2020-01-21,222.90230380410446
2020-01-22,224.2233651708675
2020-01-23,222.22642469201878
2020-01-24,218.89483132177523
2020-01-27,219.08607468222945
2020-01-28,213.53560814849453
2020-01-29,218.20380979827937
2020-01-30,213.65525918876202
2020-01-31,210.47336464825005
2020-02-03,214.72400653807125
2020-02-04,216.59187584753778
2020-02-05,215.84166451301766
2020-02-06,217.18716328330194
2020-02-07,223.6192380013527
2020-02-10,227.57328643950606
2020-02-11,230.01582204975463
2020-02-12,226.5328300129695
2020-02-13,220.17265422318545
2020-02-14,214.94752264990512
2020-02-17,212.36861205555718
2020-02-18,206.82591213454225
2020-02-19,216.15619478242837
2020-02-20,214.17606093863802
2020-02-21,212.32432218143626
2020-02-24,207.58577998948408
2020-02-25,211.75205188744903
2020-02-26,209.07250822037847
2020-02-27,204.4490257714242
2020-02-28,201.8586958215608
2020-03-02,195.4807262924812
2020-03-03,198.88486592265872
2020-03-04,202.80617790380632
2020-03-05,200.7888567892674
2020-03-06,200.11584489331062
2020-03-09,199.20862756763142
2020-03-10,197.22406228259845
2020-03-11,198.31341246011087
2020-03-12,198.2749171429092
2020-03-13,203.49286880827108
2020-03-16,199.00682226977543
2020-03-17,198.962659639792
2020-03-18,198.87247282202412
2020-03-19,196.83613225813744
2020-03-20,196.2937142447891
2020-03-23,192.0505061271171
2020-03-24,193.6754027618629
2020-03-25,199.9372284105513
2020-03-26,197.64582050432162
2020-03-27,189.17652965701498
2020-03-30,187.21509518204348
2020-03-31,183.0845906333653
2020-04-01,184.37887192030288
2020-04-02,188.6034885765425
2020-04-03,184.0304277036799
2020-04-06,177.13742056205683
2020-04-07,180.2337624128109
2020-04-08,176.806615786725
2020-04-09,170.50827184880166
2020-04-10,168.9540832423537
2020-04-13,165.86483275948373
2020-04-14,164.1749731520155
2020-04-15,161.32673122250117
2020-04-16,160.60326917138582
2020-04-17,157.54120481221602
2020-04-20,162.97583914498364
2020-04-21,162.935563465624
2020-04-22,166.41138813952932
2020-04-23,166.13907428727464
2020-04-24,170.8093340584698
2020-04-27,179.12193557234983
2020-04-28,183.2221828497479
2020-04-29,182.07146713231998
2020-04-30,176.50877922006617
2020-05-01,177.75217719046816
2020-05-04,178.6207811528738
2020-05-05,179.2245957797496
2020-05-06,175.79088054852437
2020-05-07,175.13629460874904
2020-05-08,171.47596237796606
2020-05-11,173.40539290879988
2020-05-12,176.27885551542013
2020-05-13,177.73859189385786
2020-05-14,170.75849796042124
2020-05-15,176.68113791748152
2020-05-18,175.43172305814767
2020-05-19,178.0943771001037
2020-05-20,176.70896567595628
2020-05-21,171.66104618384813
2020-05-22,179.1020648730861
2020-05-25,178.48992837747858
2020-05-26,172.19289187607512
2020-05-27,176.19669461375054
2020-05-28,180.3118181989972
2020-05-29,183.25562151731376
2020-06-01,183.77319745524073
2020-06-02,182.93947742196505
2020-06-03,187.41476534766366
2020-06-04,189.03262526124064
2020-06-05,188.4398644016117
2020-06-08,195.43039735586729
2020-06-09,197.3716818113643
2020-06-10,197.1074048085378
2020-06-11,193.08589480516585
2020-06-12,192.911172622929
2020-06-15,194.6793332877498
2020-06-16,194.1610135487552
2020-06-17,195.19494002955628
2020-06-18,191.41967675573545
2020-06-19,196.01157694382263
2020-06-22,196.5166023355331
2020-06-23,197.509889176642
2020-06-24,197.46904882841076
2020-06-25,200.87289053831952
2020-06-26,192.74880019505642
2020-06-29,191.55821057769083
2020-06-30,185.78643626418742
2020-07-01,190.2901378761889
2020-07-02,189.04040801417045
2020-07-03,185.14570695707084
2020-07-06,189.15953299059328
2020-07-07,188.55744262068558
2020-07-08,187.51016077682635
2020-07-09,184.5322630461965
2020-07-10,186.8216251616505
2020-07-13,181.51459035179377
2020-07-14,176.8533912556287
2020-07-15,177.30741101207065
2020-07-16,180.09537961445082
2020-07-17,177.08582563020784
2020-07-20,175.73934240361135
2020-07-21,179.9620060014714
2020-07-22,172.23493675341268
2020-07-23,174.4809893963597
2020-07-24,171.64990309560656
2020-07-27,171.34376068057136
2020-07-28,171.796620128317
2020-07-29,168.22748614243397
2020-07-30,171.19822775737902
2020-07-31,175.43226161699448
2020-08-03,177.04679993610267
2020-08-04,170.05958140048511
2020-08-05,175.60566734362368
2020-08-06,174.41829388219062
2020-08-07,168.85879443248743
2020-08-10,170.44462890671971
2020-08-11,175.37400431234033
2020-08-12,179.09540167651983
2020-08-13,180.68032648861856
2020-08-14,187.04758789108558
2020-08-17,187.00641682377088
2020-08-18,183.21096871196656
2020-08-19,184.274217797045
2020-08-20,183.75097038563624
2020-08-21,180.73105483606645
2020-08-24,176.62578657765368
2020-08-25,172.10433052563178
2020-08-26,174.3240746965689
2020-08-27,174.97066720419446
