Date,MSFT
2020-01-01,187.54899380698313
2020-01-02,185.00553765834644
2020-01-03,187.6317733282091
2020-01-06,187.22067263655975
2020-01-07,186.0573190277951
2020-01-08,181.92820542288797
2020-01-09,187.25710835446083
2020-01-10,190.45612095277892
2020-01-13,191.54761181743024
2020-01-14,191.91871770124317
2020-01-15,189.58032530911132
2020-01-16,189.243624675044
2020-01-17,196.1141762871036
2020-01-20,198.14233612308712
2020-01-21,200.24859956708264
2020-01-22,206.95248565398833
2020-01-23,201.68256271502878
2020-01-24,204.41643075097696
2020-01-27,204.3272183581165
2020-01-28,207.21656562897374
2020-01-29,199.2728598249688
2020-01-30,197.5614739897808
2020-01-31,192.25352780363582
2020-02-03,185.6012504673005
2020-02-04,188.3401786959718
2020-02-05,186.67973240228105
2020-02-06,182.56151740670055
2020-02-07,187.56216644369044
2020-02-10,192.42893015959947
2020-02-11,196.80603256204776
2020-02-12,196.71790211393144
2020-02-13,198.31847407474405
2020-02-14,204.87953104539417
2020-02-17,211.18502065766438
2020-02-18,203.29107192542028
2020-02-19,201.67003284659967
2020-02-20,198.92299683009426
2020-02-21,193.64007658738598
2020-02-24,192.5879010676599
2020-02-25,187.83145448498965
2020-02-26,180.97961640595526
2020-02-27,180.1351010905265
2020-02-28,178.385098586304
2020-03-02,178.12452237416926
2020-03-03,175.12070921113815
2020-03-04,173.6669091201223
2020-03-05,175.7704779103024
2020-03-06,180.04273552965645
2020-03-09,175.23172954986921
2020-03-10,175.74136745157844
2020-03-11,173.40736013306287
2020-03-12,169.81135652817804
2020-03-13,175.1718995132928
2020-03-16,177.09549951003945
2020-03-17,180.06665604105766
2020-03-18,181.70246972035196
2020-03-19,179.57328567473934
2020-03-20,180.91369989365074
2020-03-23,184.91060129086617
2020-03-24,181.96375797738835
2020-03-25,178.65531121541875
2020-03-26,185.24770910577922
2020-03-27,190.08842193319353
2020-03-30,192.82120517316721
2020-03-31,183.4177792241661
2020-04-01,180.83588096280695
2020-04-02,180.88258106467035
2020-04-03,183.49686989363437
2020-04-06,192.96500466769726
2020-04-07,189.37326583590095
2020-04-08,192.03120648721242
2020-04-09,197.8255950884425
2020-04-10,195.39477199232803
2020-04-13,181.64669791039466
2020-04-14,182.02689899015766
2020-04-15,181.14262321295658
2020-04-16,182.21377147266583
2020-04-17,180.51674494955563
2020-04-20,184.67677807348616
2020-04-21,186.4459968633007
2020-04-22,181.7359659541222
2020-04-23,182.78691867137752
2020-04-24,181.29188764045742
2020-04-27,172.73907431633435
2020-04-28,172.36101476461423
2020-04-29,171.3514069334319
2020-04-30,177.80145994335467
2020-05-01,179.11673270768955
2020-05-04,179.57498011408484
2020-05-05,176.82294251321335
2020-05-06,181.3507014030343
2020-05-07,185.2969646624505
2020-05-08,185.4688115412127
2020-05-11,189.25286904705177
2020-05-12,187.07062533102442
2020-05-13,187.55400327068313
2020-05-14,191.75495143850105
2020-05-15,190.51892693893976
2020-05-18,192.79067982540593
2020-05-19,194.60491729060342
2020-05-20,204.78739501196668
2020-05-21,204.0980149142871
2020-05-22,209.22660273314386
2020-05-25,209.44103330119418
2020-05-26,204.05674033410452
2020-05-27,200.0926964104962
2020-05-28,195.75172241991484
2020-05-29,189.11288646520646
2020-06-01,186.65107216394804
2020-06-02,187.00418776781322
2020-06-03,183.67931178966236
2020-06-04,187.75688646936143
2020-06-05,183.23450742159974
2020-06-08,183.70377167890751
2020-06-09,179.62870986748942
2020-06-10,192.44015527320715
2020-06-11,183.3818542989864
2020-06-12,177.8369931546361
2020-06-15,174.88950534122495
2020-06-16,171.0975892736201
2020-06-17,174.7714898243952
2020-06-18,181.18932199240595
2020-06-19,179.10386728647006
2020-06-22,176.02150253135565
2020-06-23,178.4382633271632
2020-06-24,176.58045596482523
2020-06-25,175.4500497654617
2020-06-26,179.8649860837039
2020-06-29,174.83292452981732
2020-06-30,179.11907759224079
2020-07-01,177.4522626277148
2020-07-02,170.65423318650997
2020-07-03,165.52571679648528
2020-07-06,167.73259125546292
2020-07-07,165.68862693386433
2020-07-08,170.56748669011188
2020-07-09,170.56054835381505
2020-07-10,171.6660993394814
2020-07-13,170.6313586393391
2020-07-14,170.82680787483633
2020-07-15,165.55529084684488
2020-07-16,165.45465194341142
2020-07-17,161.6790704698668
2020-07-20,157.30609266519974
2020-07-21,159.18950979296739
2020-07-22,161.12379078650386
2020-07-23,163.1617210309451
2020-07-24,164.44819718923765
2020-07-27,164.98994022916418
2020-07-28,162.62063250687436
2020-07-29,163.47712473784276
2020-07-30,159.3625789963749
2020-07-31,159.69851236297632
2020-08-03,156.75193608589655
2020-08-04,156.65673201705278
2020-08-05,155.76197458070936
2020-08-06,160.76251372056777
2020-08-07,160.02259718076905
2020-08-10,155.7805646951257
2020-08-11,160.4362165784336
2020-08-12,151.89904509639732
2020-08-13,156.15737278319142
2020-08-14,154.96873632972938
2020-08-17,153.3275497500944
2020-08-18,154.64532449561108
2020-08-19,158.21598402868932
2020-08-20,161.11330994003424
2020-08-21,164.08496773769414
2020-08-24,162.7513694765505
2020-08-25,162.1189379601901
2020-08-26,163.64307738492883
2020-08-27,163.68338549413144
2020-08-28,164.25020323458742
2020-08-31,168.5125183131284
2020-09-01,169.28668080066035
2020-09-02,172.9628437364276
2020-09-03,170.4019980847323
2020-09-04,171.76025721827043
2020-09-07,169.88175252423432
2020-09-08,179.4579269015471
2020-09-09,174.2069071130598
2020-09-10,179.7222597103824
2020-09-11,174.18983891087277
2020-09-14,174.20725972510337
2020-09-15,167.3916407271167
2020-09-16,164.00641868257918
2020-09-17,162.74809043722857
2020-09-18,166.85403666676314
2020-09-21,170.56377727449254
2020-09-22,163.77886960586198
2020-09-23,160.38964097194594
2020-09-24,163.3719590319905
2020-09-25,162.89282514178402
2020-09-28,165.78928291146178
2020-09-29,168.64990943259056
2020-09-30,162.27840683032983
2020-10-01,164.21619539361365
2020-10-02,155.62252615782796
2020-10-05,157.35520914593937
2020-10-06,157.3078162625218
2020-10-07,156.4870713370687
2020-10-08,156.68043493555496
2020-10-09,165.37748126134778
2020-10-12,166.2309650528352
2020-10-13,165.71587837345467
2020-10-14,165.42929394565533
2020-10-15,161.78096468618236
2020-10-16,164.16221796977572
2020-10-19,162.24032395421318
2020-10-20,159.5268917348655
2020-10-21,163.57579998387004
2020-10-22,165.5740458189614
2020-10-23,159.9454252543439
2020-10-26,158.2893914755456
2020-10-27,160.49419248236666
2020-10-28,162.27389098110268
2020-10-29,168.466585083457
2020-10-30,164.84614347551857
2020-11-02,172.8979655752526
2020-11-03,187.16966755163685
2020-11-04,186.86548843473753
2020-11-05,180.6103537264349
2020-11-06,186.00492718338506
2020-11-09,181.89007668305146
