Date,XEL
2020-01-01,315.22851753959407
2020-01-02,312.3943192834499
2020-01-03,306.4734801928171
2020-01-06,303.8597367013936
2020-01-07,306.15251780673503
2020-01-08,307.8094701115126
2020-01-09,307.425913764538
2020-01-10,312.23161399855945
2020-01-13,315.3411041702255
2020-01-14,321.8591001749435
2020-01-15,321.4209505079213
2020-01-16,311.5131801343385
2020-01-17,316.34118931523125
2020-01-20,303.97648243205225
2020-01-21,298.39314952916186
2020-01-22,304.44644282925447
2020-01-23,309.2969212405105
2020-01-24,309.16570348527847
2020-01-27,319.4408690939599
2020-01-28,304.3201681433973
2020-01-29,308.10391727158276
2020-01-30,303.2747830109391
2020-01-31,302.24710146165063
2020-02-03,305.30542128896263
2020-02-04,312.9778679274538
2020-02-05,315.35820610115854
2020-02-06,317.92047361491245
2020-02-07,337.44789970799695
2020-02-10,340.51884055486636
2020-02-11,328.09400046109647
2020-02-12,329.4360100515915
2020-02-13,332.3422761797581
2020-02-14,326.97629850987914
2020-02-17,320.0974651716282
2020-02-18,324.3887909113836
2020-02-19,324.5573304508336
2020-02-20,322.9211274576522
2020-02-21,325.3962510331339
2020-02-24,322.73988208807856
2020-02-25,319.95985081376995
2020-02-26,323.3249519962126
2020-02-27,323.00862335575204
2020-02-28,320.0172035433413
2020-03-02,314.07666396696175
2020-03-03,305.7600929915921
2020-03-04,303.858076695837
2020-03-05,301.3873322502789
2020-03-06,302.4657541284708
2020-03-09,295.709472519282
2020-03-10,302.7915367849258
2020-03-11,303.601385524424
2020-03-12,311.82644570929637
2020-03-13,310.97779736238346
2020-03-16,311.7822933151829
2020-03-17,314.0593230458926
2020-03-18,321.8414731971685
2020-03-19,320.71165177920096
2020-03-20,336.8813749657996
2020-03-23,339.8874043161813
2020-03-24,347.41249028832846
2020-03-25,346.0955652488223
2020-03-26,343.46220952629227
2020-03-27,353.84055968677285
2020-03-30,348.58133207889455
2020-03-31,340.37226151711866
2020-04-01,336.52024192993076
2020-04-02,333.9430713804643
2020-04-03,327.08644782307
2020-04-06,349.40463282745975
2020-04-07,360.0380742833095
2020-04-08,354.4319675699532
2020-04-09,359.6251307999769
2020-04-10,363.19866083627494
2020-04-13,364.88221530783545
2020-04-14,368.56267965233087
2020-04-15,369.40288326033374
2020-04-16,383.62101945974894
2020-04-17,388.7892987490719
2020-04-20,391.5754255605975
2020-04-21,409.022809552697
2020-04-22,425.3881658707971
2020-04-23,432.86847860367135
2020-04-24,430.0020901558078
2020-04-27,424.4916227032269
2020-04-28,424.13073103753504
2020-04-29,427.50047986781146
2020-04-30,428.83388809419785
2020-05-01,429.2728805117667
2020-05-04,433.0253252473113
2020-05-05,427.90118615904447
2020-05-06,422.89605879604807
2020-05-07,427.664940522999
2020-05-08,418.1586897949961
2020-05-11,421.5491214482649
2020-05-12,414.3018066985379
2020-05-13,404.11404847726516
2020-05-14,393.0063507210059
2020-05-15,391.99767496935584
2020-05-18,389.3333917413252
2020-05-19,390.4762238571162
2020-05-20,385.52488797462996
2020-05-21,389.5840566059297
2020-05-22,398.7382852051397
2020-05-25,421.75801894960244
2020-05-26,417.1649789657759
2020-05-27,409.7374837340081
2020-05-28,404.31375142055225
2020-05-29,401.50957682367084
2020-06-01,416.68490476217727
2020-06-02,405.30492013586223
2020-06-03,396.9293112027193
2020-06-04,393.00226897348773
2020-06-05,383.15524096671265
2020-06-08,394.5566665010419
2020-06-09,394.84214071682936
2020-06-10,405.73552942125986
2020-06-11,404.04546044049573
2020-06-12,413.10141157856685
2020-06-15,420.87873637863873
2020-06-16,425.66449383370133
2020-06-17,414.85824989133516
2020-06-18,419.76500037169967
2020-06-19,426.4740665734414
2020-06-22,452.038096154982
2020-06-23,456.4106345993048
2020-06-24,479.02106077410224
2020-06-25,499.52543201628373
2020-06-26,521.7319586098482
2020-06-29,522.8795798146994
2020-06-30,516.2797574057741
2020-07-01,509.6300985797165
2020-07-02,517.8206180316648
2020-07-03,522.2394146263729
2020-07-06,504.1840919478967
2020-07-07,498.74373039229613
2020-07-08,498.4800860167276
2020-07-09,495.7748444595923
2020-07-10,504.13354056329194
2020-07-13,467.63043055284004
2020-07-14,456.9343300707458
2020-07-15,452.31700753579844
2020-07-16,452.94684440705663
2020-07-17,454.63762073663224
2020-07-20,456.0927693030938
2020-07-21,455.71872036986014
2020-07-22,444.1920056615004
2020-07-23,444.35205268461823
2020-07-24,456.7905737115291
2020-07-27,453.08673050977796
2020-07-28,442.174891571206
2020-07-29,443.90279494603465
2020-07-30,448.2649499396326
2020-07-31,461.0116982037618
2020-08-03,442.8546095277091
2020-08-04,446.6071650260556
2020-08-05,459.43311933597266
2020-08-06,467.80737161719503
2020-08-07,471.5050493998325
2020-08-10,457.6442988464872
2020-08-11,441.034578331761
2020-08-12,450.177702545831
2020-08-13,462.4663234550144
2020-08-14,481.29036900051364
2020-08-17,477.96097487840706
2020-08-18,484.0916194091727
2020-08-19,483.48489726804655
2020-08-20,492.83945128125004
2020-08-21,494.186095948647
2020-08-24,496.5976919199078
2020-08-25,526.8330891601479
2020-08-26,517.1574543862865
2020-08-27,526.2970287597269
2020-08-28,527.378147434673
2020-08-31,520.5128873284457
2020-09-01,512.6346144326161
2020-09-02,512.4843842400396
2020-09-03,508.86369626274615
2020-09-04,513.1701378667573
2020-09-07,506.69309754283057
2020-09-08,503.2739802373038
2020-09-09,516.0819099853644
2020-09-10,514.945063877514
2020-09-11,508.7344573680375
2020-09-14,500.1920313461503
2020-09-15,493.930117592734
