Date,WMB
2020-01-01,289.67440793818986
2020-01-02,291.17518408080434
2020-01-03,293.0461611639377
2020-01-06,293.6318201692976
2020-01-07,287.925588772785
2020-01-08,289.2862547848755
2020-01-09,288.7801402662256
2020-01-10,291.09078635752775
2020-01-13,288.9463166237784
2020-01-14,293.09545476468065
2020-01-15,292.2441029950102
2020-01-16,291.30385679216215
2020-01-17,290.52141342170756
2020-01-20,283.0295645919265
2020-01-21,282.4365303146103
2020-01-22,282.36917651945964
2020-01-23,284.74135172150295
2020-01-24,286.2567335521067
2020-01-27,282.1285496660045
2020-01-28,280.4710145469355
2020-01-29,280.8089730134699
2020-01-30,282.08558058989365
2020-01-31,281.16321278370356
2020-02-03,280.6617837153706
2020-02-04,282.9776686508375
2020-02-05,285.47707872482476
2020-02-06,284.4646635415913
2020-02-07,281.0518014690197
2020-02-10,280.37614410850625
2020-02-11,283.2770227226954
2020-02-12,276.92218221318285
2020-02-13,274.13366177666785
2020-02-14,281.3561764451222
2020-02-17,286.3537477383927
2020-02-18,291.3940099756208
2020-02-19,288.8122468659462
2020-02-20,284.0060326448167
2020-02-21,282.5925522567056
2020-02-24,284.6289798338171
2020-02-25,286.1436688231799
2020-02-26,285.40139429782243
2020-02-27,286.7148503604429
2020-02-28,295.19344692678845
2020-03-02,298.0066373942093
2020-03-03,291.7329024352755
2020-03-04,292.79395990503696
2020-03-05,296.5164447891539
2020-03-06,290.0412306736004
2020-03-09,287.08288421815746
2020-03-10,292.15236358130437
2020-03-11,290.2907887502288
2020-03-12,284.9686616382006
2020-03-13,282.3000234681768
2020-03-16,284.73115237541265
2020-03-17,280.70704023546676
2020-03-18,278.8738697934239
2020-03-19,281.30553180158404
2020-03-20,275.0072492677332
2020-03-23,277.26107062154705
2020-03-24,278.37661400620084
2020-03-25,276.7507812602482
2020-03-26,279.50965735900405
2020-03-27,278.44682231767933
2020-03-30,277.98333906913564
2020-03-31,276.88540978609143
2020-04-01,272.76130806377773
2020-04-02,274.83288905934313
2020-04-03,276.5610696612464
2020-04-06,271.0218706247827
2020-04-07,270.69834001085286
2020-04-08,276.4717496096418
2020-04-09,281.9694707007832
2020-04-10,283.10770699409466
2020-04-13,285.8302169449247
2020-04-14,284.12451716832925
2020-04-15,285.9619681545067
2020-04-16,290.0753262313513
2020-04-17,284.01405652084577
2020-04-20,285.6796170891127
2020-04-21,283.8044611391309
2020-04-22,285.9746623411623
2020-04-23,287.5334716034827
2020-04-24,289.3048451309859
2020-04-27,294.41110743210965
2020-04-28,299.7826585607767
2020-04-29,301.43628550528297
2020-04-30,298.4348819692378
2020-05-01,297.24159960775495
2020-05-04,301.3989031724278
2020-05-05,300.97257326392656
2020-05-06,304.91805496258473
2020-05-07,304.4810209574452
2020-05-08,301.0084046392149
2020-05-11,301.42279693162374
2020-05-12,297.17560386674074
2020-05-13,297.3903034421181
2020-05-14,292.42129110157197
2020-05-15,296.3993664906056
2020-05-18,296.3526672871264
2020-05-19,288.4950748589554
2020-05-20,288.42766703373144
2020-05-21,285.2690083561922
2020-05-22,285.6431309873893
2020-05-25,285.38413211555394
2020-05-26,283.25061826605753
2020-05-27,286.1479952971665
2020-05-28,287.15900605610125
2020-05-29,284.89127679413025
2020-06-01,281.8729079688211
2020-06-02,283.6483412212696
2020-06-03,282.52441087445436
2020-06-04,277.9438417917869
2020-06-05,284.24640016011097
2020-06-08,282.0654240838474
2020-06-09,280.06903371867406
2020-06-10,277.6777319173628
2020-06-11,270.4384194427102
2020-06-12,271.1993125893148
2020-06-15,264.6857845976915
2020-06-16,262.30301912483486
2020-06-17,261.92727177462535
2020-06-18,259.88154944602275
2020-06-19,262.75582776898807
2020-06-22,262.0032116426435
2020-06-23,265.812099970941
2020-06-24,261.82481655262285
2020-06-25,260.5688272452172
2020-06-26,264.5190379348792
2020-06-29,260.57228415301597
2020-06-30,260.06369408708196
2020-07-01,261.4736022218154
2020-07-02,263.2582768349034
2020-07-03,265.48031843589206
2020-07-06,267.2133935723359
2020-07-07,266.23490125937457
2020-07-08,260.14029589016974
2020-07-09,257.37391229904165
2020-07-10,256.77894280148405
2020-07-13,251.65032508978004
2020-07-14,251.41053717593616
2020-07-15,251.08308809956876
2020-07-16,248.54809305948626
2020-07-17,244.94087143824956
2020-07-20,245.97118846458935
2020-07-21,249.5254424312659
2020-07-22,251.66562648545798
2020-07-23,249.70869131570834
2020-07-24,249.77041519114738
2020-07-27,247.03523208810364
2020-07-28,246.20110910229866
2020-07-29,246.4042880890083
2020-07-30,245.62566420161764
2020-07-31,244.7146052634052
2020-08-03,248.60644422409644
2020-08-04,251.91710317709934
2020-08-05,254.7631104647527
2020-08-06,254.2228042447634
2020-08-07,251.10108699812062
2020-08-10,250.2431978609304
2020-08-11,251.8476867647899
2020-08-12,255.62007870765152
2020-08-13,252.77904706342858
2020-08-14,253.10898692496448
2020-08-17,251.7065583918499
2020-08-18,249.40692058198823
2020-08-19,248.25502673769546
2020-08-20,253.72885682791843
2020-08-21,255.6675605636832
2020-08-24,256.89872121113984
2020-08-25,253.31136686099833
2020-08-26,254.2900927960825
2020-08-27,250.44654347128724
2020-08-28,248.47557406330768
2020-08-31,249.34063325675447
2020-09-01,249.8987310716597
2020-09-02,245.7856356921826
2020-09-03,248.81985024273428
2020-09-04,244.26467343551394
2020-09-07,248.84437663553808
2020-09-08,247.53804249738567
2020-09-09,250.88832655801252
2020-09-10,253.96370129403044
2020-09-11,253.90374178137708
2020-09-14,254.96892544720433
2020-09-15,256.95506394127165
2020-09-16,254.27043120728467
2020-09-17,251.83875133364867
2020-09-18,250.1189297403808
2020-09-21,246.29534208878337
2020-09-22,245.59043187940284
2020-09-23,243.89819148350463
2020-09-24,245.1897914726218
2020-09-25,244.79073442742117
2020-09-28,248.50332233206055
2020-09-29,250.03568082297926
2020-09-30,253.47532898330257
2020-10-01,255.27787733887314
2020-10-02,257.51476378492896
2020-10-05,256.8974650154217
2020-10-06,252.94130770960288
2020-10-07,250.76465303542736
2020-10-08,247.9777746112271
2020-10-09,250.51070992168408
2020-10-12,254.70802905041964
2020-10-13,252.32573380980617
2020-10-14,254.42897121384158
2020-10-15,261.1521889920725
2020-10-16,263.7628368054951
2020-10-19,262.5160048622804
2020-10-20,261.80805460904185
2020-10-21,264.4762894292679
2020-10-22,260.44897817133347
2020-10-23,259.55295034373637
2020-10-26,258.31484818607737
2020-10-27,258.14376581075
2020-10-28,258.10645151649123
2020-10-29,256.8345323898401
2020-10-30,255.90371319196385
2020-11-02,256.3148158457025
2020-11-03,257.5225664701391
2020-11-04,257.4704174156339
2020-11-05,260.4455477637028
2020-11-06,256.03662049057596
2020-11-09,260.1086180100074
2020-11-10,259.53880388449903
2020-11-11,260.29200545830895
2020-11-12,255.9497414676184
2020-11-13,258.3851717254429
2020-11-16,261.88130974828664
2020-11-17,260.1305480483355
2020-11-18,261.74932519112883
2020-11-19,264.9475837710701
2020-11-20,260.7567545828341
2020-11-23,264.6883387820638
2020-11-24,260.9391185097587
2020-11-25,262.0331721357224
2020-11-26,263.73066086682957
2020-11-27,266.82756046452965
2020-11-30,266.47019825742314
2020-12-01,263.4586108340896
2020-12-02,267.57009401027693
2020-12-03,270.05014059977816
2020-12-04,270.0923317498284
2020-12-07,274.52050636928186
2020-12-08,274.5733223779527
2020-12-09,274.4315192122607
2020-12-10,275.3847987295447
2020-12-11,277.86541190004976
2020-12-14,274.400296488584
2020-12-15,277.68311526520284
2020-12-16,283.76736320460816
2020-12-17,284.9879152854274
2020-12-18,280.6039077285875
2020-12-21,279.1049335738612
2020-12-22,280.1984611413723
2020-12-23,278.92460543261495
2020-12-24,283.2158592920736
2020-12-25,278.09412477028394
2020-12-28,283.9972201194617
2020-12-29,281.06980241900345
2020-12-30,282.86199503133633
2020-12-31,282.5669197534423
2021-01-01,284.2728120838793
2021-01-04,282.72604638437855
2021-01-05,284.8171895675779
2021-01-06,282.46100234073225
2021-01-07,286.1958933896173
2021-01-08,286.2213773991532
2021-01-11,287.87890790418544
2021-01-12,293.87435677223715
2021-01-13,295.0793933426152
2021-01-14,292.3478290426754
2021-01-15,293.8472223880745
2021-01-18,291.6071477116106
2021-01-19,291.2527460900279
2021-01-20,288.9615530281885
2021-01-21,293.271307973188
