Date,TTWO
2020-01-01,87.61816356501184
2020-01-02,90.83505363896336
2020-01-03,88.73179520514412
2020-01-06,90.68207451512109
2020-01-07,92.16051393932442
2020-01-08,92.39853732568956
2020-01-09,88.39433119084629
2020-01-10,87.16454767596532
2020-01-13,88.89342607118107
2020-01-14,89.20225894962664
2020-01-15,88.31828415347726
2020-01-16,84.30231226276604
2020-01-17,87.29036589542476
2020-01-20,89.62129339515695
2020-01-21,87.05274770125607
2020-01-22,90.13119418011294
2020-01-23,91.51871571150139
2020-01-24,89.0252386499037
2020-01-27,89.49944502055001
2020-01-28,87.03781799186972
2020-01-29,90.66457646335111
2020-01-30,92.23410331479698
2020-01-31,90.17904716232265
2020-02-03,87.00482668282899
2020-02-04,86.71302534051239
2020-02-05,88.88516713215708
2020-02-06,90.2611284106097
2020-02-07,87.84102770289708
2020-02-10,89.18027573506268
2020-02-11,91.50300246869989
2020-02-12,89.13057534501094
2020-02-13,87.45212248515372
2020-02-14,88.98971741424526
2020-02-17,85.91907589937605
2020-02-18,88.96100931926163
2020-02-19,88.14109774725775
2020-02-20,89.655168336131
2020-02-21,90.33452068204674
2020-02-24,91.99675333237853
2020-02-25,93.13534735323528
2020-02-26,95.28613329980247
2020-02-27,95.95949789051154
2020-02-28,96.36488701488074
2020-03-02,97.51020941653282
2020-03-03,93.75608267556606
2020-03-04,92.91099170234646
2020-03-05,97.70057015289096
2020-03-06,98.0680197421465
2020-03-09,93.63201004644992
2020-03-10,89.14898187695563
2020-03-11,88.11427830384739
2020-03-12,84.21443087508996
2020-03-13,80.86934982412448
2020-03-16,81.02619925965607
2020-03-17,79.10516205127747
2020-03-18,77.63625508878883
2020-03-19,77.64327547987877
2020-03-20,79.64443925577845
2020-03-23,82.23298924726717
2020-03-24,82.33507428009429
2020-03-25,78.66642456385378
2020-03-26,76.42251770107003
2020-03-27,74.66362201887918
2020-03-30,73.81121352079752
2020-03-31,73.94208989872418
2020-04-01,77.47470009270474
2020-04-02,77.58508238837452
2020-04-03,73.87036973699783
2020-04-06,73.5991930513829
2020-04-07,79.36630515091424
2020-04-08,80.6506436382447
2020-04-09,82.19513352849496
2020-04-10,84.47350747319615
2020-04-13,83.73505261834909
2020-04-14,81.44759838176597
2020-04-15,77.3276454907486
2020-04-16,80.53296313619639
2020-04-17,81.38484588322275
2020-04-20,86.13698452669604
2020-04-21,89.26910259050021
2020-04-22,90.64271028721441
2020-04-23,88.94042060680543
2020-04-24,91.86174764690034
2020-04-27,90.79174809966383
2020-04-28,91.41011128351073
2020-04-29,91.7540673699153
2020-04-30,89.89186066545093
2020-05-01,88.45449282098392
2020-05-04,97.86919550487009
2020-05-05,97.62931375456859
2020-05-06,93.8364739280722
2020-05-07,89.1520936354412
2020-05-08,88.35212812058542
2020-05-11,90.66392856039711
2020-05-12,89.06026507357277
2020-05-13,89.23546592088131
2020-05-14,90.26337786545866
2020-05-15,88.0623697601831
2020-05-18,91.6334941986362
2020-05-19,91.81910305897726
2020-05-20,87.80218671658945
2020-05-21,88.10995211427387
2020-05-22,85.02902755186216
2020-05-25,82.11337426342975
2020-05-26,77.21051334910203
2020-05-27,78.23853953769193
2020-05-28,73.09804155418915
2020-05-29,75.68810464029855
2020-06-01,76.66122093616067
2020-06-02,75.33166342915875
2020-06-03,78.18079073558005
2020-06-04,77.81981251121711
2020-06-05,74.55344754210455
2020-06-08,79.54665371067621
2020-06-09,80.41141774898975
2020-06-10,82.96388609385512
2020-06-11,83.0234359378415
2020-06-12,79.08853286804313
2020-06-15,80.42697028249812
2020-06-16,81.29084025154694
2020-06-17,82.4458821667482
2020-06-18,82.81630481900686
2020-06-19,80.82124549866515
2020-06-22,80.30476431359062
2020-06-23,79.61880949523862
2020-06-24,79.42432180729521
2020-06-25,79.32268833259806
2020-06-26,79.19430077137632
2020-06-29,77.66016324302747
2020-06-30,81.29188015415389
2020-07-01,81.46457715282563
2020-07-02,79.52069955166719
2020-07-03,75.8445377291374
2020-07-06,73.560068888111
2020-07-07,73.32636207192802
2020-07-08,77.31178831319552
2020-07-09,78.31643924758154
2020-07-10,76.21688044356767
2020-07-13,77.87997225431009
2020-07-14,76.62033847053607
2020-07-15,72.72463458130638
2020-07-16,71.84514716422888
2020-07-17,74.37412718638664
2020-07-20,75.98483019217002
2020-07-21,74.99504583119163
2020-07-22,74.59334201011133
2020-07-23,74.15634382893774
2020-07-24,75.79855592599215
2020-07-27,78.15015782823751
2020-07-28,75.45902296823677
2020-07-29,71.84347864168724
2020-07-30,69.77968061901701
2020-07-31,73.99363644972367
2020-08-03,75.1664135656059
2020-08-04,74.4011839232856
2020-08-05,72.78037521439556
2020-08-06,70.89935278543574
2020-08-07,68.43349946209668
2020-08-10,68.62833128778954
2020-08-11,66.6452937903991
2020-08-12,67.0328151739156
2020-08-13,66.38804616425821
2020-08-14,61.66299402290481
2020-08-17,58.81574829554555
2020-08-18,58.36981963897909
2020-08-19,57.99391222700257
2020-08-20,55.73729747348439
