Date,VMC
2020-01-01,369.72716148525507
2020-01-02,358.8589622136078
2020-01-03,357.27731064166943
2020-01-06,364.13847450092106
2020-01-07,362.7135075801751
2020-01-08,352.8496743404339
2020-01-09,338.41803689896517
2020-01-10,342.8827507356934
2020-01-13,342.88098516424293
2020-01-14,348.67696432629975
2020-01-15,329.1774044974566
2020-01-16,317.7797511307963
2020-01-17,326.8136638108504
2020-01-20,333.8015383574979
2020-01-21,321.6426771513092
2020-01-22,325.53152392242856
2020-01-23,318.0375658354346
2020-01-24,297.82195862972026
2020-01-27,290.11314481078887
2020-01-28,300.32315471505916
2020-01-29,290.95041422198847
2020-01-30,295.1027987025538
2020-01-31,283.8910505543816
2020-02-03,280.17372856735483
2020-02-04,302.11900811348585
2020-02-05,292.3975494795263
2020-02-06,293.2755091853875
2020-02-07,294.37721747118576
2020-02-10,296.1149713265077
2020-02-11,297.8874861689211
2020-02-12,296.52589016602207
2020-02-13,302.6181641187608
2020-02-14,289.5058443409173
2020-02-17,294.37210697209224
2020-02-18,312.13874187962625
2020-02-19,322.1302693536322
2020-02-20,314.64762309583125
2020-02-21,316.44648072540906
2020-02-24,317.8381528224725
2020-02-25,315.09168695431845
2020-02-26,307.0572043400789
2020-02-27,306.0729363140806
2020-02-28,293.8403697030582
2020-03-02,290.4056574589659
2020-03-03,294.4319710828146
2020-03-04,296.3973704480469
2020-03-05,305.8094739992049
2020-03-06,299.104510762107
2020-03-09,287.8418262681418
2020-03-10,287.6275026707679
2020-03-11,295.43280370899316
2020-03-12,296.69510571017537
2020-03-13,299.2148829939759
2020-03-16,305.65960490893
2020-03-17,300.47999717962017
2020-03-18,311.1055220396576
2020-03-19,319.6813464798203
2020-03-20,316.350297461422
2020-03-23,309.3761400711557
2020-03-24,300.7708330138375
2020-03-25,299.35650430376796
2020-03-26,316.93352345714754
2020-03-27,310.9869893391349
2020-03-30,307.61455311798426
2020-03-31,306.31214596405255
2020-04-01,304.0532748516659
2020-04-02,309.07373684256385
2020-04-03,316.16590627394623
2020-04-06,316.1333575559782
2020-04-07,314.32978218026983
2020-04-08,330.4596463874145
2020-04-09,339.7899669475981
2020-04-10,351.82043994558563
2020-04-13,364.67129682116865
2020-04-14,357.65380978441584
2020-04-15,362.94282192272743
2020-04-16,373.61635226526124
2020-04-17,372.3713748618922
2020-04-20,361.0162372407235
2020-04-21,355.99577084913733
2020-04-22,378.41032400961376
2020-04-23,376.81464853725527
2020-04-24,365.04628311153425
2020-04-27,372.69978493153
2020-04-28,363.37729667515265
2020-04-29,371.148767508241
2020-04-30,381.9589671472231
2020-05-01,375.92117126277594
2020-05-04,359.8658277327718
2020-05-05,351.2457807119123
2020-05-06,348.89084589317207
2020-05-07,360.81758063743064
2020-05-08,350.61070166055504
2020-05-11,356.4273335626062
2020-05-12,364.65484889296476
2020-05-13,346.5854975019534
2020-05-14,349.09141332458756
2020-05-15,352.40206892916257
2020-05-18,354.74481926017063
2020-05-19,357.3894067617536
2020-05-20,355.0739769833582
2020-05-21,369.2142723515945
2020-05-22,366.3407878538425
2020-05-25,369.64094014130256
2020-05-26,377.94099394785025
2020-05-27,365.29988043315166
2020-05-28,346.11301155929397
2020-05-29,357.4832626164651
2020-06-01,344.3995081616836
2020-06-02,345.0401307768647
2020-06-03,357.7324581284896
2020-06-04,364.7657905176792
2020-06-05,378.2630381137428
2020-06-08,378.88246824769027
2020-06-09,396.2325682217933
2020-06-10,387.38065865633575
2020-06-11,369.7596894567884
2020-06-12,374.0019910519716
2020-06-15,370.0284538685581
2020-06-16,373.9802086200132
2020-06-17,372.24152260461125
2020-06-18,376.1204928625982
2020-06-19,362.0976103429618
2020-06-22,371.67269257777764
2020-06-23,379.1457355783017
2020-06-24,373.67983550149427
2020-06-25,364.11038747682704
2020-06-26,351.6831424925784
2020-06-29,360.76567104096375
2020-06-30,366.77603038448757
2020-07-01,353.48517826896324
2020-07-02,346.4653739613404
2020-07-03,353.06000202816307
2020-07-06,365.3782891518197
2020-07-07,358.10229584755297
2020-07-08,352.8372648386968
2020-07-09,355.8046413967031
2020-07-10,343.22573026218686
2020-07-13,325.22446744721907
2020-07-14,321.4548927601832
2020-07-15,314.9251152964431
2020-07-16,321.9825932152485
2020-07-17,312.956437426275
2020-07-20,314.29807645832636
2020-07-21,312.31282937145176
2020-07-22,324.9728606012497
2020-07-23,327.78036501732066
2020-07-24,331.02106442044976
2020-07-27,338.91127706260215
2020-07-28,323.6610055158724
2020-07-29,331.11898932625564
2020-07-30,318.5182400445292
2020-07-31,327.0492666095075
2020-08-03,313.3771198184756
2020-08-04,313.80797576707204
2020-08-05,311.4719728858447
2020-08-06,311.8694569080266
2020-08-07,306.3337945239122
2020-08-10,315.42329706544933
2020-08-11,314.59627009287146
2020-08-12,310.3290195990972
2020-08-13,305.9601951001271
2020-08-14,298.2601834073443
2020-08-17,294.48434246745745
2020-08-18,290.8984364986113
2020-08-19,293.2609094773222
2020-08-20,295.62873319894226
2020-08-21,300.79486695352233
2020-08-24,303.06451385521984
2020-08-25,297.7362501290505
2020-08-26,306.18402751920223
2020-08-27,312.7852287922614
2020-08-28,324.40925051354657
2020-08-31,327.0510598081773
2020-09-01,324.59254245370573
2020-09-02,335.30963912337364
2020-09-03,328.5619391993902
2020-09-04,321.55081211456087
2020-09-07,312.7628370117148
2020-09-08,311.1563468357775
2020-09-09,304.9285031243821
2020-09-10,304.6273871190892
2020-09-11,313.6802764205529
2020-09-14,324.9035311766368
2020-09-15,337.66994628333583
2020-09-16,330.45696447836264
2020-09-17,340.1916548938199
2020-09-18,360.5599216867804
2020-09-21,373.30218892813946
2020-09-22,366.9842458089804
2020-09-23,376.0645427656279
2020-09-24,374.1596947283475
2020-09-25,383.4105398027176
2020-09-28,399.2550569899368
2020-09-29,394.09203382795704
2020-09-30,390.2874546207837
2020-10-01,375.7909849215606
2020-10-02,384.368499556328
2020-10-05,387.82660518579274
2020-10-06,395.7980812299408
2020-10-07,422.23877168743445
2020-10-08,411.4677939100867
2020-10-09,398.98744974254754
2020-10-12,408.70519284684366
2020-10-13,399.96729928834355
2020-10-14,388.008102957737
2020-10-15,401.23977679172305
2020-10-16,419.9857307759956
2020-10-19,403.82503772081856
2020-10-20,407.4497814813288
2020-10-21,388.75665185681345
2020-10-22,384.16561353903165
2020-10-23,392.4023086337331
2020-10-26,371.8098919701503
2020-10-27,376.3152686954661
2020-10-28,388.6489392764874
2020-10-29,391.16272892756444
2020-10-30,383.6015155161075
2020-11-02,379.9596728480126
2020-11-03,369.5307487476804
2020-11-04,367.962133153019
2020-11-05,353.2359847834298
2020-11-06,358.0708841557448
2020-11-09,365.98178915672264
2020-11-10,370.4236589165068
2020-11-11,392.3881494628045
2020-11-12,408.91490880731584
