Date,SAP
2020-01-01,134.17400411535155
2020-01-02,136.57708062289706
2020-01-03,138.57164097147114
2020-01-06,139.08778067056818
2020-01-07,137.18197949235926
2020-01-08,136.48113629713168
2020-01-09,137.43564916948944
2020-01-10,139.0588501098287
2020-01-13,139.58616398965154
2020-01-14,138.7395996919885
2020-01-15,137.95777398656392
2020-01-16,137.71692998987652
2020-01-17,135.19961934211076
2020-01-20,134.34373838452834
2020-01-21,133.59405058761456
2020-01-22,134.25946245138073
2020-01-23,135.62407068751006
2020-01-24,137.93414030334552
2020-01-27,140.29390905663686
2020-01-28,138.67339835182923
2020-01-29,137.2204885173347
2020-01-30,137.3748942812978
2020-01-31,140.20038920059795
2020-02-03,137.95758028707718
2020-02-04,137.24472663315456
2020-02-05,135.46137438188492
2020-02-06,134.39084896363948
2020-02-07,133.67555033599083
2020-02-10,132.68263184611342
2020-02-11,134.98101971811445
2020-02-12,135.90269863449666
2020-02-13,135.38024614277762
2020-02-14,137.4170300192112
2020-02-17,133.46002274950615
2020-02-18,134.51388928025537
2020-02-19,137.7674949520628
2020-02-20,137.4028280379
2020-02-21,138.79033530986882
2020-02-24,137.39946683202348
2020-02-25,139.1607299378315
2020-02-26,137.92365462722103
2020-02-27,137.94968087810915
2020-02-28,137.0223355342054
2020-03-02,139.1096538255317
2020-03-03,137.43958659467
2020-03-04,138.85235342584824
2020-03-05,137.0620123387734
2020-03-06,137.30576239223362
2020-03-09,136.50744090057705
2020-03-10,137.60774322311042
2020-03-11,136.72561952344282
2020-03-12,136.25197472424387
2020-03-13,137.13189533237636
2020-03-16,137.6972708993486
2020-03-17,137.53004144120658
2020-03-18,134.67159545759924
2020-03-19,134.08882257636893
2020-03-20,132.75155248059178
2020-03-23,132.2949787534462
2020-03-24,135.78118102211292
2020-03-25,130.21955566334358
2020-03-26,134.2937440765628
2020-03-27,135.78838128277476
2020-03-30,136.80709858398095
2020-03-31,139.48236816793215
2020-04-01,141.8310006598681
2020-04-02,139.97159389648567
2020-04-03,138.8998135991334
2020-04-06,138.1767603577845
2020-04-07,138.37475546613095
2020-04-08,138.1839196330597
2020-04-09,136.54303374747207
2020-04-10,136.00561269915002
2020-04-13,138.3637261901975
2020-04-14,137.8076676966542
2020-04-15,131.8888412126296
2020-04-16,131.75961969329887
2020-04-17,132.07311969835646
2020-04-20,128.52916842558997
2020-04-21,128.64836002094856
2020-04-22,128.51722605161757
2020-04-23,128.42822468283345
2020-04-24,125.4867219073711
2020-04-27,123.41452621685603
2020-04-28,121.93828139348963
2020-04-29,121.07820052119897
2020-04-30,122.20195896268056
2020-05-01,121.39178604455503
2020-05-04,121.80545785932443
2020-05-05,123.02200043856308
2020-05-06,122.6732772955311
2020-05-07,123.6604859006814
2020-05-08,124.96644027315877
2020-05-11,124.26276916138438
2020-05-12,125.22398053615734
2020-05-13,123.66019571023622
2020-05-14,120.406829789247
2020-05-15,120.20093683280436
2020-05-18,122.24775017371094
2020-05-19,123.22475173322593
2020-05-20,123.84772350500803
2020-05-21,120.07783456140203
2020-05-22,121.08400367628806
2020-05-25,118.62840157630899
2020-05-26,120.94226123419747
2020-05-27,121.45616219698346
2020-05-28,118.11205089282971
2020-05-29,117.53317810595874
2020-06-01,116.70249266187558
2020-06-02,116.81793586811342
2020-06-03,118.02729873175281
2020-06-04,119.20935064256473
2020-06-05,119.81702018131813
2020-06-08,120.15284488803731
2020-06-09,119.74113832677006
2020-06-10,118.47274636084062
2020-06-11,118.21711052012871
2020-06-12,119.6258552875896
2020-06-15,119.70845774808694
2020-06-16,119.54290645916045
2020-06-17,117.54603339360902
2020-06-18,119.2461926409035
2020-06-19,117.57595694026455
2020-06-22,117.2442970248363
2020-06-23,118.51242316190702
2020-06-24,118.94307228805044
2020-06-25,119.9797525190683
2020-06-26,118.09220299759514
2020-06-29,115.0010329701126
2020-06-30,114.19830395760465
2020-07-01,113.98238260471776
2020-07-02,113.68071704909838
2020-07-03,113.95253863706981
2020-07-06,117.90052512674697
2020-07-07,118.98478529292952
2020-07-08,117.29478796676969
2020-07-09,117.83965267046311
2020-07-10,119.05686439313027
2020-07-13,118.20062262011551
2020-07-14,118.48911823249048
2020-07-15,118.34406953565504
2020-07-16,118.61662974422107
2020-07-17,117.82370507697975
2020-07-20,120.95339768823536
2020-07-21,121.7431064927419
2020-07-22,122.77902855390306
2020-07-23,121.80819091160724
2020-07-24,123.5743139872058
2020-07-27,125.75380915139287
2020-07-28,125.00062243680672
2020-07-29,124.09216209867043
2020-07-30,123.36019441074436
2020-07-31,122.83751011605176
2020-08-03,122.78322404269262
2020-08-04,120.92674120625082
2020-08-05,120.96172144909436
2020-08-06,120.66499874619291
2020-08-07,120.45505160230887
2020-08-10,118.18933348495217
2020-08-11,118.88896251740287
2020-08-12,118.74596529188712
2020-08-13,117.97925618269309
2020-08-14,120.21597933024566
2020-08-17,120.31683135488663
2020-08-18,119.83503577287567
2020-08-19,120.06977716445328
2020-08-20,121.60137786379663
2020-08-21,122.6667338171543
2020-08-24,122.00297406124686
2020-08-25,123.46169034648494
2020-08-26,123.43577899443548
2020-08-27,122.83556198154423
2020-08-28,121.53804638163383
2020-08-31,119.54623306246964
2020-09-01,119.9405032562473
2020-09-02,118.54064622810957
2020-09-03,117.63136085830658
2020-09-04,120.22509057080073
2020-09-07,121.52515310180901
2020-09-08,121.83000260184967
2020-09-09,121.2211709171232
2020-09-10,122.27843422932962
2020-09-11,121.40568968939891
2020-09-14,122.99102050460203
2020-09-15,121.79442891246367
2020-09-16,117.69787612580825
2020-09-17,118.1060123526301
2020-09-18,119.34303608673459
2020-09-21,119.06732368763038
2020-09-22,119.67807240384353
2020-09-23,121.38208081075365
2020-09-24,123.18681329928093
2020-09-25,120.24561325421143
2020-09-28,119.13036435313259
2020-09-29,118.68123299235913
2020-09-30,118.79774900044664
2020-10-01,118.70062024352329
2020-10-02,118.07857631894284
2020-10-05,118.9731218347726
2020-10-06,118.82221328801064
2020-10-07,118.8254431413834
2020-10-08,119.46011544662875
2020-10-09,118.17198325138959
2020-10-12,116.99275539108154
2020-10-13,116.1805225621128
2020-10-14,115.83860820281328
2020-10-15,116.23257014142017
2020-10-16,115.22238728125234
2020-10-19,115.12989524967908
2020-10-20,113.70483614114907
2020-10-21,113.85527186992273
2020-10-22,115.36126067786599
2020-10-23,114.46016944661979
2020-10-26,114.64112274348797
2020-10-27,113.68746559027419
2020-10-28,113.80566003627222
2020-10-29,112.43071868428164
2020-10-30,111.8951358708847
2020-11-02,113.68807980367777
2020-11-03,114.93421838079524
2020-11-04,111.83138072908767
2020-11-05,112.90493781058936
2020-11-06,113.60344726224265
2020-11-09,114.44817996567468
2020-11-10,114.9650141583649
2020-11-11,115.30886791857115
2020-11-12,117.8754431021009
2020-11-13,118.13711330214016
2020-11-16,117.8906494304733
2020-11-17,118.04320051920261
2020-11-18,119.1053429591475
2020-11-19,118.43081735560575
2020-11-20,117.81041328199058
2020-11-23,115.70099329703734
2020-11-24,116.67036575867164
2020-11-25,117.13079872591412
2020-11-26,119.27171547215039
2020-11-27,116.655401313182
2020-11-30,119.84943321938214
2020-12-01,118.0453839310366
2020-12-02,115.05260139767961
2020-12-03,114.3512006667867
2020-12-04,115.8210525842444
2020-12-07,115.90665912050157
2020-12-08,117.691192230836
2020-12-09,116.74079181405575
2020-12-10,119.85130861072874
2020-12-11,122.67799241799332
2020-12-14,122.20808556419446
2020-12-15,121.80458259420747
2020-12-16,122.32668389629772
2020-12-17,121.19113497541643
2020-12-18,120.62128668955225
2020-12-21,121.31866511036766
2020-12-22,119.62551181911672
2020-12-23,116.72916008661674
2020-12-24,117.57640933178548
2020-12-25,116.82160449716807
2020-12-28,116.0730584768411
2020-12-29,117.91039655504791
2020-12-30,118.76206138446103
2020-12-31,119.58154976214061
2021-01-01,121.53184151617317
2021-01-04,119.60997775446998
2021-01-05,120.80943889513489
2021-01-06,119.2953213270599
2021-01-07,121.48967693417345
2021-01-08,120.14050906427698
2021-01-11,120.40754123332869
2021-01-12,117.01319613715388
2021-01-13,116.15631055059136
2021-01-14,115.41036382060469
2021-01-15,112.5293435503002
2021-01-18,113.13308591855184
2021-01-19,113.58810959988303
2021-01-20,114.50990304113614
2021-01-21,114.41745537627767
2021-01-22,114.07902946114424
2021-01-25,112.8654843959476
2021-01-26,114.35551680206464
2021-01-27,114.40932376915337
2021-01-28,112.30841316811983
2021-01-29,110.40705604657892
2021-02-01,111.80384734264887
2021-02-02,114.73189004205737
2021-02-03,115.82442187534326
2021-02-04,116.1700633406085
2021-02-05,118.17180619821005
2021-02-08,120.66043331283738
2021-02-09,119.95419466764359
2021-02-10,118.42601081824745
2021-02-11,119.70349511291944
2021-02-12,117.5675134821334
2021-02-15,119.18447573939758
2021-02-16,118.08365537062039
2021-02-17,117.48586065639657
2021-02-18,117.77220771393968
2021-02-19,117.32841309869073
2021-02-22,118.91526859884374
2021-02-23,120.39265287786436
2021-02-24,121.8034158351455
