Date,KLAC
2020-01-01,102.20138793402381
2020-01-02,99.57853916148889
2020-01-03,99.30791495280171
2020-01-06,100.7615217953368
2020-01-07,100.61752162438361
2020-01-08,101.41741550301232
2020-01-09,103.19191525706907
2020-01-10,103.03032807796643
2020-01-13,102.66906825408631
2020-01-14,102.66670072614077
2020-01-15,100.81647693375112
2020-01-16,99.8110526865986
2020-01-17,99.97872607210692
2020-01-20,99.64887696695895
2020-01-21,99.4469611943539
2020-01-22,98.40953732468742
2020-01-23,100.30459842475841
2020-01-24,100.71556716098773
2020-01-27,99.94213078547324
2020-01-28,99.44330581207633
2020-01-29,97.39170341163329
2020-01-30,95.66227502800895
2020-01-31,96.3834814571918
2020-02-03,95.28141701635248
2020-02-04,92.89153058220839
2020-02-05,92.44838002231577
2020-02-06,90.29502467433154
2020-02-07,88.10053310040773
2020-02-10,88.55064051118887
2020-02-11,87.06250710659707
2020-02-12,87.21565762541557
2020-02-13,87.20565919544009
2020-02-14,87.21545443907026
2020-02-17,87.03731098825929
2020-02-18,85.24752482508131
2020-02-19,85.79700097872644
2020-02-20,86.11399623287252
2020-02-21,86.19144418183924
2020-02-24,86.90462425731992
2020-02-25,85.85048339506918
2020-02-26,84.72086525585206
2020-02-27,83.44239425837452
2020-02-28,83.56795735213069
2020-03-02,82.99269267983993
2020-03-03,85.27323695530018
2020-03-04,84.91762034343023
2020-03-05,85.11498029998465
2020-03-06,84.8373728627458
2020-03-09,84.74349423248371
2020-03-10,83.35987109312047
2020-03-11,83.83208407223864
2020-03-12,83.69042434167484
2020-03-13,84.74542617550536
2020-03-16,84.54007489827222
2020-03-17,83.97530316033412
2020-03-18,83.05278239660508
2020-03-19,82.79325008350017
2020-03-20,82.9452918595319
2020-03-23,82.27134733562539
2020-03-24,81.45602426584925
2020-03-25,81.03303974454361
2020-03-26,82.46731738797607
2020-03-27,82.62831069187335
2020-03-30,83.02023580509398
2020-03-31,82.75314103174517
2020-04-01,84.79578267919405
2020-04-02,83.57951208628425
2020-04-03,82.35406385947707
2020-04-06,83.00655868525692
2020-04-07,84.69000148701225
2020-04-08,85.34371417228415
2020-04-09,86.1808708874631
2020-04-10,85.59245448859205
2020-04-13,86.2526372981911
2020-04-14,88.49468823215867
2020-04-15,89.04213206119978
2020-04-16,88.55611827357126
2020-04-17,89.27640750371023
2020-04-20,88.59138655484753
2020-04-21,88.2173882080305
2020-04-22,89.40574534836509
2020-04-23,90.40991479639467
2020-04-24,92.37083191783881
2020-04-27,91.9701981309697
2020-04-28,92.47933517713207
2020-04-29,93.47781583073683
2020-04-30,91.19615883128469
2020-05-01,90.50063305763622
2020-05-04,90.77104846172512
2020-05-05,90.89078223537712
2020-05-06,89.67580249898576
2020-05-07,90.73057034044757
2020-05-08,89.95207894105432
2020-05-11,89.85108662123793
2020-05-12,88.63190287311728
2020-05-13,87.97591232404005
2020-05-14,88.07726861198786
2020-05-15,88.33050454100534
2020-05-18,88.53762751225601
2020-05-19,89.81965212172295
2020-05-20,91.09011094742195
2020-05-21,91.25777472936365
2020-05-22,92.08764494985455
2020-05-25,93.97568023047383
2020-05-26,94.53485958334113
2020-05-27,94.67321744381746
2020-05-28,93.27237448644507
2020-05-29,92.28306173466106
2020-06-01,92.79926346115137
2020-06-02,90.71404421790618
2020-06-03,90.04897824847495
2020-06-04,88.4197839737291
2020-06-05,88.56480826699226
2020-06-08,90.37615320413721
2020-06-09,91.70566718463121
2020-06-10,92.00608485260126
2020-06-11,92.50231122578545
2020-06-12,94.14988265167234
2020-06-15,93.67494348153936
2020-06-16,93.14294118566858
2020-06-17,94.32002902326767
2020-06-18,95.3418182214881
2020-06-19,95.76592193472703
2020-06-22,95.47264713322757
2020-06-23,96.50436608232292
2020-06-24,98.82361741532621
2020-06-25,99.50216422776847
2020-06-26,99.0495686912374
2020-06-29,99.4919356179141
2020-06-30,99.59081885061653
2020-07-01,100.00451499609807
2020-07-02,99.9735314491995
2020-07-03,102.24299179791224
2020-07-06,102.75032044633052
2020-07-07,102.44311172414568
2020-07-08,102.88345312630773
2020-07-09,102.67647363496917
2020-07-10,99.72427669201741
