Date,BAC
2020-01-01,422.390204435571
2020-01-02,405.33352703891563
2020-01-03,397.15104347414467
2020-01-06,404.5631046071304
2020-01-07,379.62361798240454
2020-01-08,390.70274005393003
2020-01-09,379.8580357790676
2020-01-10,374.38440614682656
2020-01-13,388.911703007596
2020-01-14,382.8884936659509
2020-01-15,370.4950986516589
2020-01-16,374.7205442349093
2020-01-17,377.8258846030414
2020-01-20,368.5610479569022
2020-01-21,367.81871105937904
2020-01-22,357.1699905485067
2020-01-23,350.40410426500483
2020-01-24,341.5731240290993
2020-01-27,345.94664994584286
2020-01-28,361.269817564359
2020-01-29,368.39319592805356
2020-01-30,373.5264493628456
2020-01-31,389.15380118318336
2020-02-03,403.0180139012776
2020-02-04,406.2603951334395
2020-02-05,403.6389148964926
2020-02-06,409.14251803181753
2020-02-07,405.4469011758913
2020-02-10,382.37977847010694
2020-02-11,379.9394824368773
2020-02-12,371.9493121924048
2020-02-13,371.31796425436374
2020-02-14,365.35466235951515
2020-02-17,361.70583610041876
2020-02-18,358.8371542903255
2020-02-19,355.6019957437231
2020-02-20,364.5500374058502
2020-02-21,360.18971621826256
2020-02-24,368.9613390364442
2020-02-25,355.7439806935254
2020-02-26,351.64370972362127
2020-02-27,347.9743292549158
2020-02-28,367.79711904478216
2020-03-02,366.0720247897309
2020-03-03,357.1177612734724
2020-03-04,366.58847859615804
2020-03-05,367.31122897134867
2020-03-06,372.01217350256127
2020-03-09,361.14034965496484
2020-03-10,346.74789515159347
2020-03-11,337.3823054256337
2020-03-12,347.2155053683846
2020-03-13,361.5651472814477
2020-03-16,365.610647290927
2020-03-17,363.8412157500876
2020-03-18,372.2667184804165
2020-03-19,374.7630206682873
2020-03-20,371.8815301423183
2020-03-23,380.14594964218946
2020-03-24,386.69440380014856
2020-03-25,371.7336932173504
2020-03-26,378.89773174676577
2020-03-27,382.8409230566403
2020-03-30,381.81676931629255
2020-03-31,380.4200226448723
2020-04-01,365.8950887505121
2020-04-02,370.11346326841283
2020-04-03,375.247115253329
2020-04-06,390.22559868361736
2020-04-07,384.6849668951004
2020-04-08,386.3856867195705
2020-04-09,395.0409948013192
2020-04-10,408.96873476659164
2020-04-13,394.1923901510579
2020-04-14,389.3580420673506
2020-04-15,389.528056996046
2020-04-16,389.9562519946148
2020-04-17,393.146280211989
2020-04-20,377.5684307428969
2020-04-21,376.2018632292948
2020-04-22,371.6423339152792
2020-04-23,367.9869211628803
2020-04-24,360.35123192403336
2020-04-27,365.6887349283941
2020-04-28,368.41113208279637
2020-04-29,365.5102279456005
2020-04-30,357.18376272905806
2020-05-01,366.4821288589946
2020-05-04,371.01648345401577
2020-05-05,359.9818527273256
2020-05-06,369.9405741820796
2020-05-07,374.447843567745
2020-05-08,382.5461592412806
2020-05-11,416.53520293343047
2020-05-12,407.5540366292776
2020-05-13,388.6152489043879
2020-05-14,383.6308083313727
2020-05-15,394.2528912419824
2020-05-18,399.9563819361227
2020-05-19,398.591973057175
2020-05-20,400.5166886677262
2020-05-21,412.0642654003477
2020-05-22,409.25736368878626
2020-05-25,417.58610794200393
2020-05-26,420.3918805795964
2020-05-27,431.0709251421089
2020-05-28,435.86698415125596
2020-05-29,440.57640282205557
2020-06-01,455.447035374727
2020-06-02,449.44976063872735
2020-06-03,445.25451423392315
2020-06-04,462.1605720191147
2020-06-05,467.86610025587504
2020-06-08,456.93953041061076
2020-06-09,437.8140601369762
2020-06-10,446.45586919122593
2020-06-11,465.7247811153145
2020-06-12,451.0563942378512
2020-06-15,442.107576364802
2020-06-16,421.75637166573466
2020-06-17,411.70742324852176
2020-06-18,397.0762196948613
2020-06-19,406.7484623379914
2020-06-22,394.5403387060532
2020-06-23,399.74434428051626
2020-06-24,404.1600093113589
2020-06-25,408.9154593441883
2020-06-26,413.3757938322985
2020-06-29,409.34406066957246
2020-06-30,420.10927071587713
2020-07-01,412.49361380813525
2020-07-02,412.4691921430624
2020-07-03,433.80027084116887
2020-07-06,442.34045887791416
2020-07-07,429.6752887779595
2020-07-08,434.7311168053641
2020-07-09,433.7068049658371
2020-07-10,437.89283714194823
2020-07-13,451.26951940517705
2020-07-14,444.6333575746802
2020-07-15,459.43972421538973
2020-07-16,456.04414987128246
2020-07-17,448.15446655920476
2020-07-20,461.2214654956235
2020-07-21,430.61740468873484
2020-07-22,446.53906762801853
2020-07-23,421.6340740878374
2020-07-24,413.4235630908064
2020-07-27,412.6880378347681
2020-07-28,407.179109285577
2020-07-29,391.53085142040146
2020-07-30,394.7472511103092
2020-07-31,400.22769722973885
2020-08-03,380.80114376716136
2020-08-04,384.89597392090894
2020-08-05,383.8721805502929
2020-08-06,384.8378338614619
2020-08-07,372.00186593839106
2020-08-10,384.1307856017379
2020-08-11,372.73952514342375
2020-08-12,386.23972553245295
2020-08-13,392.4671241265565
2020-08-14,402.0000556489947
2020-08-17,427.60380998543
2020-08-18,422.7665107723663
2020-08-19,418.23471156335904
