Date,WFC
2020-01-01,103.65247047212345
2020-01-02,103.11619012738988
2020-01-03,104.51744937165402
2020-01-06,104.09877782501673
2020-01-07,105.27123978737443
2020-01-08,104.86129537867777
2020-01-09,104.95863159825355
2020-01-10,103.70949461295446
2020-01-13,102.0348684441603
2020-01-14,104.9848442467548
2020-01-15,103.53541184596419
2020-01-16,104.6731057838537
2020-01-17,101.70828595988888
2020-01-20,103.77623901692556
2020-01-21,103.2332533527922
2020-01-22,103.96788982784435
2020-01-23,104.18901184412275
2020-01-24,104.61347709990798
2020-01-27,106.95347740724895
2020-01-28,107.07058350534642
2020-01-29,106.31056867474396
2020-01-30,106.17193507181575
2020-01-31,109.11035691036231
2020-02-03,110.6336966903121
2020-02-04,107.12983376830886
2020-02-05,105.7030126934642
2020-02-06,107.34809232278947
2020-02-07,108.13619307036537
2020-02-10,109.9403416855219
2020-02-11,110.75475888693454
2020-02-12,112.7393951192004
2020-02-13,112.64828260489963
2020-02-14,113.70207274173315
2020-02-17,112.65892879259367
2020-02-18,112.40959189263619
2020-02-19,116.17819290344262
2020-02-20,115.15317082545144
2020-02-21,111.47019332796982
2020-02-24,112.56134420571004
2020-02-25,112.22123922806898
2020-02-26,113.11039263367154
2020-02-27,109.5439188752014
2020-02-28,109.27889678950154
2020-03-02,109.7447157167419
2020-03-03,113.96983278716124
2020-03-04,112.59562825730953
2020-03-05,112.59917617916986
2020-03-06,111.25291642072477
2020-03-09,110.20633412219502
2020-03-10,110.59095863475612
2020-03-11,109.87134516967517
2020-03-12,110.82524417103647
2020-03-13,111.49748837407367
2020-03-16,107.9884366844678
2020-03-17,110.99041992006998
2020-03-18,111.84929313839926
2020-03-19,111.15903760750088
2020-03-20,111.23502816914595
2020-03-23,113.92416556158882
2020-03-24,116.83099047513988
2020-03-25,118.87524791257741
2020-03-26,115.87113291856026
2020-03-27,115.43621895974175
2020-03-30,118.35728368266663
2020-03-31,117.27292705975383
2020-04-01,120.44583852736082
2020-04-02,120.18578132090177
2020-04-03,122.07773303584776
2020-04-06,121.85569261602798
2020-04-07,124.23338536663722
