Date,AVGO
2020-01-01,119.1631365922844
2020-01-02,117.19421975889135
2020-01-03,117.42446132964413
2020-01-06,118.19600942515424
2020-01-07,118.72981082511494
2020-01-08,118.68958944488129
2020-01-09,120.06217636786347
2020-01-10,120.37608081588034
2020-01-13,118.3973654844397
2020-01-14,117.58069680135394
2020-01-15,117.28631320159964
2020-01-16,116.77101268434517
2020-01-17,116.5587313613604
2020-01-20,118.15643476446147
2020-01-21,118.01762529927589
2020-01-22,117.7649849438933
2020-01-23,118.5122537922261
2020-01-24,118.64704092672496
2020-01-27,118.82784761045625
2020-01-28,119.8378359184885
2020-01-29,119.83612030553547
2020-01-30,119.0538676181756
2020-01-31,119.18904127672357
2020-02-03,119.01240127132262
2020-02-04,117.65845967356559
2020-02-05,116.86327095447156
2020-02-06,115.54794275771452
2020-02-07,116.89188030469263
2020-02-10,116.84843840339747
2020-02-11,117.07991223074555
2020-02-12,116.7013886591007
2020-02-13,115.52201630831752
2020-02-14,117.48740627153919
2020-02-17,117.33914858518852
2020-02-18,115.48627979713845
2020-02-19,114.51191008500163
2020-02-20,114.05175185662209
2020-02-21,114.19463838546241
2020-02-24,112.88174143034117
2020-02-25,112.7726956327904
2020-02-26,112.15610708221779
2020-02-27,110.95065088525256
2020-02-28,110.32118370869281
2020-03-02,109.74159878447117
2020-03-03,110.14173271263046
2020-03-04,110.24671536504394
2020-03-05,110.18691938620726
2020-03-06,111.40200594859701
2020-03-09,112.62257946048192
2020-03-10,113.46008388991754
2020-03-11,113.85165174937052
2020-03-12,113.15436013665978
2020-03-13,114.47508188878686
2020-03-16,114.3363681544642
2020-03-17,112.43853824132916
2020-03-18,114.81538947226069
2020-03-19,115.14571257097079
2020-03-20,114.48710031545482
2020-03-23,114.45437146561441
2020-03-24,116.76273926274459
2020-03-25,118.48874732040794
2020-03-26,119.86395713755797
2020-03-27,119.99686151303503
2020-03-30,118.72447792706977
2020-03-31,119.07317829556557
2020-04-01,118.56130762039795
2020-04-02,118.99686230982518
2020-04-03,117.56540193841911
2020-04-06,117.72035921949072
2020-04-07,117.95292603914194
2020-04-08,117.73994544200835
2020-04-09,116.70659075570852
2020-04-10,117.50997529884887
2020-04-13,117.4450976625545
2020-04-14,116.47638658070962
2020-04-15,118.72018818576659
2020-04-16,119.51923277125057
2020-04-17,120.48628284935714
2020-04-20,119.54398945684883
2020-04-21,119.42323603339271
2020-04-22,119.31573203247622
2020-04-23,117.68459869164535
2020-04-24,117.90208315450282
2020-04-27,116.81816127830926
2020-04-28,116.79324254504374
2020-04-29,117.46940439617298
2020-04-30,117.07303783441537
2020-05-01,116.86216760470147
2020-05-04,113.77464088236461
2020-05-05,114.24601816676798
2020-05-06,113.90342506995853
2020-05-07,112.17135082747139
2020-05-08,112.71779297402423
2020-05-11,112.46295957486893
2020-05-12,112.96620264834961
2020-05-13,113.88770452532776
2020-05-14,111.92891267722368
2020-05-15,111.66551200914031
2020-05-18,110.86657775990857
2020-05-19,112.74589678228003
2020-05-20,114.17393440355426
2020-05-21,113.29872063782277
2020-05-22,113.27473376319134
2020-05-25,114.27411808004688
2020-05-26,116.71841263108395
2020-05-27,116.85896884323198
2020-05-28,114.08376217147548
2020-05-29,113.35865509164653
2020-06-01,114.55561657335133
2020-06-02,114.77262442952365
2020-06-03,115.38041263769486
2020-06-04,113.67337292806828
2020-06-05,113.96305386818179
2020-06-08,113.84169183332712
2020-06-09,113.59503798660252
2020-06-10,115.02970156013582
2020-06-11,114.22426065669927
2020-06-12,114.43407688469777
2020-06-15,112.12440338448505
2020-06-16,111.86268520583445
2020-06-17,111.01583068198798
2020-06-18,110.73745516259704
2020-06-19,110.68300387415883
2020-06-22,110.99541536249244
2020-06-23,110.81182371181438
2020-06-24,110.86071528222286
2020-06-25,110.68220409279299
2020-06-26,110.45360189814758
2020-06-29,110.53259548101715
2020-06-30,111.46612990151027
2020-07-01,111.52431058044434
2020-07-02,112.46078441171412
2020-07-03,114.22984439310018
2020-07-06,115.1973603723417
2020-07-07,116.62909966199878
2020-07-08,117.59246502753318
2020-07-09,117.8640069907599
2020-07-10,117.71549305623986
2020-07-13,118.13803292005639
2020-07-14,116.33603930438188
2020-07-15,114.26928941138358
2020-07-16,116.35772527950346
2020-07-17,116.39233293132928
2020-07-20,115.5789848436772
2020-07-21,112.86854440850155
2020-07-22,114.4066639771342
2020-07-23,113.4674621305362
2020-07-24,112.68486234086843
2020-07-27,111.7527247033087
2020-07-28,111.60455720838843
2020-07-29,112.37038054650631
2020-07-30,112.1385413653347
2020-07-31,112.41596460458659
2020-08-03,111.70159978489
2020-08-04,112.97724232753947
2020-08-05,112.79946561712458
2020-08-06,112.38007838104957
2020-08-07,110.91809412802148
2020-08-10,111.86709665452358
2020-08-11,111.45089768587842
2020-08-12,110.73835966926615
2020-08-13,110.90922215809252
2020-08-14,111.77906632716358
2020-08-17,112.05126419980988
2020-08-18,111.39559872544679
2020-08-19,111.76867288575262
2020-08-20,110.82853276477276
2020-08-21,108.66471274873375
2020-08-24,108.30333089378294
2020-08-25,108.81704058362138
2020-08-26,108.25412906127087
2020-08-27,109.47974091890293
2020-08-28,108.75528025885134
2020-08-31,109.67751003471272
2020-09-01,107.93427141540056
2020-09-02,107.15092010334773
2020-09-03,105.65396801152997
2020-09-04,104.42258793516858
2020-09-07,104.63250410670825
2020-09-08,105.51263702039648
2020-09-09,106.28726907724818
2020-09-10,106.9982508182783
2020-09-11,106.99522981415933
2020-09-14,106.15156934626832
2020-09-15,106.05070213757368
2020-09-16,107.8244755891235
2020-09-17,108.7701630644443
2020-09-18,108.05245086732259
2020-09-21,108.5661961584665
2020-09-22,109.39062400809829
2020-09-23,108.56645159372542
2020-09-24,109.04483788007833
2020-09-25,109.01561020411765
2020-09-28,108.36273325233655
2020-09-29,109.21624872955381
2020-09-30,111.16944735395614
2020-10-01,111.5652261958513
2020-10-02,111.37151955171674
2020-10-05,111.66126979057856
2020-10-06,111.5900684583312
2020-10-07,111.50630161059124
2020-10-08,112.17123407273985
2020-10-09,111.5253268429023
2020-10-12,113.08389447626845
2020-10-13,112.5713286032943
2020-10-14,111.02529500327893
2020-10-15,110.84725672570404
2020-10-16,111.45969840847732
2020-10-19,112.56620040443309
2020-10-20,111.79159759163319
2020-10-21,111.64263699387061
2020-10-22,111.65351663972844
2020-10-23,112.04385744448861
2020-10-26,113.3733248207646
2020-10-27,113.82428924223046
2020-10-28,114.18768955678269
2020-10-29,113.66798211256534
2020-10-30,115.04427687301416
2020-11-02,117.06184876925104
2020-11-03,119.45590520229565
2020-11-04,119.04800371407758
2020-11-05,119.51320330311279
2020-11-06,118.79164824340387
2020-11-09,118.03718485963557
2020-11-10,117.87251804378677
2020-11-11,118.27320806544782
2020-11-12,119.32613930000102
2020-11-13,120.10856769601175
2020-11-16,121.57308396924917
2020-11-17,120.3160336107127
2020-11-18,121.31964029239442
2020-11-19,121.59020409239474
2020-11-20,125.4057852477306
2020-11-23,124.73577368680361
2020-11-24,123.76641332050157
2020-11-25,124.41412394342797
2020-11-26,123.61040655210181
2020-11-27,124.07770231572609
2020-11-30,123.40681434009267
2020-12-01,122.14924915009348
2020-12-02,122.13422215489703
2020-12-03,121.332197300067
2020-12-04,123.18826524123925
2020-12-07,120.98340309083011
2020-12-08,123.12706858072431
2020-12-09,122.31757491541417
2020-12-10,120.82300217568735
2020-12-11,118.8942151826695
2020-12-14,119.02441095554416
2020-12-15,119.87716177968845
2020-12-16,120.90969644281101
2020-12-17,118.90957251608864
2020-12-18,120.59805968676896
2020-12-21,121.39448489650394
2020-12-22,122.17056624577675
2020-12-23,123.02616332798107
2020-12-24,122.65037420374844
2020-12-25,121.54723790303818
2020-12-28,123.12407439302231
2020-12-29,122.95559342078093
2020-12-30,124.28394130656122
2020-12-31,124.62893559453875
2021-01-01,125.86042386030225
2021-01-04,127.36825455775988
2021-01-05,127.34867869363103
2021-01-06,127.97165807497765
