Date,GD
2020-01-01,157.69643684093634
2020-01-02,159.6064066118188
2020-01-03,154.64885217217565
2020-01-06,152.03777515168937
2020-01-07,152.4708783930618
2020-01-08,155.4634302305334
2020-01-09,157.11659931691403
2020-01-10,153.92370637697104
2020-01-13,152.2295714706018
2020-01-14,152.37772185177826
2020-01-15,149.12363609659917
2020-01-16,151.56625886293702
2020-01-17,152.78226377029762
2020-01-20,148.77127166020188
2020-01-21,152.44582381745974
2020-01-22,147.81931595677815
2020-01-23,141.85545771886285
2020-01-24,140.7141770170316
2020-01-27,136.94719552866542
2020-01-28,133.26614573544603
2020-01-29,130.9460794978332
2020-01-30,134.58921872142446
2020-01-31,137.56370969278885
2020-02-03,134.69150840042718
2020-02-04,133.593982234583
2020-02-05,134.9747078411368
2020-02-06,132.27467340048034
2020-02-07,129.79700107081567
2020-02-10,125.2342756046299
2020-02-11,126.93771852460074
2020-02-12,126.69806455646157
2020-02-13,126.11677363007118
2020-02-14,131.6639456691625
2020-02-17,131.44820617554925
2020-02-18,133.0022650403638
2020-02-19,144.03283977322667
2020-02-20,141.10858902986516
2020-02-21,140.1009063573682
2020-02-24,137.84668372181977
2020-02-25,143.12621530150847
2020-02-26,146.16207796148896
2020-02-27,141.8358755258508
2020-02-28,144.59770282409795
2020-03-02,140.75892356794765
2020-03-03,141.40920789008027
2020-03-04,139.8275690539979
2020-03-05,139.57499024217358
2020-03-06,137.60750543734204
2020-03-09,130.61089029430957
2020-03-10,129.92475475121316
2020-03-11,130.42494187954227
2020-03-12,123.33370314766573
2020-03-13,120.17768657763077
2020-03-16,119.95254458326123
2020-03-17,122.06631276651314
2020-03-18,115.74552603248081
2020-03-19,116.6399229292042
2020-03-20,117.81955416461886
2020-03-23,116.6581501352446
2020-03-24,120.71198388796806
2020-03-25,120.07185662909528
2020-03-26,117.16241935665279
2020-03-27,114.94563416480352
2020-03-30,117.35534672593155
2020-03-31,112.32385707731011
2020-04-01,112.69103692059043
2020-04-02,109.29444336605458
2020-04-03,110.53762510169206
2020-04-06,110.60432473189807
2020-04-07,109.01289031645366
2020-04-08,112.6714480154348
2020-04-09,116.79906163653249
2020-04-10,120.78100327490941
2020-04-13,117.97584709049946
2020-04-14,118.04888751133531
2020-04-15,116.90007809621223
2020-04-16,122.52997269476298
2020-04-17,121.87278546189148
2020-04-20,121.12253172154792
2020-04-21,120.06802690343908
2020-04-22,123.92487876414398
2020-04-23,128.70573699665766
2020-04-24,129.475615520609
2020-04-27,131.73418284702814
2020-04-28,133.48193070820903
2020-04-29,135.29850693030346
2020-04-30,134.82739109962006
2020-05-01,137.612025932107
2020-05-04,139.70079592663666
2020-05-05,142.68330282150896
2020-05-06,145.79586629489188
2020-05-07,148.93423799189574
2020-05-08,150.64512588275426
2020-05-11,145.90797814969548
2020-05-12,151.11593763170842
2020-05-13,148.92245965234557
2020-05-14,149.28441122055847
2020-05-15,151.15687468698405
2020-05-18,149.35421116172947
2020-05-19,150.44118997953368
2020-05-20,152.48114094555842
2020-05-21,154.82077272846
2020-05-22,157.52619189025407
2020-05-25,161.47224254380816
2020-05-26,158.59435318131005
2020-05-27,156.28139917896965
2020-05-28,166.64525517371138
2020-05-29,167.72047212782803
2020-06-01,164.33915474403625
2020-06-02,163.6966306492874
2020-06-03,163.26177225717538
2020-06-04,167.9760967478878
2020-06-05,168.2817181565208
2020-06-08,172.49474864454422
2020-06-09,169.02723953599207
2020-06-10,180.0597489480741
2020-06-11,183.31073521197814
2020-06-12,182.70095338978422
2020-06-15,182.0887420656025
2020-06-16,183.74482992249165
2020-06-17,187.45552660782005
2020-06-18,187.74639129536732
2020-06-19,188.9722623760393
2020-06-22,191.0652239309382
2020-06-23,192.2179878629852
2020-06-24,191.78797248029122
2020-06-25,195.00079566407518
2020-06-26,199.15055011036563
2020-06-29,193.93846082793632
2020-06-30,199.60549664856723
2020-07-01,196.71420653238226
2020-07-02,196.70006468544858
2020-07-03,193.59417787607092
2020-07-06,189.6370912141891
2020-07-07,195.65215056432135
2020-07-08,196.2404030556827
2020-07-09,200.23610826274566
2020-07-10,199.66211437876106
2020-07-13,195.41601853729819
2020-07-14,192.21913883851553
2020-07-15,194.04575049176756
2020-07-16,190.233830097957
2020-07-17,185.38222164275817
2020-07-20,185.2061366095729
2020-07-21,186.70860267909208
2020-07-22,185.92707229927666
2020-07-23,178.36423980824617
2020-07-24,180.73996633501892
2020-07-27,180.30656919083603
2020-07-28,177.63404589944975
2020-07-29,179.32469903632094
2020-07-30,182.22575818833528
2020-07-31,182.08401417243883
2020-08-03,186.02144040289053
2020-08-04,177.91880557265483
2020-08-05,171.38584988611447
2020-08-06,169.95367549808532
2020-08-07,166.4559296779659
2020-08-10,172.29162797565112
2020-08-11,176.29558897625523
2020-08-12,178.5881416998594
2020-08-13,182.1579562614691
2020-08-14,182.55710968871767
2020-08-17,178.41169967389936
2020-08-18,184.39647750366137
2020-08-19,184.8321951953242
2020-08-20,194.73511418499206
2020-08-21,190.97415023674355
2020-08-24,184.20398817430808
2020-08-25,181.88363652154078
2020-08-26,186.42622582093094
2020-08-27,186.69769572061588
2020-08-28,185.32895946418256
2020-08-31,178.21501623527078
2020-09-01,181.60239310753366
2020-09-02,182.81247121387472
2020-09-03,181.7487859699783
2020-09-04,179.32448260835474
2020-09-07,184.52390112866777
2020-09-08,181.2812104428104
2020-09-09,182.4697420385415
2020-09-10,175.89073945667894
2020-09-11,175.49326482812188
2020-09-14,182.71326106726747
2020-09-15,180.10992941550774
2020-09-16,185.07025606734592
2020-09-17,187.5201604277771
2020-09-18,187.55311728132767
2020-09-21,182.06719726423128
2020-09-22,187.03573151336843
2020-09-23,192.63785206804073
2020-09-24,194.02884613553314
2020-09-25,201.15793997626207
2020-09-28,195.60042786741
2020-09-29,201.39999440759493
2020-09-30,195.80276919150626
2020-10-01,184.47967129310493
2020-10-02,191.11266908039113
2020-10-05,189.09021492258486
2020-10-06,187.93957606974107
2020-10-07,182.88406015739827
2020-10-08,180.1511896748987
2020-10-09,179.94497617609355
2020-10-12,181.28154605935714
2020-10-13,179.5318750801969
2020-10-14,171.25094810241993
2020-10-15,168.08988616224016
2020-10-16,172.70026704853942
2020-10-19,176.499865357585
2020-10-20,169.8119033840966
2020-10-21,167.0945714291857
2020-10-22,169.41042832844613
2020-10-23,169.41976303748856
2020-10-26,168.1814221774622
2020-10-27,170.3930911200503
2020-10-28,167.65454119397626
2020-10-29,164.15451701640325
2020-10-30,161.6890495085929
2020-11-02,167.45542923667088
2020-11-03,169.80673558017133
2020-11-04,169.90636983832908
2020-11-05,172.69491613739166
2020-11-06,168.1760084805989
2020-11-09,160.32429572880355
2020-11-10,163.0173345168471
2020-11-11,165.0373188233637
2020-11-12,165.89234279869427
2020-11-13,162.30932385442378
2020-11-16,165.69413337002058
2020-11-17,162.75515932786837
2020-11-18,159.05101273671448
2020-11-19,156.2924437374766
2020-11-20,159.33376789606592
2020-11-23,155.1941037760078
2020-11-24,155.9494530749328
2020-11-25,155.86433922506052
2020-11-26,159.06879847611495
