Date,META
2020-01-01,91.81266887108019
2020-01-02,92.46134407683319
2020-01-03,92.87596462078629
2020-01-06,90.31683879719964
2020-01-07,90.679497114954
2020-01-08,89.59338960551992
2020-01-09,89.63031003365941
2020-01-10,94.67552599993499
2020-01-13,95.45149908144447
2020-01-14,95.01920089832589
2020-01-15,90.98373277933038
2020-01-16,92.33972828778352
2020-01-17,94.04839626840605
2020-01-20,91.89860044863494
2020-01-21,93.70809762490688
2020-01-22,94.34264455044247
2020-01-23,93.35138329937946
2020-01-24,91.19292947056259
2020-01-27,94.4886337091081
2020-01-28,93.57810889616769
2020-01-29,93.52034304062725
2020-01-30,89.88536772376942
2020-01-31,88.94960068112819
2020-02-03,91.40216481973886
2020-02-04,87.83303327790752
2020-02-05,86.53471631396928
2020-02-06,84.51907715863528
2020-02-07,81.08902298506761
2020-02-10,81.5129378069852
2020-02-11,83.38646400227805
2020-02-12,83.65214917946972
2020-02-13,84.33048447226554
2020-02-14,82.02517885217274
2020-02-17,80.82315590714809
2020-02-18,79.04329026653268
2020-02-19,80.44834830904314
2020-02-20,80.49397775497845
2020-02-21,83.26381486035072
2020-02-24,81.34715871825902
2020-02-25,83.20796495005692
2020-02-26,79.45777158013146
2020-02-27,80.55617057209005
2020-02-28,80.48715988546826
2020-03-02,83.21247234329779
2020-03-03,83.79364383158673
2020-03-04,82.49136763286398
2020-03-05,80.06879690577576
2020-03-06,78.93137052814139
2020-03-09,81.06327970836084
2020-03-10,79.30057006390616
2020-03-11,79.10640818400174
2020-03-12,79.67756938024205
2020-03-13,81.9103379484187
2020-03-16,83.3206446513177
2020-03-17,80.10682084714735
2020-03-18,77.82044310323752
2020-03-19,77.98340265647269
2020-03-20,80.9196711863524
2020-03-23,78.76527462678456
2020-03-24,74.87392889651589
2020-03-25,74.87421676763266
2020-03-26,73.89242014240583
2020-03-27,71.80189109981204
2020-03-30,72.77805571789533
2020-03-31,74.7880924035201
2020-04-01,75.40735018185865
2020-04-02,75.52864981479492
2020-04-03,77.0172455531592
2020-04-06,77.62397157377936
2020-04-07,72.91930207063515
2020-04-08,70.4590542026796
2020-04-09,68.65176249091377
2020-04-10,68.1584558504726
2020-04-13,66.9222392575074
2020-04-14,69.00000061267463
2020-04-15,67.67987191871993
2020-04-16,65.59505107506672
2020-04-17,64.18328739194328
2020-04-20,65.71762588528861
2020-04-21,65.00946382480136
2020-04-22,65.56008709365953
2020-04-23,62.19079128129813
2020-04-24,63.198257519420565
2020-04-27,62.3368522611945
2020-04-28,62.676837700816826
2020-04-29,60.13443694823762
2020-04-30,60.818451903914166
2020-05-01,59.109127217729025
2020-05-04,60.227617581551264
2020-05-05,60.08580065961906
2020-05-06,59.978267290786725
2020-05-07,58.68181548684721
2020-05-08,59.55376054314544
2020-05-11,57.33845382508225
2020-05-12,57.862174753887714
2020-05-13,57.34745075291835
2020-05-14,58.284820537099705
2020-05-15,57.77518198755899
2020-05-18,58.10883420500392
2020-05-19,57.73400389404465
2020-05-20,59.40062158718268
2020-05-21,60.36333255461201
2020-05-22,61.99472574724262
2020-05-25,63.43440206699457
2020-05-26,63.26120166661004
2020-05-27,63.30952727715385
2020-05-28,61.41595494324713
2020-05-29,61.728849192693815
2020-06-01,62.07732225989966
2020-06-02,61.490211876599545
2020-06-03,62.59890972807637
2020-06-04,61.84874460035177
2020-06-05,62.03749566327699
2020-06-08,63.47315367848808
2020-06-09,62.1921736587182
2020-06-10,62.624451548269136
2020-06-11,60.47206373583253
2020-06-12,59.2399558400657
2020-06-15,57.75287412154858
2020-06-16,57.405038475014955
2020-06-17,57.928361583767945
2020-06-18,56.368104405527866
2020-06-19,56.82044872907568
2020-06-22,55.87535502217048
2020-06-23,55.7872017164834
2020-06-24,56.73894080033343
2020-06-25,58.32429230135242
2020-06-26,58.7303329028536
2020-06-29,59.63190118439446
2020-06-30,59.40868906648006
2020-07-01,56.87603629776492
2020-07-02,56.57029607536481
2020-07-03,58.371715051925165
2020-07-06,56.58992636078551
