Date,DE
2020-01-01,128.008489269271
2020-01-02,129.01909765724747
2020-01-03,127.14665290198809
2020-01-06,125.97366801711233
2020-01-07,122.44219666366133
2020-01-08,121.55192500218206
2020-01-09,120.63392991880868
2020-01-10,116.96666049847953
2020-01-13,119.11330227476347
2020-01-14,118.20305608101947
2020-01-15,117.6403724299541
2020-01-16,117.06177937570769
2020-01-17,117.0489448957435
2020-01-20,120.17907478316914
2020-01-21,122.75854725955779
2020-01-22,125.62691762820005
2020-01-23,121.37769173398289
2020-01-24,120.79852387794097
2020-01-27,120.60038757041248
2020-01-28,121.48452464348226
2020-01-29,113.35927040741562
2020-01-30,114.19386856768858
2020-01-31,110.92563266533898
2020-02-03,107.35476541428979
2020-02-04,104.02636963886904
2020-02-05,104.81083460530895
2020-02-06,105.21477074608543
2020-02-07,103.91511833003221
2020-02-10,101.87765891607968
2020-02-11,102.76152678600513
2020-02-12,99.28412979607039
2020-02-13,96.92469924595437
2020-02-14,95.26593959625659
2020-02-17,98.32298608845045
2020-02-18,98.25562885040948
2020-02-19,97.27605759711332
2020-02-20,99.32041649621847
2020-02-21,97.86516851828407
2020-02-24,95.47338245262729
2020-02-25,94.37740409876696
2020-02-26,93.16789572990228
2020-02-27,94.81357465068491
2020-02-28,91.75834892521802
2020-03-02,92.1558473710148
2020-03-03,93.75050681320042
2020-03-04,93.6119027106541
2020-03-05,92.769480361191
2020-03-06,91.01848037566012
2020-03-09,91.27774703646365
2020-03-10,89.45821634707781
2020-03-11,90.24182618172541
2020-03-12,86.99560275976877
2020-03-13,86.45047624542504
2020-03-16,89.19955356602985
2020-03-17,92.21908003596494
2020-03-18,93.6757398946964
2020-03-19,90.78130915704058
2020-03-20,94.34263247139906
2020-03-23,94.753432049477
2020-03-24,93.9782634813233
2020-03-25,93.71593778773237
2020-03-26,92.06297502857511
2020-03-27,91.80694825792294
2020-03-30,89.92464621952625
2020-03-31,89.2327690912691
2020-04-01,90.91355466626064
2020-04-02,93.11724069423346
2020-04-03,92.08555619031898
2020-04-06,90.23115825389013
2020-04-07,87.9990025772419
2020-04-08,91.43009085838285
2020-04-09,91.69176378364637
2020-04-10,92.16734260188142
2020-04-13,92.3963161929921
2020-04-14,93.70920360169978
2020-04-15,95.19864464738488
2020-04-16,89.3531989719696
2020-04-17,87.5696347271753
2020-04-20,89.25837870148126
2020-04-21,88.78264841364903
2020-04-22,87.43327312955313
2020-04-23,88.0210890247636
2020-04-24,89.31894247838787
2020-04-27,91.70063814580794
2020-04-28,91.39266013183925
2020-04-29,90.60055804000585
2020-04-30,92.76861265895857
2020-05-01,93.52452826010855
2020-05-04,94.09276133236688
2020-05-05,96.11907355119111
2020-05-06,94.9653751947713
2020-05-07,94.00419378772986
2020-05-08,92.48129791910627
2020-05-11,95.93334019008098
2020-05-12,95.58408651461758
2020-05-13,93.94977450540428
2020-05-14,93.83042695400431
2020-05-15,91.97096838969041
2020-05-18,90.74060429800767
2020-05-19,88.459326451821
2020-05-20,91.56575549543709
2020-05-21,92.72266356981258
2020-05-22,90.43086028887448
2020-05-25,91.60694271380022
2020-05-26,87.8887431860642
2020-05-27,87.10080743949187
2020-05-28,84.82712743890627
2020-05-29,84.49678556976683
2020-06-01,80.80005736301499
2020-06-02,81.1684787702646
2020-06-03,77.85556695322549
2020-06-04,79.71249044158677
2020-06-05,80.29861552692773
2020-06-08,81.51880563377901
2020-06-09,78.21517130396323
2020-06-10,80.65096199385162
2020-06-11,79.64354645090651
2020-06-12,80.02545064143456
2020-06-15,79.92325509899258
2020-06-16,82.62710406554126
2020-06-17,78.8282246104362
2020-06-18,80.91559974146372
2020-06-19,80.82291161611725
2020-06-22,79.98880954611732
2020-06-23,78.0313961546757
2020-06-24,74.23266630036827
2020-06-25,75.84054689224585
2020-06-26,75.19996364730113
2020-06-29,75.52588367814792
2020-06-30,72.59696367179211
2020-07-01,72.59986123437643
2020-07-02,70.07685781745136
2020-07-03,69.83303314917143
2020-07-06,72.42170150082792
2020-07-07,77.25326880731699
2020-07-08,72.39743980715076
2020-07-09,69.62796741705921
2020-07-10,69.31506640196591
2020-07-13,72.47177499601388
2020-07-14,73.21433013513371
2020-07-15,71.52468164698281
2020-07-16,72.84770439696501
2020-07-17,75.94690942860647
2020-07-20,79.28501497702246
2020-07-21,82.65754371912057
2020-07-22,82.92316172776287
2020-07-23,83.02713479196275
2020-07-24,84.86628035045929
2020-07-27,82.96363362587957
2020-07-28,85.99261489577157
2020-07-29,90.3181647000354
2020-07-30,91.63528776381887
2020-07-31,89.25848913213657
2020-08-03,89.80153082665832
2020-08-04,91.9207810567965
2020-08-05,89.39044896693309
2020-08-06,88.19458805160754
2020-08-07,87.7483802803569
2020-08-10,90.93720110058078
2020-08-11,89.91173985897944
2020-08-12,87.75536260943016
2020-08-13,87.71459031845403
2020-08-14,87.9725410900692
2020-08-17,90.78572946579989
2020-08-18,91.11544721013333
2020-08-19,94.2630517883996
2020-08-20,93.80686729292213
2020-08-21,94.8585431329823
2020-08-24,101.42433394602688
2020-08-25,102.6398063817958
2020-08-26,105.01274902213913
