Date,TAP
2020-01-01,191.77325319645686
2020-01-02,189.47155031307506
2020-01-03,186.92060357037155
2020-01-06,190.79034008612524
2020-01-07,186.10615508895765
2020-01-08,193.27457950614914
2020-01-09,183.29139420873517
2020-01-10,182.4184846264845
2020-01-13,187.57470259414887
2020-01-14,183.43726074294872
2020-01-15,177.69980441396936
2020-01-16,173.76945427206644
2020-01-17,169.46595381951838
2020-01-20,172.12702606014412
2020-01-21,174.84194238447972
2020-01-22,182.45571681221836
2020-01-23,178.8029103131787
2020-01-24,183.6292985099158
2020-01-27,186.81491990662158
2020-01-28,182.96914523471818
2020-01-29,178.07177105616023
2020-01-30,175.4177335560226
2020-01-31,176.81343968783878
2020-02-03,182.86585483341304
2020-02-04,172.39661719515163
2020-02-05,167.49350549331177
2020-02-06,167.618341345816
2020-02-07,171.72435770759765
2020-02-10,170.65992542880812
2020-02-11,171.9217062595881
2020-02-12,176.87742046732131
2020-02-13,175.24828395232484
2020-02-14,168.91838543307287
2020-02-17,167.5043768912004
2020-02-18,168.42751938377597
2020-02-19,168.80445508065168
2020-02-20,170.12075132832976
2020-02-21,174.97368986880156
2020-02-24,178.71320136977744
2020-02-25,178.51447063496866
2020-02-26,176.11768983297247
2020-02-27,171.54315026473927
2020-02-28,171.04818175400464
2020-03-02,177.0968882208959
2020-03-03,178.98137766672892
2020-03-04,180.2635882669331
2020-03-05,185.4169197713863
2020-03-06,178.22365878779536
2020-03-09,177.08279407083114
2020-03-10,185.55014068824835
2020-03-11,179.99903728573173
2020-03-12,176.8053450322603
2020-03-13,184.30133258918454
2020-03-16,179.1655494975792
2020-03-17,181.51752355475855
2020-03-18,181.95214400442129
2020-03-19,179.81076966698666
2020-03-20,182.54259355024
2020-03-23,178.55919946218376
2020-03-24,171.10923632444963
2020-03-25,175.27580654546358
2020-03-26,181.08506048294575
2020-03-27,179.53884467699055
2020-03-30,189.30491033434103
2020-03-31,192.51005239545466
2020-04-01,195.5856651215821
2020-04-02,191.93567367036084
2020-04-03,200.60922105308597
2020-04-06,204.43705114849433
2020-04-07,206.63103896312498
2020-04-08,200.18189545340107
2020-04-09,199.5537546794447
2020-04-10,198.55013787432426
2020-04-13,193.0281309353166
2020-04-14,192.06682436635282
2020-04-15,185.57767597185878
2020-04-16,179.5617358403015
2020-04-17,184.47385668360172
2020-04-20,183.66748338315588
2020-04-21,181.11471037645597
2020-04-22,182.87261614075618
2020-04-23,184.75961320671692
2020-04-24,195.117407456725
2020-04-27,193.34690094738892
2020-04-28,194.60821845395554
2020-04-29,192.23158212560472
2020-04-30,191.3931114236051
2020-05-01,190.46299103437696
2020-05-04,192.03932611291063
2020-05-05,180.0954444753263
2020-05-06,186.96883883811483
2020-05-07,187.4257203707181
2020-05-08,184.54889366084114
2020-05-11,188.49560211172377
2020-05-12,191.2208487497139
2020-05-13,198.56873259198068
2020-05-14,191.48441137200894
2020-05-15,189.45747733356384
2020-05-18,180.37409181454612
2020-05-19,177.30740030513772
2020-05-20,179.46290718105033
2020-05-21,182.77873780948087
2020-05-22,187.60158272867432
2020-05-25,174.96666245450248
2020-05-26,175.9964374668285
2020-05-27,187.05273789243478
2020-05-28,189.85607272358254
2020-05-29,186.89430572593702
2020-06-01,186.97932766985397
2020-06-02,185.38259295316325
2020-06-03,183.37568609215606
2020-06-04,184.6023891708467
2020-06-05,185.58004756920727
2020-06-08,187.00352771355043
2020-06-09,184.24573451490056
2020-06-10,175.0933610176075
2020-06-11,176.33340871212582
2020-06-12,173.16970309954806
2020-06-15,173.10363237521835
2020-06-16,185.02744644846499
2020-06-17,180.65497087503508
2020-06-18,182.00268759532756
2020-06-19,182.5712027143473
2020-06-22,175.2996033149633
2020-06-23,172.81335306702616
2020-06-24,176.70976632351145
2020-06-25,178.01894213766604
2020-06-26,177.3363548773577
2020-06-29,178.53973357651444
2020-06-30,176.69529829158236
2020-07-01,178.30622042263815
2020-07-02,174.59117225914235
2020-07-03,175.07380331982955
2020-07-06,180.88591594700634
2020-07-07,176.3249968651108
2020-07-08,172.6405241254531
2020-07-09,179.47614259181435
2020-07-10,178.08457708405786
2020-07-13,177.81243089458798
2020-07-14,178.33066511980672
2020-07-15,173.20313877482295
2020-07-16,173.6471410845802
2020-07-17,176.84600858410246
2020-07-20,174.58763066910163
2020-07-21,184.41169004622625
2020-07-22,186.29710162918656
2020-07-23,193.1838684236029
2020-07-24,181.64877059898689
2020-07-27,180.50327816633651
2020-07-28,172.2194790636481
2020-07-29,177.13425580931644
2020-07-30,177.3741096987589
2020-07-31,174.97089849668427
2020-08-03,179.4627263469968
2020-08-04,179.74651366544987
2020-08-05,174.4709352957765
2020-08-06,176.12570969832194
2020-08-07,175.59827611132488
2020-08-10,173.56395301910717
2020-08-11,174.76885884750368
2020-08-12,177.3756281696225
2020-08-13,172.4547092375565
2020-08-14,169.01611477951275
2020-08-17,173.49421688095904
2020-08-18,181.17992180529183
2020-08-19,181.93808772022177
2020-08-20,178.6065276079863
2020-08-21,184.05978454782192
2020-08-24,188.16737499077252
2020-08-25,188.02583589660458
2020-08-26,185.1327941340563
2020-08-27,185.6860719635093
2020-08-28,189.04949091111845
2020-08-31,188.05481053676965
2020-09-01,186.51856085573027
2020-09-02,186.33650137807587
2020-09-03,184.35060417667034
2020-09-04,178.740617050579
2020-09-07,182.262156715111
2020-09-08,177.1059812921423
2020-09-09,177.69177153816943
2020-09-10,175.52868607661458
2020-09-11,171.54686771005197
2020-09-14,165.59527334272005
2020-09-15,165.33056217389887
2020-09-16,162.62650584963026
2020-09-17,163.1754202177894
2020-09-18,161.71295273335386
2020-09-21,163.81143987019732
2020-09-22,177.5858920465412
2020-09-23,172.50858575015525
2020-09-24,174.28281756535424
2020-09-25,176.89109845249584
2020-09-28,176.7768706986391
2020-09-29,176.9873593255563
2020-09-30,181.96367481134195
2020-10-01,175.42937078749665
2020-10-02,181.20340489518222
2020-10-05,170.5684585747702
2020-10-06,174.01078152141423
2020-10-07,169.9285822098832
2020-10-08,165.8031101545742
2020-10-09,172.34712053054673
2020-10-12,169.0257409682699
2020-10-13,171.1564380920682
2020-10-14,172.68934772267167
2020-10-15,175.02553711788636
2020-10-16,183.2401560683212
2020-10-19,188.03871436765775
2020-10-20,183.08509259273325
2020-10-21,180.0720027147873
2020-10-22,175.25096643338145
2020-10-23,174.81318935412662
2020-10-26,167.51113030883644
2020-10-27,167.49435084565775
2020-10-28,168.70998874141347
2020-10-29,174.09544039940877
2020-10-30,167.36765716548558
