Date,ADI
2020-01-01,394.7943064032976
2020-01-02,395.36931613765495
2020-01-03,391.68933193108484
2020-01-06,398.4971014206248
2020-01-07,393.8468068341016
2020-01-08,393.5319622011643
2020-01-09,401.33330364357226
2020-01-10,392.0614700032259
2020-01-13,392.6242027934961
2020-01-14,395.2747603376024
2020-01-15,403.0871649887213
2020-01-16,409.4670940565713
2020-01-17,404.2061449871513
2020-01-20,408.7819254644518
2020-01-21,405.81430805054606
2020-01-22,404.38597456153656
2020-01-23,411.9129476965768
2020-01-24,407.7452949537747
2020-01-27,391.99346276869613
2020-01-28,394.8985482364638
2020-01-29,391.3210708081274
2020-01-30,389.34950082097333
2020-01-31,388.0566907098353
2020-02-03,394.4075330657284
2020-02-04,398.7866490345067
2020-02-05,397.5112160568703
2020-02-06,402.2418561242909
2020-02-07,413.89013819828955
2020-02-10,416.61491415582304
2020-02-11,412.41185379494266
2020-02-12,404.2995974868131
2020-02-13,407.467675074808
2020-02-14,408.71866262634893
2020-02-17,411.36134088397915
2020-02-18,400.2516527559969
2020-02-19,406.2409034286367
2020-02-20,400.91124658161164
2020-02-21,403.55024554136764
2020-02-24,412.800445081079
2020-02-25,424.88624052554474
2020-02-26,423.60719662077526
2020-02-27,435.97736842357585
2020-02-28,431.9162530461084
2020-03-02,425.232963587406
2020-03-03,421.2523130830142
2020-03-04,413.4717597824047
2020-03-05,414.79099888915164
2020-03-06,421.5849663061394
2020-03-09,422.8186837910159
2020-03-10,428.8003700302607
2020-03-11,437.74315416388254
2020-03-12,431.95684495909126
2020-03-13,435.4720906093671
2020-03-16,433.77956499748785
2020-03-17,432.07424020910474
2020-03-18,432.5716004428612
2020-03-19,431.5096063824052
2020-03-20,445.0204842886301
2020-03-23,431.69423820231145
2020-03-24,437.02218350314257
2020-03-25,434.6153028506129
2020-03-26,427.73973446512514
2020-03-27,431.4442969506667
2020-03-30,440.6059850174378
2020-03-31,440.1895254331503
2020-04-01,439.1131772389854
2020-04-02,433.95987199300333
2020-04-03,429.15848596693075
2020-04-06,440.8432291244826
2020-04-07,446.3412582902844
2020-04-08,444.6240135164435
2020-04-09,431.62516263173325
2020-04-10,423.0790389442243
2020-04-13,426.01402883639366
2020-04-14,431.3045157571936
2020-04-15,422.4084084204548
2020-04-16,420.961003630347
2020-04-17,424.3192707713183
2020-04-20,423.1593005300218
2020-04-21,434.89590866630147
2020-04-22,433.7308819826253
2020-04-23,440.7247382464818
2020-04-24,440.48504672995944
2020-04-27,437.04343052534983
2020-04-28,437.3278905884408
2020-04-29,434.45013821027317
2020-04-30,428.3339522175422
2020-05-01,428.0529136173519
2020-05-04,414.6456975717083
2020-05-05,414.0290922659217
2020-05-06,415.4117661823433
2020-05-07,412.23523731213265
2020-05-08,397.486334340023
2020-05-11,389.0002737511477
2020-05-12,385.56588465582035
2020-05-13,392.5289786513172
2020-05-14,399.694957855714
2020-05-15,393.4546038438124
2020-05-18,390.45718009492504
2020-05-19,399.49427119654223
2020-05-20,405.04858369070814
2020-05-21,411.8170051121873
2020-05-22,404.18904603396527
2020-05-25,396.9343629423573
2020-05-26,394.0330207022962
2020-05-27,398.9398767110713
2020-05-28,399.3782524262393
2020-05-29,401.4690836772559
2020-06-01,400.9390864481459
2020-06-02,398.858911406361
2020-06-03,403.8039926324303
2020-06-04,411.0767006527966
2020-06-05,400.3856904372997
2020-06-08,399.33304329556023
2020-06-09,388.59000982181215
2020-06-10,398.0864291937543
2020-06-11,398.76657985486247
2020-06-12,390.9481286234895
2020-06-15,387.02555782147584
2020-06-16,397.346939176861
2020-06-17,404.54832852458514
2020-06-18,412.650898710351
2020-06-19,413.78888864658785
2020-06-22,414.8003958225687
2020-06-23,412.2565157734116
2020-06-24,405.9170528916062
2020-06-25,413.2815499294432
2020-06-26,401.99899720022387
2020-06-29,395.11484350676307
2020-06-30,405.22109355795783
2020-07-01,404.9409892408584
2020-07-02,409.42630717776734
2020-07-03,412.9676405077196
2020-07-06,413.00290639193685
2020-07-07,412.66965319744054
2020-07-08,415.95096154499697
2020-07-09,426.18876204460867
2020-07-10,431.625381723885
2020-07-13,428.61198996685147
2020-07-14,421.87386703928615
2020-07-15,432.04444455419616
2020-07-16,422.05054782259634
2020-07-17,409.22344853119307
2020-07-20,415.4391021467645
2020-07-21,417.5008239864606
2020-07-22,423.42634424550664
2020-07-23,429.88776365186317
2020-07-24,437.1227986116786
2020-07-27,439.55782016072686
2020-07-28,445.1975286759776
2020-07-29,442.6399557250579
2020-07-30,453.7993141856608
2020-07-31,461.8127117704546
2020-08-03,463.0511720469761
2020-08-04,478.30275154805696
2020-08-05,486.1445503374102
2020-08-06,485.9085599324453
2020-08-07,482.11478464490744
2020-08-10,476.7235836812937
2020-08-11,484.8410536042755
2020-08-12,490.6543616671818
2020-08-13,493.1818315151543
2020-08-14,489.3570793558012
2020-08-17,490.47931210840306
2020-08-18,489.1419154227567
2020-08-19,497.5617687926171
2020-08-20,497.0486448323887
2020-08-21,487.75348326096014
2020-08-24,480.9598711914835
2020-08-25,489.00351897600416
2020-08-26,483.69978905309006
2020-08-27,486.56444400674957
2020-08-28,482.9254114920457
2020-08-31,477.3781716001291
2020-09-01,475.4728003198951
2020-09-02,467.00269869798746
2020-09-03,481.7891793076739
2020-09-04,504.3279815411473
2020-09-07,514.7133186865751
2020-09-08,511.01974840702223
2020-09-09,509.34761188337603
2020-09-10,527.9590737847593
2020-09-11,505.5740600328347
2020-09-14,501.8573878457899
2020-09-15,504.1558693000983
2020-09-16,487.8832554349349
2020-09-17,485.0704421652164
2020-09-18,489.5424102988909
2020-09-21,498.78829177699
2020-09-22,494.09613682398043
2020-09-23,506.13531459628683
2020-09-24,492.8574088350387
2020-09-25,472.7288933011099
2020-09-28,457.16973510226603
2020-09-29,459.6337969984252
2020-09-30,464.3984105606832
2020-10-01,461.81806518635887
2020-10-02,463.32017896000536
2020-10-05,468.10242755283406
2020-10-06,469.26998985642524
2020-10-07,483.46191541482784
2020-10-08,476.52017437990486
2020-10-09,472.73902723789996
2020-10-12,485.41660346555153
2020-10-13,476.1118453114573
2020-10-14,474.98657974833316
2020-10-15,467.3050749298006
2020-10-16,466.66518779583805
2020-10-19,453.68798582980133
2020-10-20,469.79074375262945
2020-10-21,475.0158585366739
2020-10-22,473.7286853384084
2020-10-23,468.87889652090814
2020-10-26,461.4984279134111
2020-10-27,458.16672609952633
2020-10-28,456.06821212712805
2020-10-29,453.76040644693995
2020-10-30,457.40918595788844
2020-11-02,452.98432147221126
2020-11-03,447.0873449398099
2020-11-04,456.3716782513933
2020-11-05,450.4292017032994
2020-11-06,445.9035717082027
2020-11-09,445.9778917895389
2020-11-10,448.07817870043357
2020-11-11,450.09267189762244
2020-11-12,463.4820745940863
2020-11-13,461.27846814780565
2020-11-16,459.31003514629043
2020-11-17,470.66332418704945
2020-11-18,455.4710460272991
2020-11-19,470.3227175010161
2020-11-20,479.71228077296854
2020-11-23,486.7323751725795
2020-11-24,467.9135301351552
2020-11-25,476.6033730876194
2020-11-26,474.63643480514486
2020-11-27,485.3842297879326
2020-11-30,496.59745751113957
2020-12-01,498.69886350866904
2020-12-02,493.90473036756913
2020-12-03,485.74050016728495
2020-12-04,490.00441076917434
2020-12-07,489.2831777793265
2020-12-08,490.7801542689087
2020-12-09,486.1167147698358
2020-12-10,493.88375689416176
2020-12-11,520.4195796651026
2020-12-14,517.2993757914313
2020-12-15,512.3210816279075
2020-12-16,511.20984449696607
2020-12-17,513.1054792049687
2020-12-18,520.1894080604283
2020-12-21,524.8156294826033
2020-12-22,512.2787899335276
2020-12-23,505.0435663993573
2020-12-24,510.0960512577648
2020-12-25,518.7573864781657
2020-12-28,510.4967849758408
2020-12-29,521.408433915786
2020-12-30,524.5959801579797
2020-12-31,531.930787021048
2021-01-01,536.1054241742922
2021-01-04,550.0972206243758
2021-01-05,552.8492729607723
2021-01-06,547.470444056077
2021-01-07,559.0387593515159
2021-01-08,545.7455159565442
2021-01-11,549.5651752168221
2021-01-12,546.5767257655365
2021-01-13,555.0841744170289
2021-01-14,552.1676409910445
2021-01-15,543.8959919244002
2021-01-18,549.4758555166011
2021-01-19,564.1041711017689
2021-01-20,558.9760324998628
2021-01-21,558.9027926583566
2021-01-22,559.2677245546801
2021-01-25,538.7927803464239
2021-01-26,546.6148212608012
2021-01-27,534.3247946211021
2021-01-28,534.9249973632928
2021-01-29,537.2924468419452
2021-02-01,527.3829622669099
2021-02-02,515.1648238248301
2021-02-03,528.0495549009304
2021-02-04,531.182238148903
2021-02-05,542.1643079113925
2021-02-08,544.7061065458194
2021-02-09,553.020232920722
2021-02-10,541.2858975511119
2021-02-11,544.4261753013167
2021-02-12,536.2357730960229
2021-02-15,526.4027722512053
2021-02-16,514.9646632530169
2021-02-17,515.2627326589218
2021-02-18,520.7996217975775
