Date,SO
2020-01-01,476.3206304688681
2020-01-02,469.42678982035113
2020-01-03,461.0831825109407
2020-01-06,459.60320706997675
2020-01-07,457.1554514481095
2020-01-08,457.4214589379723
2020-01-09,463.6805182664566
2020-01-10,467.3778438125262
2020-01-13,471.3635193376194
2020-01-14,460.6416321191761
2020-01-15,461.889045260834
2020-01-16,462.2425256658491
2020-01-17,457.93466031584944
2020-01-20,442.4920282340914
2020-01-21,443.2330769969896
2020-01-22,441.3817031095081
2020-01-23,440.7338299192119
2020-01-24,427.22168688498004
2020-01-27,427.897879867026
2020-01-28,436.34708935005347
2020-01-29,426.09315036331793
2020-01-30,422.0861148665866
2020-01-31,423.33882633122784
2020-02-03,424.4487560158707
2020-02-04,443.27317197275494
2020-02-05,438.48445549511194
2020-02-06,453.3782835599057
2020-02-07,460.9671650161751
2020-02-10,457.0006325282476
2020-02-11,446.88298622532454
2020-02-12,441.74744023620167
2020-02-13,432.7510897828606
2020-02-14,435.4174508039899
2020-02-17,435.27223745467126
2020-02-18,435.1243246207368
2020-02-19,434.81446744315633
2020-02-20,425.29777688476776
2020-02-21,423.3668054876959
2020-02-24,424.07578972778595
2020-02-25,440.34623717729283
2020-02-26,424.86376719033706
2020-02-27,417.8775315884274
2020-02-28,416.99518423864833
2020-03-02,414.20059129312943
2020-03-03,414.0867240633026
2020-03-04,409.7364436585389
2020-03-05,410.48763304239503
2020-03-06,407.92131628392525
2020-03-09,425.9715994324666
2020-03-10,438.5780162719135
2020-03-11,438.39281328660854
2020-03-12,439.10214445455205
2020-03-13,439.9397970540403
2020-03-16,436.3051477960134
2020-03-17,437.439985149567
2020-03-18,446.37305446866816
2020-03-19,456.02463683194
2020-03-20,472.06809304079604
2020-03-23,482.66579877616107
2020-03-24,483.6082517470502
2020-03-25,487.980183855861
2020-03-26,485.31469978434995
2020-03-27,481.55924846480826
2020-03-30,463.4319079678999
2020-03-31,465.3396838603457
2020-04-01,475.84893452859205
2020-04-02,467.84986876535976
2020-04-03,465.9908224308389
2020-04-06,455.6339703021879
2020-04-07,450.9720583493437
2020-04-08,431.7941182679174
2020-04-09,429.93641830909553
2020-04-10,430.92076683919555
2020-04-13,432.1605843514972
2020-04-14,431.6764742527182
2020-04-15,437.045113864949
2020-04-16,430.27753295148153
2020-04-17,437.4762960420414
2020-04-20,444.5762997331517
2020-04-21,449.921767788051
2020-04-22,449.7593142128236
2020-04-23,449.64230668064175
2020-04-24,439.2680177068135
2020-04-27,441.1540019058019
2020-04-28,445.04427243816764
2020-04-29,439.93662975424445
2020-04-30,446.23847103987885
2020-05-01,461.9766242427817
2020-05-04,471.5298733513043
2020-05-05,470.5461000301755
2020-05-06,473.4327342726671
2020-05-07,466.03044935343485
2020-05-08,461.7678619092262
2020-05-11,466.81425726907315
2020-05-12,476.0080839680394
2020-05-13,485.03841704774527
2020-05-14,486.431235231565
2020-05-15,474.95540760383557
2020-05-18,487.48992015916065
2020-05-19,482.43847559484
2020-05-20,483.51186995077603
2020-05-21,482.4004613263376
2020-05-22,477.2506529429524
2020-05-25,474.7211209666984
2020-05-26,470.5807591980274
2020-05-27,455.97608859414856
2020-05-28,463.2428619761765
2020-05-29,467.9903957859766
2020-06-01,469.9125690831432
2020-06-02,466.13552777128064
2020-06-03,466.23714969167554
2020-06-04,441.4059671538949
2020-06-05,434.0590928926427
2020-06-08,441.1257131581695
2020-06-09,442.5183127441678
2020-06-10,434.994330203487
2020-06-11,441.76965113700624
2020-06-12,446.4647205647637
2020-06-15,449.25394467127757
2020-06-16,437.67614541969965
2020-06-17,441.3178172727154
2020-06-18,450.23194361997594
2020-06-19,449.7243958209015
2020-06-22,460.74343072791146
2020-06-23,451.9369361142441
2020-06-24,454.00759980023975
2020-06-25,462.80352496040166
2020-06-26,471.8847951493016
2020-06-29,485.62586184259624
2020-06-30,500.3385232634029
2020-07-01,510.51984886330746
2020-07-02,508.8536677631046
2020-07-03,516.1678194799364
2020-07-06,517.2087875303703
2020-07-07,504.3811851007866
2020-07-08,530.1228914925551
2020-07-09,548.2638937984175
2020-07-10,542.748576833172
2020-07-13,528.9683767619831
2020-07-14,521.2959798612329
2020-07-15,524.2870867599528
2020-07-16,520.504240178486
2020-07-17,541.5207081409187
2020-07-20,541.8155551449795
2020-07-21,538.2735239614308
2020-07-22,527.3851446187753
2020-07-23,540.9980029511075
2020-07-24,525.7836096926633
2020-07-27,522.2829833571104
2020-07-28,515.7059494370807
2020-07-29,518.2156763498247
2020-07-30,539.4498416920459
2020-07-31,549.7192501987248
2020-08-03,566.2486300850073
2020-08-04,568.9657072674805
2020-08-05,562.006112589224
2020-08-06,558.0384273621977
2020-08-07,554.1188393290923
2020-08-10,571.9422763099992
2020-08-11,581.048897705509
2020-08-12,557.5602524554974
2020-08-13,579.7603539446604
2020-08-14,578.4790526329132
2020-08-17,561.5401470913309
2020-08-18,553.1165872818162
2020-08-19,563.5189721824407
2020-08-20,566.6823816993145
2020-08-21,558.810087178655
2020-08-24,559.3033386410501
2020-08-25,570.067128585424
2020-08-26,587.9704031434457
2020-08-27,600.1779752592497
2020-08-28,576.462962531097
2020-08-31,560.0356917746799
2020-09-01,563.7897350753863
2020-09-02,587.8468872822205
2020-09-03,580.0837758802927
2020-09-04,571.2430363916616
2020-09-07,558.863611187647
2020-09-08,568.6684381977814
2020-09-09,560.6816743598029
2020-09-10,557.8522819474402
2020-09-11,556.5283142269462
2020-09-14,553.847867838117
2020-09-15,546.7818814311959
2020-09-16,539.3571836888467
2020-09-17,523.2641039032948
