Date,REGN
2020-01-01,107.51535832401439
2020-01-02,106.066640182084
2020-01-03,107.14729188792289
2020-01-06,107.04126262638124
2020-01-07,108.85322615339989
2020-01-08,109.78490243340714
2020-01-09,108.5726367255001
2020-01-10,109.9769065377616
2020-01-13,110.71284710839225
2020-01-14,110.4689193034781
2020-01-15,110.06892834384803
2020-01-16,109.47042919276429
2020-01-17,111.24673392625543
2020-01-20,110.39300121331847
2020-01-21,108.78767904729916
2020-01-22,111.22311446952642
2020-01-23,110.3049007516754
2020-01-24,110.41159365097684
2020-01-27,109.81129074178354
2020-01-28,110.50201774968646
2020-01-29,109.92726249042089
2020-01-30,109.86963972313238
2020-01-31,109.9239903613419
2020-02-03,112.14685030402175
2020-02-04,113.04394853756958
2020-02-05,113.10860971111596
2020-02-06,113.49261370133779
2020-02-07,113.4180897402515
2020-02-10,113.13444082628115
2020-02-11,116.20104718033738
2020-02-12,116.54354885631075
2020-02-13,118.29855549448834
2020-02-14,121.03418641719027
2020-02-17,120.38513106578354
2020-02-18,119.7218918032822
2020-02-19,119.28812693467167
2020-02-20,117.01931066606296
2020-02-21,117.57593813000047
2020-02-24,115.83233289799952
2020-02-25,114.9934756075056
2020-02-26,115.97030641883298
2020-02-27,117.36685518663255
2020-02-28,116.69700423850806
2020-03-02,119.09998832878954
2020-03-03,120.2679019290616
2020-03-04,119.9964651295175
2020-03-05,120.32933855831605
2020-03-06,119.0502878215802
2020-03-09,120.76139762718188
2020-03-10,121.39468215155792
2020-03-11,122.90728073917923
2020-03-12,122.75301462630055
2020-03-13,121.59825236246753
2020-03-16,121.61274746319754
2020-03-17,121.60125219111241
2020-03-18,122.68730315200432
2020-03-19,122.95440752277062
2020-03-20,122.62849710869999
2020-03-23,122.46506744657853
2020-03-24,123.02675608625107
2020-03-25,125.45747586555504
2020-03-26,125.24142192754086
2020-03-27,123.93350324453972
2020-03-30,123.52562988812761
2020-03-31,120.93843904201856
2020-04-01,121.60238288253626
2020-04-02,120.64262979143435
2020-04-03,121.89789509568365
2020-04-06,123.83240520550636
2020-04-07,123.4645776229727
2020-04-08,123.50120633965902
2020-04-09,122.1456795970783
2020-04-10,121.78052359390067
2020-04-13,121.6714048179902
2020-04-14,121.28357635148265
2020-04-15,120.84794335681654
2020-04-16,121.03137848242753
2020-04-17,122.37523149491022
2020-04-20,124.15061168143194
2020-04-21,122.90963387038269
2020-04-22,122.06235587252547
2020-04-23,121.39112098760197
2020-04-24,120.9231075776914
2020-04-27,120.05953032971848
2020-04-28,121.71103892420221
2020-04-29,119.63903687676539
2020-04-30,119.43855003822024
2020-05-01,118.46546572556696
2020-05-04,118.50189997658124
2020-05-05,119.15083487386005
2020-05-06,118.14331931249575
2020-05-07,117.35328749406996
2020-05-08,119.51455149545544
2020-05-11,119.41385565729927
2020-05-12,120.29721950681888
2020-05-13,119.74151377416207
2020-05-14,120.21546338455748
2020-05-15,121.39343021285354
2020-05-18,119.25478123627758
2020-05-19,120.3492064481914
2020-05-20,120.96308584465393
2020-05-21,120.81872689206743
2020-05-22,121.19692482068854
2020-05-25,117.43488660603869
2020-05-26,117.74356028665564
2020-05-27,116.6390900091003
2020-05-28,115.22896502198387
2020-05-29,115.9033000134637
2020-06-01,116.74739523682592
2020-06-02,115.93208942642812
2020-06-03,116.44238669735273
2020-06-04,116.32763221040287
2020-06-05,115.39709510932103
2020-06-08,113.5526732512841
2020-06-09,112.00213346254287
2020-06-10,112.98745788526367
2020-06-11,113.6688198317095
2020-06-12,114.8030198930992
2020-06-15,114.38820967749596
2020-06-16,113.89738793683902
2020-06-17,114.23706894562775
2020-06-18,115.23342210123411
2020-06-19,114.71696353021763
2020-06-22,112.64579550168044
2020-06-23,112.24391668198278
2020-06-24,111.7542181497341
2020-06-25,111.6287234707479
2020-06-26,111.89845955671774
2020-06-29,112.28189070816273
2020-06-30,113.31429740521888
2020-07-01,115.49142533507396
2020-07-02,115.04086286415168
2020-07-03,115.13565966351285
2020-07-06,116.15193433375468
2020-07-07,117.42187150772543
2020-07-08,116.32509648556783
2020-07-09,117.2610244587335
2020-07-10,116.31157848835876
2020-07-13,119.03709047403902
2020-07-14,118.3343431535493
2020-07-15,118.16097913848454
2020-07-16,117.79721465293794
2020-07-17,118.43319231720331
2020-07-20,120.63834044578014
2020-07-21,120.8427592285444
2020-07-22,121.1630338896075
2020-07-23,120.04464767262905
2020-07-24,123.20321030971627
2020-07-27,123.39733461920792
2020-07-28,122.30045162940071
2020-07-29,122.15464055581062
2020-07-30,120.50276186859345
2020-07-31,119.53490902056102
2020-08-03,116.75581125223968
2020-08-04,116.92480557617499
2020-08-05,118.79136096834455
2020-08-06,118.61686068371137
2020-08-07,120.05448333465698
2020-08-10,120.92757994148805
2020-08-11,120.89229709018578
2020-08-12,120.66366729454457
2020-08-13,122.19220659899248
2020-08-14,123.93876479155377
2020-08-17,122.70601779502823
2020-08-18,121.32499828697102
2020-08-19,119.6046451289739
2020-08-20,121.61304937591682
2020-08-21,123.46235905230313
2020-08-24,121.79581486478119
2020-08-25,123.33564577923285
2020-08-26,122.53084952237651
2020-08-27,124.23043832352937
2020-08-28,123.65923140288922
2020-08-31,123.4934854446358
2020-09-01,123.23340151290255
2020-09-02,123.52352034704366
2020-09-03,122.52477675866047
2020-09-04,121.96330364516191
2020-09-07,123.49450100182958
2020-09-08,122.83823477470793
2020-09-09,123.23034039489279
2020-09-10,124.28891820753599
2020-09-11,123.63492178427175
2020-09-14,125.23185537416668
2020-09-15,125.0196495576114
2020-09-16,126.801166995423
2020-09-17,125.97754809849955
2020-09-18,121.78880710468128
2020-09-21,124.22588792845629
