Date,NOC
2020-01-01,294.4018028797953
2020-01-02,293.5691645926026
2020-01-03,299.16577436661015
2020-01-06,296.46145835817975
2020-01-07,285.82937166459345
2020-01-08,287.2673017535363
2020-01-09,273.25094655680493
2020-01-10,261.8495631896772
2020-01-13,256.3794844056368
2020-01-14,257.4207611849883
2020-01-15,261.6102752299919
2020-01-16,266.1876786986806
2020-01-17,273.0605745779614
2020-01-20,268.382764589568
2020-01-21,273.7086426718358
2020-01-22,267.38139320862604
2020-01-23,273.0984072946186
2020-01-24,267.67421711753934
2020-01-27,273.51230030967673
2020-01-28,271.86569832059246
2020-01-29,277.59923989509014
2020-01-30,274.9387033102896
2020-01-31,271.74649464561725
2020-02-03,261.77374685410524
2020-02-04,261.6228804408019
2020-02-05,262.20636358869916
2020-02-06,260.9536117872604
2020-02-07,257.72174397025
2020-02-10,258.612635530605
2020-02-11,255.8902289167813
2020-02-12,266.8874989908511
2020-02-13,276.0161456394237
2020-02-14,287.3178841460018
2020-02-17,283.6084931014606
2020-02-18,282.98362832514493
2020-02-19,290.6666848301262
2020-02-20,279.1945123620972
2020-02-21,276.90582986802593
2020-02-24,271.5324970795742
2020-02-25,279.6747593093353
2020-02-26,286.8686910574555
2020-02-27,290.3541489794766
2020-02-28,276.17461914382346
2020-03-02,277.75320178350785
2020-03-03,282.56058329930084
2020-03-04,274.161527954666
2020-03-05,280.2815704996733
2020-03-06,285.01572610948267
2020-03-09,289.4143690630975
2020-03-10,289.83544345373207
2020-03-11,276.8404063991672
2020-03-12,269.793687528962
2020-03-13,274.7128665750685
2020-03-16,275.4918710834202
2020-03-17,271.2830274023899
2020-03-18,280.4317747330584
2020-03-19,294.1505226883932
2020-03-20,292.80430392280437
2020-03-23,298.2773370910001
2020-03-24,294.9434799202986
2020-03-25,299.9815553078245
2020-03-26,282.12532168695407
2020-03-27,283.03930885738544
2020-03-30,285.1916218832774
2020-03-31,289.65011832535475
2020-04-01,288.7890360962262
2020-04-02,281.18018654937066
2020-04-03,271.9428589912248
2020-04-06,275.26995841174295
2020-04-07,283.04530692004573
2020-04-08,278.3250698227959
2020-04-09,288.402600792205
2020-04-10,278.33728458367597
2020-04-13,269.86477673862777
2020-04-14,278.92211760584263
2020-04-15,274.8041851501074
2020-04-16,279.9798443636422
2020-04-17,292.7579967189223
2020-04-20,294.392784057094
2020-04-21,304.20436168117374
2020-04-22,307.4275440027975
2020-04-23,310.7431049968561
2020-04-24,313.5385379659151
2020-04-27,318.37158364391644
2020-04-28,319.8524860551776
2020-04-29,311.8707270087912
2020-04-30,318.4351450484477
2020-05-01,324.94387485856805
2020-05-04,317.6889931943751
2020-05-05,305.26359043411605
2020-05-06,302.93540542334324
2020-05-07,289.9066530612205
2020-05-08,299.51681337365244
2020-05-11,301.5087840080965
2020-05-12,303.167943878626
2020-05-13,295.36077269430643
2020-05-14,299.37736722570065
2020-05-15,296.8239955773005
2020-05-18,284.19364232559417
2020-05-19,279.74392113810285
2020-05-20,286.10091244370176
2020-05-21,279.3112884042609
2020-05-22,262.3556620225813
2020-05-25,264.3896563733265
2020-05-26,270.7162192966527
2020-05-27,277.82243936713814
2020-05-28,276.6859745883512
2020-05-29,272.77672485172286
2020-06-01,263.7731446459078
2020-06-02,265.62675013693223
2020-06-03,270.81224607304256
2020-06-04,266.34992815793726
2020-06-05,281.35666629543624
2020-06-08,267.67030760664744
2020-06-09,253.5994600481492
2020-06-10,254.95590924980993
2020-06-11,260.6618153172529
2020-06-12,252.16361139318207
2020-06-15,260.2122371030409
2020-06-16,267.83801499669516
2020-06-17,257.824445023159
2020-06-18,259.1997107279453
2020-06-19,272.54089211201506
2020-06-22,267.1121538955412
2020-06-23,267.6063666952841
2020-06-24,260.911944355637
2020-06-25,266.09981931727555
2020-06-26,264.61473118600196
2020-06-29,255.37398441892006
2020-06-30,258.89580128593855
2020-07-01,250.29200629006348
2020-07-02,253.24566007533474
2020-07-03,255.87978003997532
2020-07-06,269.57665120094066
2020-07-07,265.35284716707713
2020-07-08,272.6127108321407
2020-07-09,268.9826741186935
2020-07-10,271.3148492424651
2020-07-13,274.0255607150229
2020-07-14,270.97493823784595
2020-07-15,276.5172248927269
2020-07-16,278.13899438842554
2020-07-17,284.75535542660333
2020-07-20,287.7487249459916
2020-07-21,290.5897946061217
2020-07-22,287.8082191142031
2020-07-23,286.9980605719427
2020-07-24,287.4131983703626
2020-07-27,287.71546349406515
2020-07-28,279.51930546330965
2020-07-29,275.34250723437526
2020-07-30,277.33616096673467
2020-07-31,279.78832809426603
2020-08-03,270.1812334505383
2020-08-04,265.6028259700958
2020-08-05,260.77793406134055
2020-08-06,257.46552509013605
2020-08-07,258.62083364195286
2020-08-10,253.21586026714087
2020-08-11,246.10574317490702
2020-08-12,247.95930369123016
2020-08-13,242.2341522635625
2020-08-14,254.77181417824505
2020-08-17,260.1768641970133
2020-08-18,257.7753791778581
2020-08-19,262.1383883630084
2020-08-20,270.75043316729557
2020-08-21,275.14421138210935
2020-08-24,269.8039570066233
2020-08-25,266.7491607352672
2020-08-26,275.5164601294574
2020-08-27,279.2040290028661
2020-08-28,289.74197387130124
2020-08-31,287.43397164799404
2020-09-01,277.5644211365489
2020-09-02,287.1009761513744
2020-09-03,292.8596079951804
2020-09-04,292.1484622764925
2020-09-07,290.8458339772695
2020-09-08,289.0741379910941
2020-09-09,292.9422638495453
2020-09-10,290.4303018434126
2020-09-11,294.1921098280072
2020-09-14,300.77784425261905
2020-09-15,301.2133737174543
2020-09-16,309.2440817308255
2020-09-17,301.5689557404573
2020-09-18,300.0768441251904
2020-09-21,295.38712877822996
2020-09-22,297.1252746021268
2020-09-23,303.7310449949413
2020-09-24,314.12532820619515
