Date,C
2020-01-01,314.30962927361736
2020-01-02,313.7973635372355
2020-01-03,312.1244709290152
2020-01-06,307.80219228304554
2020-01-07,304.4148358837805
2020-01-08,306.7911350190045
2020-01-09,308.9042859976649
2020-01-10,310.7610795684626
2020-01-13,311.9891532162714
2020-01-14,317.42181759030115
2020-01-15,313.167506177181
2020-01-16,307.32189828983843
2020-01-17,304.219442487095
2020-01-20,302.38504148917605
2020-01-21,299.6093027992215
2020-01-22,299.6739892115753
2020-01-23,300.8516263349396
2020-01-24,304.2903271728399
2020-01-27,304.37453428180424
2020-01-28,303.8511410729334
2020-01-29,306.3036529609763
2020-01-30,306.8043372575223
2020-01-31,317.27950128323334
2020-02-03,317.5211094915845
2020-02-04,317.16940046842825
2020-02-05,316.4553680554614
2020-02-06,319.8940774598901
2020-02-07,324.9071362187857
2020-02-10,320.2190971143727
2020-02-11,318.7013555735508
2020-02-12,314.66786951746894
2020-02-13,314.1411835956321
2020-02-14,316.7439553103448
2020-02-17,312.87569688620147
2020-02-18,312.32079114647235
2020-02-19,317.38460981712024
2020-02-20,315.56651548315904
2020-02-21,316.92845165213964
2020-02-24,315.31607956776514
2020-02-25,310.2282826877704
2020-02-26,313.8651905667874
2020-02-27,317.48539480405293
2020-02-28,315.70471285902204
2020-03-02,308.10829307452644
2020-03-03,313.0002966530559
2020-03-04,319.059770918375
2020-03-05,320.4776354815947
2020-03-06,322.3416270259665
2020-03-09,317.20650267475924
2020-03-10,317.48575677279894
2020-03-11,321.65123642710705
2020-03-12,321.95313818568013
2020-03-13,317.3648163458636
2020-03-16,312.90090322931263
2020-03-17,312.7267749255224
2020-03-18,312.78626968572
2020-03-19,311.50456566245145
2020-03-20,312.74379709507315
2020-03-23,310.4618699583806
2020-03-24,298.0812545553157
2020-03-25,296.58314258287754
2020-03-26,297.8238728696605
2020-03-27,300.009482477132
2020-03-30,300.91611150445215
2020-03-31,296.2224597843301
2020-04-01,295.9506678808236
2020-04-02,299.1840774496483
2020-04-03,293.98450509792383
2020-04-06,292.78891515333163
2020-04-07,289.12357346330884
2020-04-08,286.4219660680154
2020-04-09,289.8230225349133
2020-04-10,290.3972530771251
2020-04-13,285.2734584321576
2020-04-14,284.34634679002
2020-04-15,285.9725825431936
2020-04-16,285.6058344118165
2020-04-17,288.374473985678
2020-04-20,288.8514872544595
2020-04-21,293.0092760869743
2020-04-22,289.23703798552896
2020-04-23,287.7871636415202
2020-04-24,287.0572717998747
2020-04-27,291.5387349363361
2020-04-28,285.5390830687204
2020-04-29,286.56935299530824
2020-04-30,281.12512461874667
2020-05-01,278.62880183264195
2020-05-04,273.8560452658313
2020-05-05,274.7154559918973
2020-05-06,276.44718896743433
2020-05-07,282.44883977255404
2020-05-08,274.98665946110197
2020-05-11,277.0903487283923
2020-05-12,280.29329111384874
2020-05-13,277.0111940593065
2020-05-14,280.64497030460734
2020-05-15,284.9138016722035
2020-05-18,291.5300206317389
2020-05-19,296.47752706895295
2020-05-20,293.8303376183524
2020-05-21,288.8187272983107
2020-05-22,288.11248169963187
2020-05-25,280.77021760325044
2020-05-26,279.9634575818867
2020-05-27,280.176540960432
2020-05-28,275.11593668500825
2020-05-29,274.0337771073848
2020-06-01,275.0084962198254
2020-06-02,281.0641621942558
2020-06-03,280.9040251360839
2020-06-04,281.53581450965913
2020-06-05,280.0253423655455
2020-06-08,269.8920963946167
2020-06-09,270.17767568346466
2020-06-10,274.30535567695097
2020-06-11,275.69200563439057
2020-06-12,274.20952857451834
2020-06-15,277.2305948488518
2020-06-16,288.1502130565878
2020-06-17,281.73591297004674
2020-06-18,281.4007231693932
2020-06-19,282.59394548227004
2020-06-22,287.6979545208728
2020-06-23,283.9457485453666
2020-06-24,277.2370017996753
2020-06-25,277.37779743426336
2020-06-26,276.201913114047
2020-06-29,276.65494090614015
2020-06-30,277.5543160973054
2020-07-01,275.285828949811
2020-07-02,271.9121446203985
2020-07-03,273.7610727118038
2020-07-06,275.5103891108594
2020-07-07,273.81305871103245
2020-07-08,270.406133339268
2020-07-09,273.83222174542306
2020-07-10,274.01017106351725
2020-07-13,273.92995145949493
2020-07-14,270.901298116355
2020-07-15,268.042036466499
2020-07-16,267.5391723076723
2020-07-17,268.2594573246101
2020-07-20,272.5226461491588
2020-07-21,268.51638462913166
2020-07-22,268.5427971433157
2020-07-23,268.1622123221702
2020-07-24,265.99715422572484
2020-07-27,266.00703026537803
2020-07-28,267.43611327394075
2020-07-29,261.0551745951629
2020-07-30,262.942103351032
2020-07-31,266.7320047605471
2020-08-03,270.12987919613494
2020-08-04,271.80425377181734
2020-08-05,275.9286920307988
2020-08-06,275.0975092006816
2020-08-07,278.27387345456594
2020-08-10,282.05349121624874
2020-08-11,291.4655083075067
2020-08-12,292.58000826621065
2020-08-13,301.020359160237
2020-08-14,302.66433414977985
2020-08-17,301.27769564215885
2020-08-18,308.4041329201067
2020-08-19,302.17000464433085
2020-08-20,309.2200896393821
2020-08-21,301.6906009778327
2020-08-24,296.96167264010876
2020-08-25,293.57649941017195
2020-08-26,291.1458356548481
2020-08-27,294.96682871425077
2020-08-28,293.0173306550952
2020-08-31,294.81739894057677
2020-09-01,297.6911155364231
2020-09-02,291.77683074426113
2020-09-03,294.2439156048834
2020-09-04,294.5460999000356
2020-09-07,296.31303759334236
2020-09-08,298.20274323038683
2020-09-09,300.06670318634957
2020-09-10,306.5318308368603
2020-09-11,304.8195920834768
2020-09-14,308.22928035462604
2020-09-15,314.4254941998805
2020-09-16,310.6734493270115
2020-09-17,313.9399110853761
2020-09-18,311.3799510978139
2020-09-21,314.8579171726731
2020-09-22,312.44973912118
2020-09-23,309.067630628335
2020-09-24,309.1334723326895
2020-09-25,307.96144749224663
2020-09-28,312.97754518012107
2020-09-29,314.2772172195993
2020-09-30,313.20219407578077
2020-10-01,317.8592205181787
2020-10-02,315.13759583521016
2020-10-05,315.81111279822284
2020-10-06,308.1696316248311
2020-10-07,311.3154842106486
2020-10-08,305.379354561742
2020-10-09,301.9753064686116
2020-10-12,304.73936573785255
2020-10-13,305.7280627612139
2020-10-14,309.7058911585339
2020-10-15,307.98832635625547
2020-10-16,302.87873618076975
2020-10-19,302.6225371652939
2020-10-20,307.07831609145074
2020-10-21,305.0384200162731
2020-10-22,298.60416596186303
2020-10-23,304.358976691857
2020-10-26,294.67898486059124
2020-10-27,300.0943810920024
2020-10-28,301.1201232224386
2020-10-29,296.06691496295304
2020-10-30,303.3481368054918
2020-11-02,302.7705875329944
2020-11-03,307.97294946321887
2020-11-04,307.0981565174664
2020-11-05,305.8755036600054
2020-11-06,309.0092123384492
2020-11-09,300.15137245539546
2020-11-10,299.77752178174717
2020-11-11,294.11235108183035
2020-11-12,294.0281590045036
2020-11-13,296.24912511223744
2020-11-16,299.306229538023
2020-11-17,302.4789534702119
2020-11-18,304.10378795434997
2020-11-19,306.17468413238436
2020-11-20,307.634425285352
2020-11-23,310.4994014331144
2020-11-24,305.23415661017754
2020-11-25,308.76632646132134
2020-11-26,306.7541058896528
2020-11-27,315.93316034089463
2020-11-30,310.4693719740508
2020-12-01,308.0587266742829
2020-12-02,311.53221438701826
2020-12-03,312.8942735816957
2020-12-04,305.38682200374507
2020-12-07,302.60567892182183
2020-12-08,306.5181042707316
2020-12-09,306.02000912915423
2020-12-10,301.599892317409
2020-12-11,308.1724580348804
2020-12-14,304.68511344332836
2020-12-15,308.6513403297072
2020-12-16,307.60583527666813
2020-12-17,302.5358988676075
2020-12-18,303.53334494673163
2020-12-21,306.81304967397443
2020-12-22,305.82636084148197
2020-12-23,307.64331593721124
2020-12-24,303.86619527103653
2020-12-25,304.1682952077531
2020-12-28,304.25358259599693
2020-12-29,302.27029253218836
2020-12-30,298.2663190445379
2020-12-31,298.93701519526724
2021-01-01,300.5943866936958
2021-01-04,299.81601445392494
2021-01-05,299.43335382854997
2021-01-06,298.36757951996407
2021-01-07,297.8052572608637
2021-01-08,286.94612066955006
2021-01-11,285.0967206873094
2021-01-12,285.2060635331267
2021-01-13,286.1581759648915
2021-01-14,288.38010669538306
2021-01-15,289.7221565494587
2021-01-18,280.44458824145323
2021-01-19,281.6839568697953
2021-01-20,277.3879558322414
2021-01-21,272.82521085288676
2021-01-22,276.00692912502967
2021-01-25,282.29463870739335
2021-01-26,280.36260585638564
2021-01-27,281.4150044234703
2021-01-28,280.1645974362551
2021-01-29,284.04442742364927
2021-02-01,285.0355875122831
2021-02-02,281.0398608344861
2021-02-03,280.74116897572895
2021-02-04,279.17752806679135
2021-02-05,280.33985789477794
2021-02-08,276.4332652732928
2021-02-09,276.87469647792744
2021-02-10,273.0252849706443
2021-02-11,280.2426741788385
2021-02-12,282.2588651501867
2021-02-15,281.1753186256228
2021-02-16,283.43478304800624
2021-02-17,285.06973102408216
2021-02-18,284.4435822880183
2021-02-19,290.10375482979936
2021-02-22,291.3198858723536
2021-02-23,290.0378347144172
2021-02-24,283.26854540349575
2021-02-25,275.12094535067916
2021-02-26,282.4817563121156
2021-03-01,283.72090215100366
2021-03-02,279.211393979721
2021-03-03,278.0751743436386
2021-03-04,275.06014786798994
2021-03-05,271.06630012887183
2021-03-08,269.2311157141712
2021-03-09,274.92562866085484
2021-03-10,269.73036633257556
2021-03-11,268.5978548750107
2021-03-12,274.47717992762534
2021-03-15,271.4668186677661
2021-03-16,270.5127876677562
2021-03-17,264.8237464830322
2021-03-18,268.21366693901695
