Date,ROP
2020-01-01,161.67809435819197
2020-01-02,163.44748269976543
2020-01-03,169.49626362179157
2020-01-06,174.06524290064505
2020-01-07,169.06724739715355
2020-01-08,173.5660245281827
2020-01-09,173.30727562069913
2020-01-10,178.75924114527245
2020-01-13,173.746990544741
2020-01-14,173.73367283250636
2020-01-15,165.98172697379286
2020-01-16,163.8188311325722
2020-01-17,159.29530217810182
2020-01-20,157.8235911625218
2020-01-21,155.37956694809068
2020-01-22,152.0678421015976
2020-01-23,154.09349611796605
2020-01-24,156.41689306088364
2020-01-27,154.29388003316873
2020-01-28,154.47088581161032
2020-01-29,152.78437865575827
2020-01-30,153.24392536573347
2020-01-31,153.67428265570382
2020-02-03,148.797374956243
2020-02-04,148.35133798631531
2020-02-05,151.7609463854567
2020-02-06,150.60547143388365
2020-02-07,155.0898301528112
2020-02-10,159.9247344710438
2020-02-11,163.2444948794742
2020-02-12,165.02760997994784
2020-02-13,168.50667974185112
2020-02-14,171.2921499859758
2020-02-17,174.81852448751425
2020-02-18,169.38821038986265
2020-02-19,168.71279432546555
2020-02-20,170.7300022362189
2020-02-21,169.9930377087154
2020-02-24,162.88645532176224
2020-02-25,167.53214847107174
2020-02-26,166.98323487424935
2020-02-27,170.49486582152036
2020-02-28,167.2899301574152
2020-03-02,164.45939111250735
2020-03-03,163.6357222162113
2020-03-04,162.1164927348192
2020-03-05,160.96599053026296
2020-03-06,158.45946075873434
2020-03-09,161.39962546317636
2020-03-10,159.5787936541851
2020-03-11,159.90428113349594
2020-03-12,154.70474479219288
2020-03-13,150.59326947104918
2020-03-16,148.45529623845897
2020-03-17,146.0926529904962
2020-03-18,144.88121950162173
2020-03-19,149.6214606052359
2020-03-20,152.1532147399179
2020-03-23,156.1315575297916
2020-03-24,154.93086388351134
2020-03-25,151.64316256337327
2020-03-26,152.1220438576712
2020-03-27,150.7736727982643
2020-03-30,148.81162195479746
2020-03-31,150.40875666478203
2020-04-01,146.13492924082834
2020-04-02,151.11272174087543
2020-04-03,156.32483568430393
2020-04-06,148.01757612120414
2020-04-07,147.88533085630453
2020-04-08,151.21929335979817
2020-04-09,151.61277770823918
2020-04-10,158.7483018730839
2020-04-13,163.62066393658912
2020-04-14,172.18800187885984
2020-04-15,167.1025190541449
2020-04-16,157.13404261790757
2020-04-17,162.6636681520009
2020-04-20,166.10845518706654
2020-04-21,164.58460753568306
2020-04-22,163.88447087312278
2020-04-23,169.26415395508016
2020-04-24,165.49096141598574
2020-04-27,164.19792174536676
2020-04-28,166.7681666398424
2020-04-29,170.05963549801965
2020-04-30,170.68253820479134
2020-05-01,164.96869884417484
2020-05-04,163.70199217422277
2020-05-05,165.63514349583693
2020-05-06,172.5280874206313
2020-05-07,172.01141689233816
2020-05-08,175.4615490847664
2020-05-11,179.65291233274996
2020-05-12,178.5476914204329
2020-05-13,178.74476734838836
2020-05-14,175.5027239511885
2020-05-15,167.18755327208473
2020-05-18,168.0162826260173
2020-05-19,169.3932747148591
2020-05-20,168.59568330774536
2020-05-21,164.99793388706
2020-05-22,164.97665009559043
2020-05-25,165.3855930633496
2020-05-26,167.30247764440324
2020-05-27,167.81112143397002
2020-05-28,165.81822303857982
2020-05-29,167.1219826333066
2020-06-01,170.36915093488892
2020-06-02,166.4056665197139
2020-06-03,168.51478826229172
2020-06-04,165.83460732863594
2020-06-05,163.49220767407306
2020-06-08,161.4593316333823
2020-06-09,163.26471631936965
2020-06-10,157.40971198049886
2020-06-11,155.215773048108
2020-06-12,153.88655281981795
2020-06-15,154.4133929310726
2020-06-16,156.8907839933342
