Date,EBAY
2020-01-01,149.01636547320766
2020-01-02,149.15659745627732
2020-01-03,144.96477665605752
2020-01-06,144.37595251905668
2020-01-07,146.82177229333422
2020-01-08,149.17786929064857
2020-01-09,142.06791628215333
2020-01-10,145.40118627732357
2020-01-13,144.36453558169856
2020-01-14,144.66713556467516
2020-01-15,147.7098958852585
2020-01-16,151.54197840002246
2020-01-17,153.81941258695576
2020-01-20,153.7820822257227
2020-01-21,153.2802325238715
2020-01-22,154.93097662294866
2020-01-23,150.0927461731243
2020-01-24,150.28122989851056
2020-01-27,145.5503791250731
2020-01-28,152.32353854056538
2020-01-29,152.1632956112575
2020-01-30,153.5593526677759
2020-01-31,150.95147981835694
2020-02-03,152.1400273268994
2020-02-04,155.82349261767047
2020-02-05,158.36665425619807
2020-02-06,160.81817454288185
2020-02-07,161.83784693376245
2020-02-10,159.79882280956085
2020-02-11,155.4382064827006
2020-02-12,153.54037608066974
2020-02-13,155.15512371616518
2020-02-14,150.66635585466727
2020-02-17,152.5515804781958
2020-02-18,155.80548840508152
2020-02-19,152.54785777215363
2020-02-20,156.15253299060953
2020-02-21,152.63076833027165
2020-02-24,153.18270917218175
2020-02-25,151.40911443259864
2020-02-26,151.7041306256757
2020-02-27,155.5359194952784
2020-02-28,155.37053687949899
2020-03-02,156.59663643696769
2020-03-03,156.70418803060582
2020-03-04,157.0515451158504
2020-03-05,156.339939197476
2020-03-06,156.68551560437626
2020-03-09,161.00191294138912
2020-03-10,159.10825142160186
2020-03-11,160.1557868064306
2020-03-12,160.31550964356657
2020-03-13,159.94048131293752
2020-03-16,156.3418225820229
2020-03-17,158.62162914675855
2020-03-18,156.92516922475627
2020-03-19,157.93519440612138
2020-03-20,156.44073445061656
2020-03-23,157.7992889479566
2020-03-24,162.08954768231837
2020-03-25,165.79583419160363
2020-03-26,161.53155187083266
2020-03-27,160.2633940277064
2020-03-30,161.11129526285137
2020-03-31,164.51477899352017
2020-04-01,173.0588712511615
2020-04-02,171.21402803836392
2020-04-03,170.8457567012523
2020-04-06,172.28967035002478
2020-04-07,174.4002903165353
2020-04-08,175.99882086030988
2020-04-09,176.6373262847786
2020-04-10,176.17599563820207
2020-04-13,173.84669728801134
2020-04-14,172.24136505143014
2020-04-15,176.6190489211196
2020-04-16,181.12120121470426
2020-04-17,181.25291946186354
2020-04-20,179.33583382757232
2020-04-21,174.7179854191815
2020-04-22,170.57757114506978
2020-04-23,171.40875831811374
2020-04-24,171.14589023063422
2020-04-27,170.9955671182953
2020-04-28,163.00075284201873
2020-04-29,164.51030902831613
2020-04-30,162.29183720498884
2020-05-01,159.41085770865328
2020-05-04,160.4680296341141
2020-05-05,155.57723863994676
2020-05-06,153.7760217472174
2020-05-07,154.43565789639186
2020-05-08,156.58458831461908
2020-05-11,159.33391089201098
2020-05-12,159.3312492229861
2020-05-13,156.26342814955538
2020-05-14,155.26285656599424
2020-05-15,158.77174497486186
2020-05-18,157.19185037118808
2020-05-19,155.76505549534872
2020-05-20,154.6603756695252
2020-05-21,152.20933608242984
2020-05-22,153.29954770588077
2020-05-25,153.4785694571247
2020-05-26,153.66085258288993
2020-05-27,155.1511662554725
2020-05-28,158.3560096105777
2020-05-29,161.17782148134583
2020-06-01,158.42319089839015
2020-06-02,154.97330074993104
2020-06-03,152.61643386146972
2020-06-04,153.51427709189176
2020-06-05,151.84404807434774
2020-06-08,148.34847895559807
2020-06-09,144.4908983147859
2020-06-10,144.13665417129252
2020-06-11,146.1519227858014
2020-06-12,146.30515640486271
2020-06-15,145.90116507519568
2020-06-16,152.58717006812378
2020-06-17,156.4316844756648
2020-06-18,157.6086951768617
2020-06-19,158.15492041340383
2020-06-22,154.41907351158054
2020-06-23,156.32384310848533
2020-06-24,155.9028554199437
2020-06-25,151.95882038783563
2020-06-26,151.7338911715086
2020-06-29,155.51809329352383
2020-06-30,156.8946025472444
2020-07-01,159.42724811424574
2020-07-02,155.91545385813154
2020-07-03,156.2641269532057
2020-07-06,157.26354817005375
2020-07-07,158.29994164113634
2020-07-08,156.62897659499177
2020-07-09,153.64099658985643
2020-07-10,150.96493701043084
2020-07-13,147.79292959950027
2020-07-14,146.22001292695316
2020-07-15,146.3895859533217
2020-07-16,146.07397346667273
2020-07-17,148.10374052471008
2020-07-20,147.15395671582186
2020-07-21,143.3817883543765
2020-07-22,142.47370051804768
2020-07-23,150.13556041701185
2020-07-24,148.41154680739973
2020-07-27,142.38558066286112
2020-07-28,150.88830014299705
2020-07-29,149.73240887140685
2020-07-30,146.82964192040953
2020-07-31,144.50118616219845
2020-08-03,148.4003721135509
2020-08-04,147.89914270280954
2020-08-05,146.4161767045625
2020-08-06,145.9102787293255
2020-08-07,148.14073885822253
2020-08-10,152.39841956096367
2020-08-11,153.21993719909705
2020-08-12,158.51526694924615
2020-08-13,160.2699710332794
2020-08-14,161.3105173855297
2020-08-17,161.06665334786663
2020-08-18,163.17692553451135
2020-08-19,160.5216211666036
2020-08-20,158.8184356957542
2020-08-21,159.01183650513136
2020-08-24,163.6826835436742
2020-08-25,165.40737225794336
2020-08-26,165.54494495978403
2020-08-27,163.36607561898097
2020-08-28,160.37312722739043
2020-08-31,156.6371614766424
2020-09-01,154.61048362148856
2020-09-02,161.26480443367805
2020-09-03,161.7302142593595
2020-09-04,157.14730404949972
2020-09-07,155.05708497100355
2020-09-08,152.43663174887317
2020-09-09,155.98215732392967
2020-09-10,158.55325215062683
2020-09-11,156.33622922479097
2020-09-14,151.86921227805834
2020-09-15,150.54192527007658
2020-09-16,146.5422646306746
2020-09-17,149.10308734781066
2020-09-18,148.29479840455195
2020-09-21,149.95290986130598
2020-09-22,144.4089507177351
2020-09-23,149.74977514603276
2020-09-24,153.4033211117852
2020-09-25,154.03660141409065
2020-09-28,157.52295941777763
2020-09-29,160.73910658439127
2020-09-30,160.0941803077577
2020-10-01,158.06594905433127
2020-10-02,157.8528682003413
2020-10-05,152.69821100549885
2020-10-06,153.99015618239403
2020-10-07,149.66173327031464
2020-10-08,155.78770324726128
2020-10-09,158.58916675162746
2020-10-12,157.7662982809131
2020-10-13,156.99398387531437
2020-10-14,156.33973893255433
2020-10-15,154.27563022093312
2020-10-16,156.0224695870568
2020-10-19,154.16792881464124
2020-10-20,158.40559387124625
2020-10-21,158.97171884301483
2020-10-22,161.1103554394867
2020-10-23,159.55155344263076
2020-10-26,159.98977177837057
2020-10-27,156.14212883659255
2020-10-28,156.86699783252374
2020-10-29,155.83728033417503
2020-10-30,157.28573418932228
2020-11-02,160.46950300585834
2020-11-03,160.66069718783595
2020-11-04,157.17611250115644
2020-11-05,153.99038721194486
2020-11-06,151.9985791847881
2020-11-09,154.56366728678407
2020-11-10,151.85906545687956
2020-11-11,152.33458763225622
2020-11-12,154.5543576936734
2020-11-13,152.736492573325
2020-11-16,151.15218565459682
2020-11-17,154.14638665704976
2020-11-18,143.41497802265516
2020-11-19,142.34884077863558
2020-11-20,146.06860289094166
2020-11-23,143.51219275795694
