Date,CRM
2020-01-01,362.00672250319866
2020-01-02,354.7502605440245
2020-01-03,353.5495757860481
2020-01-06,354.6734395656792
2020-01-07,357.13613802981837
2020-01-08,363.84459936809725
2020-01-09,359.1465439870506
2020-01-10,354.2800518237732
2020-01-13,353.94429487722147
2020-01-14,349.4151788234531
2020-01-15,352.19556395003747
2020-01-16,357.45343470215994
2020-01-17,348.11158664467206
2020-01-20,351.9625444678548
2020-01-21,356.39344860353697
2020-01-22,361.0388799966936
2020-01-23,353.3142820712229
2020-01-24,348.08552400650126
2020-01-27,351.4648831496176
2020-01-28,353.52041730706446
2020-01-29,351.92009755377217
2020-01-30,346.8640459922553
2020-01-31,344.677551038842
2020-02-03,348.7391316687834
2020-02-04,354.7742371702674
2020-02-05,359.14086570731104
2020-02-06,359.72688185512635
2020-02-07,363.77734173563266
2020-02-10,362.82763564024145
2020-02-11,368.08392273573634
2020-02-12,359.04133836447403
2020-02-13,353.50469091667304
2020-02-14,356.31321303881367
2020-02-17,355.7090582062176
2020-02-18,358.0539243523586
2020-02-19,357.11484140254674
2020-02-20,355.2173985515789
2020-02-21,356.5587475358776
2020-02-24,351.1161966017042
2020-02-25,358.17245551412987
2020-02-26,359.19234988199105
2020-02-27,358.95256662440005
2020-02-28,350.86204183168263
2020-03-02,343.7392896369296
2020-03-03,344.14063611173555
2020-03-04,349.2600179522273
2020-03-05,348.2815143474389
2020-03-06,351.06300042432565
2020-03-09,351.33608154817546
2020-03-10,352.6643542580043
2020-03-11,348.3062343369938
2020-03-12,352.27611788189984
2020-03-13,353.4873545674247
2020-03-16,354.5346067013006
2020-03-17,358.70753626111923
2020-03-18,355.81734851767595
2020-03-19,358.57093465764444
2020-03-20,360.7399907910904
2020-03-23,363.6654727231583
2020-03-24,362.3617513068958
2020-03-25,360.2956315734387
2020-03-26,359.5372377978033
2020-03-27,368.18706917092203
2020-03-30,368.76161486340897
2020-03-31,374.06247978797757
2020-04-01,374.27693751177424
2020-04-02,380.89752497340237
2020-04-03,387.190887127327
2020-04-06,387.92084700546206
2020-04-07,395.1889503854456
2020-04-08,396.19624028591323
2020-04-09,397.5773866592365
2020-04-10,401.65687382530706
2020-04-13,403.16749311804296
2020-04-14,397.59153823212876
2020-04-15,397.8987482733022
2020-04-16,396.5077727780764
2020-04-17,397.8107618332059
2020-04-20,396.79954137482747
2020-04-21,401.91614264474475
2020-04-22,400.37528043168254
2020-04-23,404.3523151258938
2020-04-24,404.22534900586464
2020-04-27,413.637592637499
2020-04-28,409.31308294958353
2020-04-29,401.75859430754775
2020-04-30,400.7570889760066
2020-05-01,402.11199094078586
2020-05-04,403.5134783683988
2020-05-05,402.1767029841861
2020-05-06,405.43270522064523
2020-05-07,393.87189126083314
2020-05-08,392.65410525072235
2020-05-11,397.3023368000525
2020-05-12,402.89775018460847
2020-05-13,404.5751357035465
2020-05-14,405.76777099505614
2020-05-15,407.2912661777706
2020-05-18,406.5849113393287
2020-05-19,406.59459893709044
2020-05-20,405.7363186024011
2020-05-21,402.86068781986074
2020-05-22,404.70397335068907
2020-05-25,401.72892304027135
2020-05-26,403.8235497978566
2020-05-27,413.68188823766866
2020-05-28,408.38511251880476
2020-05-29,406.6333423343198
2020-06-01,411.5475767229483
2020-06-02,404.24349535066915
2020-06-03,407.4172585238971
2020-06-04,407.7842712503257
2020-06-05,419.7062273093516
2020-06-08,417.11867943759444
2020-06-09,414.2396645232327
2020-06-10,424.99064440968766
2020-06-11,431.95473799478225
2020-06-12,426.6975759131747
2020-06-15,425.6453653708462
2020-06-16,430.128071844608
2020-06-17,436.65380707216275
2020-06-18,430.7968069108429
2020-06-19,441.21025360447936
2020-06-22,446.1682010434012
2020-06-23,446.45336404240686
2020-06-24,444.5184756242617
2020-06-25,445.4680699175712
2020-06-26,434.09714174973215
2020-06-29,426.43478331190215
2020-06-30,417.35348812328573
2020-07-01,412.7271482109985
2020-07-02,415.46381650997824
2020-07-03,415.18208542524417
2020-07-06,413.20649147144445
2020-07-07,411.4199376012726
2020-07-08,412.7623519707216
2020-07-09,409.9686919689424
2020-07-10,407.524870440091
2020-07-13,410.84338821692097
2020-07-14,401.8706671547015
2020-07-15,391.5129309665675
2020-07-16,395.9522237448038
2020-07-17,392.4579541221213
2020-07-20,389.7403443034704
2020-07-21,398.8016930460407
2020-07-22,398.2911728384679
2020-07-23,392.0437778959178
2020-07-24,403.7753580167132
2020-07-27,400.998338334396
2020-07-28,395.36607961878383
2020-07-29,393.5495615864478
2020-07-30,384.4134969320473
2020-07-31,385.3434959167055
2020-08-03,383.2333368706234
2020-08-04,379.9943136033829
2020-08-05,377.936096224142
2020-08-06,381.26598965668
2020-08-07,377.65163235071674
2020-08-10,381.485363724135
2020-08-11,378.41810303397256
2020-08-12,383.402023199395
2020-08-13,385.8440752704271
2020-08-14,390.1295148012064
2020-08-17,383.97474803409034
2020-08-18,375.16841479986317
2020-08-19,378.6145380029348
2020-08-20,383.65801320539106
2020-08-21,386.98704993129985
2020-08-24,376.76482327969524
2020-08-25,371.9062766310394
2020-08-26,374.0114400956173
2020-08-27,372.971456361136
2020-08-28,366.5824285106897
2020-08-31,373.8550470741307
2020-09-01,379.09242555101866
2020-09-02,381.32017236690393
2020-09-03,392.46297350403637
2020-09-04,385.0059085874843
2020-09-07,394.33478803516175
2020-09-08,376.4557743806405
2020-09-09,380.2893954347225
2020-09-10,372.55047829747934
2020-09-11,368.3979210431092
2020-09-14,363.6352931372
2020-09-15,363.82146599380553
2020-09-16,373.6323206067451
2020-09-17,375.51119354707225
2020-09-18,382.406362769141
2020-09-21,372.7784392719014
2020-09-22,372.2803106089241
2020-09-23,377.4711475285243
2020-09-24,372.73683023329266
2020-09-25,379.47113324922975
2020-09-28,373.21648757054874
2020-09-29,374.03830538906925
2020-09-30,373.41296936439943
2020-10-01,371.4186183572518
2020-10-02,367.737602601935
2020-10-05,374.73008064724917
2020-10-06,380.1085245546705
2020-10-07,382.5310088514656
2020-10-08,369.44598510074087
2020-10-09,364.44769312381
2020-10-12,361.0732576952712
2020-10-13,361.20094360125984
2020-10-14,356.23580520219895
2020-10-15,357.12747042677915
2020-10-16,359.03783392475543
2020-10-19,355.3285109074925
2020-10-20,366.6486184972128
2020-10-21,367.9072600596298
2020-10-22,365.2744561972564
2020-10-23,363.7395203385899
2020-10-26,363.79139347281597
2020-10-27,363.0892683705672
2020-10-28,367.03819019445666
2020-10-29,369.6530062199372
2020-10-30,372.1778108997985
2020-11-02,366.2873272179559
2020-11-03,358.14643004130625
2020-11-04,357.74740135364675
2020-11-05,355.9260657433179
2020-11-06,354.42317670131746
2020-11-09,358.3954007502945
2020-11-10,356.53565028280264
2020-11-11,353.3378452862332
2020-11-12,352.1560659167372
2020-11-13,362.8534643821914
2020-11-16,367.80444709883716
2020-11-17,372.9623499778129
2020-11-18,368.3036014470102
2020-11-19,361.3944733822763
2020-11-20,364.19405614163173
2020-11-23,365.60090510652054
2020-11-24,360.9878957281327
2020-11-25,365.06024012156877
2020-11-26,363.5244849281611
2020-11-27,366.9994490572951
2020-11-30,368.73964227484703
2020-12-01,362.53284202340456
2020-12-02,366.7626005451734
2020-12-03,359.65124735149806
2020-12-04,359.1219870138706
2020-12-07,357.4593649843175
2020-12-08,359.60159306510025
2020-12-09,354.0512688968896
2020-12-10,350.590150339652
2020-12-11,350.1639300974798
2020-12-14,352.88278917934616
2020-12-15,351.848848172879
2020-12-16,348.37191564440417
2020-12-17,346.6986726343457
2020-12-18,343.54652814514026
2020-12-21,343.4909851393739
2020-12-22,334.5663628440894
2020-12-23,324.14069265642263
2020-12-24,324.9804396550082
2020-12-25,325.37784208126567
2020-12-28,324.9700216674628
2020-12-29,325.70746294300363
2020-12-30,327.1383890499002
2020-12-31,325.8416453495574
2021-01-01,328.8490110449661
2021-01-04,334.25748264986004
2021-01-05,335.93122438475496
2021-01-06,331.5010701552762
2021-01-07,315.3044944970477
2021-01-08,319.09458003388664
2021-01-11,315.3842746498234
2021-01-12,322.8593018894747
2021-01-13,326.0905559147716
2021-01-14,324.6293110537673
2021-01-15,335.72465399334465
2021-01-18,331.91448643927765
2021-01-19,335.9897665353655
2021-01-20,334.3425999740351
2021-01-21,332.5452712518314
2021-01-22,333.24559757435236
2021-01-25,324.1556733607776
2021-01-26,324.0447096943472
2021-01-27,324.6465999979825
2021-01-28,318.427160151394
2021-01-29,324.0126395138051
2021-02-01,325.482508488354
2021-02-02,323.4683654533964
2021-02-03,324.5285298891207
2021-02-04,314.76102505206444
2021-02-05,312.911770782705
2021-02-08,315.00657701676687
2021-02-09,309.41091886070274
2021-02-10,309.7320420848933
2021-02-11,309.6971523037574
2021-02-12,305.47941448972307
2021-02-15,304.05722632566466
2021-02-16,303.4967741152771
2021-02-17,298.51098775746
2021-02-18,299.79411717316077
2021-02-19,296.2841436737243
2021-02-22,297.10823543025504
2021-02-23,295.9084434308556
2021-02-24,296.3343380471085
2021-02-25,292.31453793161086
2021-02-26,292.52727316233194
2021-03-01,292.8369369797124
2021-03-02,290.15768116107085
2021-03-03,294.62039093743556
