Date,CCI
2020-01-01,494.67451969554577
2020-01-02,486.106633074054
2020-01-03,523.1009013370817
2020-01-06,527.4610988333312
2020-01-07,523.6281483418074
2020-01-08,530.8840521267017
2020-01-09,527.4963277869596
2020-01-10,485.5739034956071
2020-01-13,490.247769663129
2020-01-14,496.10923755532485
2020-01-15,538.8149800225989
2020-01-16,548.2108052596002
2020-01-17,552.9295144747211
2020-01-20,550.8213191911439
2020-01-21,528.1308912069785
2020-01-22,496.71114358980736
2020-01-23,494.97470678052827
2020-01-24,491.3421673396503
2020-01-27,476.94772711303676
2020-01-28,470.86512405446496
2020-01-29,485.5618554932052
2020-01-30,466.0957477326413
2020-01-31,448.1527238694254
2020-02-03,456.1649409336563
2020-02-04,452.5726454642026
2020-02-05,449.02804225879663
2020-02-06,480.38997336999483
2020-02-07,472.6796706228789
2020-02-10,464.1167715932487
2020-02-11,457.27242370663515
2020-02-12,439.97587752630653
2020-02-13,447.6245825063899
2020-02-14,444.4058249451483
2020-02-17,455.1816732575918
2020-02-18,435.21696292763266
2020-02-19,429.69379845727514
2020-02-20,433.12323903029215
2020-02-21,433.1337810238056
2020-02-24,422.4711928712959
2020-02-25,436.01387510467754
2020-02-26,445.9717662593607
2020-02-27,448.14867149768816
2020-02-28,454.43233274754016
2020-03-02,470.52225848329493
2020-03-03,456.29434874050605
2020-03-04,468.3865119686114
2020-03-05,464.9010108735326
2020-03-06,474.0795822887686
2020-03-09,470.60732508258434
2020-03-10,457.1889016171974
2020-03-11,475.12365713357974
2020-03-12,480.99577823389194
2020-03-13,471.4421152729772
2020-03-16,470.2780900946073
2020-03-17,443.8362737973641
2020-03-18,445.43104895475506
2020-03-19,454.006022264334
2020-03-20,442.7124340536311
2020-03-23,460.90761577849696
2020-03-24,462.6780083107183
2020-03-25,451.4940573459579
2020-03-26,464.0539855160615
2020-03-27,455.7668378817845
2020-03-30,454.53565793433097
2020-03-31,451.22878507160914
2020-04-01,470.23175374720154
2020-04-02,465.7381926867436
2020-04-03,486.9640180787624
2020-04-06,475.8387030508549
2020-04-07,482.70453195620007
2020-04-08,487.99049148088324
2020-04-09,498.91792759324255
2020-04-10,498.5051774057699
2020-04-13,472.9148970625482
2020-04-14,476.9249986609795
2020-04-15,473.0210476893742
2020-04-16,480.2596582250689
2020-04-17,489.3214148864001
2020-04-20,479.2266767536688
2020-04-21,472.36308773946325
2020-04-22,487.7451414724299
2020-04-23,494.7658471938524
2020-04-24,475.1793697818888
2020-04-27,465.57868632701366
2020-04-28,477.34395791160534
2020-04-29,475.56955984396643
2020-04-30,490.3015389939608
2020-05-01,522.7436840149635
2020-05-04,503.4741447520773
2020-05-05,532.4955677379315
2020-05-06,526.1929655966908
2020-05-07,526.819143208929
2020-05-08,550.5232037397147
2020-05-11,542.5236919510812
2020-05-12,563.7602201367766
