Date,PFE
2020-01-01,449.33752878569464
2020-01-02,452.19883209094866
2020-01-03,465.33739286295713
2020-01-06,465.18130445386737
2020-01-07,483.473883605983
2020-01-08,475.4320988608219
2020-01-09,471.5401493234545
2020-01-10,465.35805087479275
2020-01-13,453.9165900200342
2020-01-14,475.89834951308745
2020-01-15,483.1521539582443
2020-01-16,468.25351633419905
2020-01-17,477.5521722184563
2020-01-20,485.4432119148816
2020-01-21,478.275839663163
2020-01-22,462.1781589014676
2020-01-23,457.5741096639393
2020-01-24,432.2744211585499
2020-01-27,446.14147644231394
2020-01-28,424.498481954615
2020-01-29,429.63066353765197
2020-01-30,422.4451219084926
2020-01-31,424.67387581626565
2020-02-03,432.18577103837066
2020-02-04,433.05958935218985
2020-02-05,424.02773067385374
2020-02-06,431.7933965921808
2020-02-07,446.3937711316318
2020-02-10,435.05361917740595
2020-02-11,445.69665155648147
2020-02-12,451.1139368994065
2020-02-13,456.06057557561553
2020-02-14,441.2027032826253
2020-02-17,443.2022461718102
2020-02-18,437.40377055774866
2020-02-19,409.70496485364384
2020-02-20,398.5130218368772
2020-02-21,421.78598093112606
2020-02-24,411.85814138605633
2020-02-25,415.12374827919894
2020-02-26,418.24070371837604
2020-02-27,414.136206586753
2020-02-28,411.53518376268715
2020-03-02,405.55940508096467
2020-03-03,407.93799882045533
2020-03-04,398.814231887644
2020-03-05,406.0952128252075
2020-03-06,399.10895283568027
2020-03-09,389.01559657118173
2020-03-10,397.0365396334357
2020-03-11,381.81011305970577
2020-03-12,369.99909336591764
2020-03-13,368.07055762022463
2020-03-16,386.06418554149326
2020-03-17,389.5548960190193
2020-03-18,401.0499819774972
2020-03-19,408.96357414015404
2020-03-20,408.20556373038943
2020-03-23,395.95100199931784
2020-03-24,388.61681686135137
2020-03-25,378.5802131122855
2020-03-26,390.8183165590582
2020-03-27,376.5558199457277
2020-03-30,376.06669397594936
2020-03-31,370.4668589573697
2020-04-01,353.16785387247614
2020-04-02,359.86676439515065
2020-04-03,353.5021609248044
2020-04-06,350.998969131801
2020-04-07,344.2112516082989
2020-04-08,348.13426740330436
2020-04-09,356.4177042517377
2020-04-10,355.55987995540517
2020-04-13,360.9212645370909
2020-04-14,358.66092421435525
2020-04-15,338.0865981531477
2020-04-16,345.9399119314634
2020-04-17,338.008499209245
2020-04-20,344.8943143344109
2020-04-21,350.99090400282233
2020-04-22,351.7255468398694
2020-04-23,346.48894043400975
2020-04-24,347.1387291917332
2020-04-27,346.12789799234065
2020-04-28,343.9345794861653
2020-04-29,348.05028324728363
2020-04-30,350.7638814394577
2020-05-01,332.5285510845604
2020-05-04,327.56543380369436
2020-05-05,318.1397884728044
2020-05-06,317.93502035346927
2020-05-07,312.6874259731029
2020-05-08,332.7119933929081
2020-05-11,327.61802621131005
2020-05-12,325.69962638781936
2020-05-13,321.04463426726244
2020-05-14,318.1561620662075
2020-05-15,310.3809765450299
