Date,ISRG
2020-01-01,459.3502272020665
2020-01-02,457.2916768011834
2020-01-03,455.4521842232598
2020-01-06,463.4266711298924
2020-01-07,475.3570695957063
2020-01-08,477.8331063404689
2020-01-09,464.6399229139912
2020-01-10,465.2886539573004
2020-01-13,471.04608265357786
2020-01-14,476.10719368530295
2020-01-15,494.6069580913229
2020-01-16,481.96811460216674
2020-01-17,496.82912180588056
2020-01-20,519.5588498025162
2020-01-21,512.2765001932177
2020-01-22,508.1804609291506
2020-01-23,521.4241498273767
2020-01-24,508.4097932129674
2020-01-27,544.9367967336641
2020-01-28,533.8182977353486
2020-01-29,534.6054202534459
2020-01-30,497.7369702643052
2020-01-31,524.9781730108674
2020-02-03,512.770463345668
2020-02-04,491.404827885739
2020-02-05,505.5803877686283
2020-02-06,474.16605592397275
2020-02-07,452.008961575994
2020-02-10,451.4022774223698
2020-02-11,456.24360904570176
2020-02-12,446.7161451617045
2020-02-13,457.164095175337
2020-02-14,472.8787557435822
2020-02-17,470.85313266807987
2020-02-18,452.1768591437326
2020-02-19,447.1632888782936
2020-02-20,430.8077523299606
2020-02-21,426.8209442202452
2020-02-24,434.3165378109933
2020-02-25,429.4754648714565
2020-02-26,424.2879765557734
2020-02-27,410.684117234951
2020-02-28,404.0171396741315
2020-03-02,393.33680068405994
2020-03-03,390.5654884630651
2020-03-04,409.7669060104597
2020-03-05,426.4103709284283
2020-03-06,430.6414476781799
2020-03-09,416.3287142344247
2020-03-10,388.5341488501285
2020-03-11,369.5858445346081
2020-03-12,363.6964943550132
2020-03-13,375.03265048744316
2020-03-16,368.7949254195717
2020-03-17,379.0561161267948
2020-03-18,390.7768494796086
2020-03-19,391.93966871701434
2020-03-20,386.8849273665568
2020-03-23,366.88121128507925
2020-03-24,365.14938187733196
2020-03-25,357.3137855407134
2020-03-26,366.7866424409549
2020-03-27,370.56533199622635
2020-03-30,383.0917943489289
2020-03-31,384.73014233614003
2020-04-01,383.6592034591755
2020-04-02,384.73590372384297
2020-04-03,403.42309536734933
2020-04-06,399.8624546113092
2020-04-07,409.7071380098734
2020-04-08,413.9479152529166
2020-04-09,413.12824329972756
2020-04-10,425.8634204205658
2020-04-13,422.6257243490841
2020-04-14,434.7837230949352
2020-04-15,431.12623097861336
2020-04-16,430.220098570416
2020-04-17,426.1921409774829
2020-04-20,432.0627795907608
2020-04-21,426.51686918724687
2020-04-22,421.7460272723101
2020-04-23,417.989705292198
2020-04-24,408.6203789940098
2020-04-27,405.6729469344887
2020-04-28,416.7395270478737
2020-04-29,422.69270129392504
2020-04-30,438.1003720973093
2020-05-01,438.7515207458118
2020-05-04,448.57426859489874
2020-05-05,460.6469838364892
2020-05-06,443.76481638902015
2020-05-07,458.7901730697782
2020-05-08,444.5392980010667
2020-05-11,443.46691176650796
2020-05-12,423.9184849831168
2020-05-13,429.13649726038443
2020-05-14,419.2069795836634
2020-05-15,425.5798745018349
2020-05-18,415.36459783745227
2020-05-19,413.5374152680018
2020-05-20,418.75726847293004
2020-05-21,440.6658929461453
2020-05-22,441.1519330130008
2020-05-25,441.20881071566924
2020-05-26,449.87630010347425
2020-05-27,471.80033273789326
2020-05-28,492.5974660951738
2020-05-29,498.46232021802444
2020-06-01,501.06174663811316
2020-06-02,489.1274914945889
2020-06-03,478.32792713692214
2020-06-04,484.9879127357647
2020-06-05,498.5620531251399
2020-06-08,493.64427049410835
2020-06-09,483.1100566435102
2020-06-10,468.73122244004736
2020-06-11,476.65928294935367
2020-06-12,489.39240259723545
2020-06-15,482.7555934922417
2020-06-16,476.90039246049906
2020-06-17,474.3950669484039
2020-06-18,473.7830376651428
2020-06-19,474.7375022348089
2020-06-22,477.08831784830727
2020-06-23,456.07394254259674
2020-06-24,465.68185950923106
2020-06-25,498.077447238871
2020-06-26,497.28267359849383
2020-06-29,503.3206308084012
2020-06-30,496.69444741197333
2020-07-01,505.6179542869347
2020-07-02,527.2507611963204
2020-07-03,533.2239080225593
2020-07-06,533.1854810140271
2020-07-07,526.2630982539423
2020-07-08,507.397017257177
2020-07-09,510.4227836731924
2020-07-10,514.0084919868134
2020-07-13,520.7990010103186
2020-07-14,503.04253255461265
2020-07-15,488.03448064883355
2020-07-16,497.2974611164189
2020-07-17,511.3923920708001
2020-07-20,508.739690757997
2020-07-21,517.7648547167145
