Date,TGT
2020-01-01,375.39001238229196
2020-01-02,375.39635249163746
2020-01-03,373.440275004606
2020-01-06,370.5170692816477
2020-01-07,382.58940871772495
2020-01-08,383.1375794713706
2020-01-09,381.0858681602981
2020-01-10,377.25601843390945
2020-01-13,379.7167505561983
2020-01-14,379.0070179601749
2020-01-15,375.8406599799956
2020-01-16,373.90831242659146
2020-01-17,370.2205409168438
2020-01-20,378.0463844295517
2020-01-21,373.15025371365044
2020-01-22,376.00317347476283
2020-01-23,370.11203471488653
2020-01-24,363.4639693129457
2020-01-27,357.01875340842497
2020-01-28,351.78107532528526
2020-01-29,346.9727960856493
2020-01-30,347.34527007403244
2020-01-31,341.78825261792434
2020-02-03,339.4255390369199
2020-02-04,342.510850385217
2020-02-05,336.82727972096654
2020-02-06,340.5661321222405
2020-02-07,344.4255630369135
2020-02-10,346.2655307305711
2020-02-11,345.2690728494624
2020-02-12,344.5138419901059
2020-02-13,342.79644791296
2020-02-14,351.8083978306339
2020-02-17,355.9260005742206
2020-02-18,353.1119090441892
2020-02-19,351.23986412851866
2020-02-20,353.26412192109916
2020-02-21,351.55100690961547
2020-02-24,353.66434177313664
2020-02-25,354.57904203839314
2020-02-26,356.9226491123826
2020-02-27,354.71442024391007
2020-02-28,353.5865359661279
2020-03-02,357.63446190898895
2020-03-03,358.5233143431916
2020-03-04,358.97931545630144
2020-03-05,365.4867844533958
2020-03-06,365.0836782097179
2020-03-09,363.7291568061554
2020-03-10,364.13086021287353
2020-03-11,365.63977323224634
2020-03-12,366.5685376315007
2020-03-13,365.10828096175976
2020-03-16,361.4811483698435
2020-03-17,368.2952216196718
2020-03-18,376.8074366006289
2020-03-19,377.562761907051
2020-03-20,373.67007111409
2020-03-23,377.09025220565354
2020-03-24,371.8374411020564
2020-03-25,374.6786211128584
2020-03-26,366.3238437785443
2020-03-27,367.38763695907767
2020-03-30,364.63977473367555
2020-03-31,366.73629509084117
2020-04-01,365.96027743856223
2020-04-02,361.38632661760147
2020-04-03,363.0065895122527
2020-04-06,360.18585092121276
2020-04-07,357.0480332797492
2020-04-08,366.9713113047393
2020-04-09,360.188616530872
2020-04-10,355.3698625842769
2020-04-13,354.4808635147432
2020-04-14,354.4660313316982
2020-04-15,351.9484189739073
2020-04-16,351.011829254985
2020-04-17,357.8879267537553
2020-04-20,351.3824081346036
2020-04-21,352.85580084967324
2020-04-22,353.9633493362039
2020-04-23,358.41935761421286
2020-04-24,360.2507281942332
2020-04-27,362.5934099063523
2020-04-28,368.4500986819996
2020-04-29,367.5744678288581
2020-04-30,367.39779336606654
2020-05-01,375.4719094917558
2020-05-04,372.9632159607443
2020-05-05,375.60578179683773
2020-05-06,369.0142604126358
2020-05-07,370.0057846189354
2020-05-08,368.8397033796357
2020-05-11,364.3097878514717
2020-05-12,369.2150549240233
2020-05-13,362.9232797146043
2020-05-14,362.19059796706836
2020-05-15,356.34638516956363
2020-05-18,360.732722789898
2020-05-19,364.1472725703788
2020-05-20,357.3118290200207
2020-05-21,354.5796341953308
2020-05-22,358.07613787072034
2020-05-25,363.8978513214039
2020-05-26,366.95641211256066
2020-05-27,371.20410997745114
2020-05-28,370.9981666109557
2020-05-29,371.3654903444607
2020-06-01,371.78833878249714
2020-06-02,364.77458264971483
2020-06-03,368.8380143101311
2020-06-04,364.0032275222839
2020-06-05,358.4553127538054
2020-06-08,363.56618968537924
2020-06-09,360.46001951635105
2020-06-10,347.68675646133653
2020-06-11,335.424025172422
2020-06-12,336.9533545619579
2020-06-15,338.131481366459
2020-06-16,335.50327504708235
2020-06-17,331.947520670745
2020-06-18,332.6608196777268
2020-06-19,336.3286365681755
2020-06-22,342.204628531979
2020-06-23,335.8430428830224
2020-06-24,333.80184239065335
2020-06-25,331.59231404328733
2020-06-26,333.59685930785196
2020-06-29,336.0456023874431
2020-06-30,335.7545793721779
2020-07-01,334.3996390120598
2020-07-02,331.5739100892924
2020-07-03,336.03764938032987
2020-07-06,333.382219002689
2020-07-07,337.9434365426701
2020-07-08,338.59214677504275
2020-07-09,338.1105447190873
2020-07-10,339.5350361019907
2020-07-13,340.6285060546652
2020-07-14,337.13401128887165
2020-07-15,335.8156097155511
2020-07-16,340.7884652405016
2020-07-17,337.92588648812335
2020-07-20,340.5232019367941
2020-07-21,341.04031061093565
2020-07-22,350.57713990891585
2020-07-23,348.97496544671276
2020-07-24,348.6126113895492
2020-07-27,349.9463028280486
2020-07-28,352.7630559536389
2020-07-29,352.7320275881398
2020-07-30,355.4577316285047
2020-07-31,353.38865170241013
2020-08-03,353.49683385612445
2020-08-04,355.53417772018184
2020-08-05,350.81596114394296
2020-08-06,344.8044104713797
2020-08-07,345.6530138109999
2020-08-10,345.21311485316596
2020-08-11,349.59981659242766
2020-08-12,350.9013076244208
2020-08-13,348.06462429690936
2020-08-14,347.20622068307597
2020-08-17,343.52886611547115
2020-08-18,338.4779972837151
2020-08-19,331.9920032249287
2020-08-20,325.9874959342519
2020-08-21,324.49505542637957
2020-08-24,331.34432424160985
2020-08-25,333.42877330160366
2020-08-26,336.6403546096947
2020-08-27,340.7558699252135
2020-08-28,340.19977339556357
2020-08-31,332.62267532135263
2020-09-01,333.3124594466189
2020-09-02,335.3165956146715
2020-09-03,333.3035038262421
2020-09-04,328.87476192881707
2020-09-07,324.4972655198304
2020-09-08,322.1493842237086
2020-09-09,321.00028724727053
2020-09-10,316.87865995228714
2020-09-11,315.1758127605715
2020-09-14,315.1864384535347
2020-09-15,315.4693948828388
2020-09-16,309.94204705681454
2020-09-17,309.0456756726772
2020-09-18,305.14127393415777
2020-09-21,304.5722574598721
2020-09-22,302.6931686240842
2020-09-23,295.0599443428701
2020-09-24,297.1207488006402
2020-09-25,302.7216342249298
2020-09-28,300.1847283495092
2020-09-29,297.34065852194846
2020-09-30,302.92619028660386
2020-10-01,300.9934922628507
2020-10-02,303.76239683840816
2020-10-05,298.6834720163979
2020-10-06,296.5746515912597
2020-10-07,293.122834708386
2020-10-08,294.62823011329857
2020-10-09,292.878870890733
2020-10-12,288.6859660436929
2020-10-13,295.658014470755
2020-10-14,295.2479822541439
2020-10-15,293.0200806433508
2020-10-16,295.6549427174061
2020-10-19,300.4245989135573
2020-10-20,304.0682614474624
2020-10-21,299.0290929775438
2020-10-22,293.48078477677836
2020-10-23,299.3486878017086
2020-10-26,296.7815995141549
2020-10-27,295.6112142790166
2020-10-28,294.1760925283102
2020-10-29,292.75872160369653
2020-10-30,294.1064379410623
2020-11-02,290.7839984745601
2020-11-03,291.4959515821132
2020-11-04,290.49781277976035
2020-11-05,298.21595793678193
2020-11-06,296.0004144847442
2020-11-09,293.74094983935095
2020-11-10,290.504736647712
2020-11-11,297.4834866355936
2020-11-12,305.7139094217299
2020-11-13,303.54630883969935
2020-11-16,298.6478416566075
2020-11-17,293.35001946669325
2020-11-18,295.802418043834
2020-11-19,293.19185384388607
2020-11-20,286.6600544153185
2020-11-23,289.3844703830201
2020-11-24,289.63860738358187
2020-11-25,291.76921229106307
2020-11-26,289.2588298022326
2020-11-27,288.6999184031451
2020-11-30,285.129727796784
2020-12-01,287.09703299803243
2020-12-02,282.38418451560074
2020-12-03,282.3282370132639
2020-12-04,283.5988224401267
2020-12-07,284.62456023169557
2020-12-08,286.40798308762504
2020-12-09,284.39749056316816
