Date,DHR
2020-01-01,190.4119126381914
2020-01-02,186.22657999125659
2020-01-03,192.04461509078087
2020-01-06,183.47872828206013
2020-01-07,189.8776740953804
2020-01-08,187.24740211611467
2020-01-09,186.9948131215214
2020-01-10,189.05339228610117
2020-01-13,193.3660586647373
2020-01-14,198.47016326097398
2020-01-15,195.52440993559375
2020-01-16,188.79890947094987
2020-01-17,188.05878884524085
2020-01-20,187.13173245479916
2020-01-21,182.61797544505558
2020-01-22,183.83406432808536
2020-01-23,186.02278567085253
2020-01-24,184.52594600183295
2020-01-27,183.68111057155886
2020-01-28,177.81123235553304
2020-01-29,183.56131725202675
2020-01-30,186.89384912905606
2020-01-31,188.0108445573807
2020-02-03,185.7717871018208
2020-02-04,184.3455513505572
2020-02-05,184.35018103529015
2020-02-06,183.96227250153765
2020-02-07,187.6832952239879
2020-02-10,188.89473090918685
2020-02-11,190.8836901325065
2020-02-12,194.3760174768663
2020-02-13,190.76902677298776
2020-02-14,186.45370432032084
2020-02-17,178.18404246534044
2020-02-18,189.84782683737262
2020-02-19,185.36791261193264
2020-02-20,180.84714461159365
2020-02-21,184.78082582594027
2020-02-24,184.7776055421843
2020-02-25,184.6870531550977
2020-02-26,186.02724501035712
2020-02-27,184.54725681878574
2020-02-28,183.4701280526091
2020-03-02,177.81864150505683
2020-03-03,168.23408113001773
2020-03-04,167.70208145573417
2020-03-05,169.7400493659707
2020-03-06,166.2673707639795
2020-03-09,172.540867950486
2020-03-10,176.0048982063592
2020-03-11,172.94111442676322
2020-03-12,178.6212608068407
2020-03-13,183.14421647051125
2020-03-16,182.67542592072238
2020-03-17,177.70498849285116
2020-03-18,176.51718992516803
2020-03-19,171.87264197200793
2020-03-20,168.26166213933357
2020-03-23,171.43737729979784
2020-03-24,168.13306267899088
2020-03-25,166.9609579337185
2020-03-26,168.59017406841525
2020-03-27,168.0587660684696
2020-03-30,161.2636171501397
2020-03-31,160.17620490090977
2020-04-01,161.86781716687838
2020-04-02,163.74384563186786
2020-04-03,164.45636263442057
2020-04-06,168.88115271006345
2020-04-07,162.7152913332724
2020-04-08,158.44651542957413
2020-04-09,153.6560406484332
2020-04-10,153.55180627003767
2020-04-13,149.6073068337229
2020-04-14,151.22085234547774
2020-04-15,149.22055295451202
2020-04-16,145.5025869772189
2020-04-17,143.915194527399
2020-04-20,145.3632455267329
2020-04-21,147.37719979168224
2020-04-22,151.05273545141225
2020-04-23,148.26481610455116
2020-04-24,148.2559977082022
2020-04-27,148.5503494293676
2020-04-28,152.3503091690507
2020-04-29,148.7829415334485
2020-04-30,145.23245462291874
2020-05-01,140.58105563695915
2020-05-04,140.3193527614772
2020-05-05,136.25539577530265
2020-05-06,135.64815535753087
2020-05-07,131.9005309374362
2020-05-08,126.79310904162983
2020-05-11,127.00921137723518
2020-05-12,129.57358994008945
2020-05-13,131.48461198262638
2020-05-14,130.01209985758766
2020-05-15,131.65707494691472
2020-05-18,133.85949253172362
2020-05-19,130.71374876668574
2020-05-20,132.9211264688795
2020-05-21,127.21045870112665
2020-05-22,126.10315997187571
2020-05-25,127.24670097887947
2020-05-26,126.8958695237656
2020-05-27,124.08476673992485
2020-05-28,120.49255200250532
2020-05-29,115.08048560365519
2020-06-01,111.44257931448558
2020-06-02,115.60778716051324
2020-06-03,115.99653311943354
2020-06-04,115.89179430343147
2020-06-05,115.44692588803578
2020-06-08,114.9209397981846
2020-06-09,112.83443878362219
2020-06-10,112.80835228002623
2020-06-11,112.2897430801328
2020-06-12,115.6209888036637
2020-06-15,111.16011082484377
