Date,DUK
2020-01-01,424.8898206494037
2020-01-02,429.4778312555773
2020-01-03,437.8038317705949
2020-01-06,433.90882659970526
2020-01-07,427.8381779038384
2020-01-08,421.21525754354167
2020-01-09,437.50571242614046
2020-01-10,431.54478546314687
2020-01-13,433.6588225677281
2020-01-14,424.5950540149307
2020-01-15,422.07226119891106
2020-01-16,415.14595760990267
2020-01-17,402.5463771472585
2020-01-20,402.99869121650727
2020-01-21,400.2013533741833
2020-01-22,400.37960452182494
2020-01-23,402.8450483234033
2020-01-24,408.5996573827385
2020-01-27,412.212833307256
2020-01-28,420.6741975085217
2020-01-29,420.88818026257564
2020-01-30,415.16053439657975
2020-01-31,420.3648183137817
2020-02-03,411.1927267855682
2020-02-04,400.3410855530593
2020-02-05,389.04969780890974
2020-02-06,397.9111234711656
2020-02-07,393.45933354868424
2020-02-10,396.4539892738158
2020-02-11,396.2311065243168
2020-02-12,384.0537324679783
2020-02-13,380.27306313188166
2020-02-14,384.93882326489074
2020-02-17,375.5370691530146
2020-02-18,371.4886421307731
2020-02-19,361.49234564035504
2020-02-20,361.97166958752257
2020-02-21,370.3366740499434
2020-02-24,375.17224166446385
2020-02-25,376.125956683082
2020-02-26,368.56009223036824
2020-02-27,366.28157552817225
2020-02-28,362.80926650710666
2020-03-02,357.6090051959235
2020-03-03,351.9912336299117
2020-03-04,367.6517638169269
2020-03-05,369.12359605353174
2020-03-06,368.77251001234146
2020-03-09,362.64799544131773
2020-03-10,360.87660308518986
2020-03-11,368.60012169830526
2020-03-12,377.5833099454712
2020-03-13,374.85628583960835
2020-03-16,376.02111119485033
2020-03-17,380.43953992613456
2020-03-18,386.93273477861663
2020-03-19,383.55680087487235
2020-03-20,380.4428820072086
2020-03-23,374.42032831761765
2020-03-24,372.70111169686623
2020-03-25,374.1974976744055
2020-03-26,376.06889166472416
2020-03-27,372.1831840232242
2020-03-30,379.5628809757307
2020-03-31,376.9239835628883
2020-04-01,371.3755259317455
2020-04-02,372.35461778222134
2020-04-03,372.29136618035363
2020-04-06,367.9334048736946
2020-04-07,372.07675282240956
2020-04-08,372.86568416152943
2020-04-09,360.20547347874896
2020-04-10,365.10013633099385
2020-04-13,367.4692218443086
2020-04-14,366.00943908996186
2020-04-15,371.4763231223978
2020-04-16,375.6888661196785
2020-04-17,370.8022383616962
2020-04-20,374.2624624943161
2020-04-21,376.36031306728864
2020-04-22,379.11111234954393
2020-04-23,372.4132911494625
2020-04-24,370.82915376869494
2020-04-27,362.8482216850068
2020-04-28,361.36962385111286
2020-04-29,361.05142064922074
2020-04-30,356.2401852621468
2020-05-01,356.3686939176601
2020-05-04,360.49827752930577
2020-05-05,360.06673132433895
2020-05-06,355.02260729887263
2020-05-07,355.83087497460133
2020-05-08,355.718954089759
2020-05-11,348.7197726397189
2020-05-12,352.36529150456386
2020-05-13,349.449674922675
2020-05-14,349.1795513114262
2020-05-15,350.9254268055574
2020-05-18,344.1884016432125
2020-05-19,343.1419539121655
2020-05-20,324.0293919414508
2020-05-21,324.86223046691595
2020-05-22,324.1634987168998
2020-05-25,320.3528351436699
2020-05-26,324.97755670754714
2020-05-27,326.5045806365351
2020-05-28,324.87918862376705
2020-05-29,327.96926060799615
2020-06-01,324.3239471704568
2020-06-02,325.83758102827966
2020-06-03,339.3987450667253
2020-06-04,345.81533854985764
2020-06-05,339.9136855885387
2020-06-08,332.5138243806157
2020-06-09,338.82805399824
2020-06-10,341.0314461093259
2020-06-11,339.66879982726846
2020-06-12,333.54052551732224
2020-06-15,331.79502287049877
2020-06-16,331.6381086633665
2020-06-17,334.15326194044286
2020-06-18,339.79527596506915
2020-06-19,335.64131225911376
2020-06-22,331.00701827493685
2020-06-23,336.4403679754776
2020-06-24,329.10227320178603
2020-06-25,342.6046354457351
2020-06-26,338.84752598668877
2020-06-29,335.94123295013424
2020-06-30,330.96803947134686
2020-07-01,340.193825225677
2020-07-02,336.2010323614763
2020-07-03,333.09093747982536
2020-07-06,337.4648091049534
2020-07-07,335.51084118796865
2020-07-08,335.2433944005608
2020-07-09,341.2872517313761
2020-07-10,334.230182072165
2020-07-13,329.6764282886705
2020-07-14,333.284723968508
2020-07-15,331.81599223014814
2020-07-16,327.0669258240686
2020-07-17,326.1631202121962
2020-07-20,330.12995023159067
2020-07-21,332.37066183308224
2020-07-22,341.08660106805263
2020-07-23,343.6645529131429
2020-07-24,351.2291144152045
2020-07-27,345.6051326439706
2020-07-28,340.2825158036147
2020-07-29,335.7582110133487
2020-07-30,337.2901670099651
2020-07-31,335.5185117609937
2020-08-03,339.2951418766806
2020-08-04,336.8681608886858
2020-08-05,340.13505686457637
2020-08-06,339.40777003682484
2020-08-07,345.5718007967256
2020-08-10,345.67696510170884
2020-08-11,357.82279423639204
2020-08-12,353.4682714607764
2020-08-13,352.564376563409
2020-08-14,356.17797832183146
