Date,COST
2020-01-01,131.32237166181184
2020-01-02,131.38221303387562
2020-01-03,131.69406256465012
2020-01-06,135.65711760592347
2020-01-07,141.92551519605223
2020-01-08,150.79624726973313
2020-01-09,151.06482079778473
2020-01-10,157.05213874132988
2020-01-13,158.03608434518506
2020-01-14,157.80479938526025
2020-01-15,160.8006038629787
2020-01-16,154.06859424762501
2020-01-17,150.97319054128715
2020-01-20,147.84942958758364
2020-01-21,149.09361578697167
2020-01-22,149.3662184288293
2020-01-23,149.35263648163516
2020-01-24,153.96526557423778
2020-01-27,155.88610231240787
2020-01-28,162.58370160988312
2020-01-29,166.11015872550655
2020-01-30,171.0268998731726
2020-01-31,172.11650212791935
2020-02-03,173.59170958102195
2020-02-04,176.3868420330544
2020-02-05,178.57775042953793
2020-02-06,181.1858917000927
2020-02-07,184.28558115458583
2020-02-10,187.19275709132745
2020-02-11,190.14431880048366
2020-02-12,193.49265544917958
2020-02-13,194.59269255779958
2020-02-14,187.9074302718747
2020-02-17,187.62014455425575
2020-02-18,189.72132386566392
2020-02-19,195.14582996096436
2020-02-20,197.11207108065892
2020-02-21,196.24812764036466
2020-02-24,197.9542508339049
2020-02-25,204.36975397038185
2020-02-26,203.60626236655324
2020-02-27,202.1236113852224
2020-02-28,204.8189213805027
2020-03-02,199.59675228138192
2020-03-03,203.32088646665682
2020-03-04,201.66869160977936
2020-03-05,200.33760554661984
2020-03-06,205.3388641032879
2020-03-09,208.3337566106629
2020-03-10,205.82195524912325
2020-03-11,204.1051994796319
2020-03-12,198.83564883610615
2020-03-13,195.43145060070376
2020-03-16,191.54880862531095
2020-03-17,187.12226662657952
2020-03-18,191.75048205768869
2020-03-19,192.845141079991
2020-03-20,186.70102807071203
2020-03-23,188.34545667963937
2020-03-24,190.73146705251025
2020-03-25,186.18514278260838
2020-03-26,186.58549501247305
2020-03-27,185.03456244719138
2020-03-30,185.6773008140207
2020-03-31,181.7312087569967
2020-04-01,178.73869538794864
2020-04-02,185.41834947433728
2020-04-03,186.1550822754082
2020-04-06,181.2157134731477
2020-04-07,182.8015548417111
2020-04-08,183.65501177954138
2020-04-09,179.5445188633948
2020-04-10,179.88518465542467
2020-04-13,181.7565289046314
2020-04-14,175.34047455646325
2020-04-15,177.9909745300981
2020-04-16,172.44970142585416
2020-04-17,169.36174730614763
2020-04-20,170.79813964856086
2020-04-21,175.7151733993671
2020-04-22,174.2926746026599
2020-04-23,169.71285232920584
2020-04-24,172.38691944991248
2020-04-27,170.10890274011828
2020-04-28,165.6410649923206
2020-04-29,159.38899795383446
2020-04-30,158.79865014411413
2020-05-01,160.16726229119936
2020-05-04,163.53346175656696
2020-05-05,160.00263772793593
2020-05-06,162.23359381041735
2020-05-07,158.88228204746716
2020-05-08,155.36511699178365
2020-05-11,153.88376229813323
2020-05-12,152.82728072784377
2020-05-13,151.2841659993359
2020-05-14,149.86281430555186
2020-05-15,146.90700435875377
2020-05-18,147.40052431350642
2020-05-19,147.4672845561143
2020-05-20,146.45424646362383
2020-05-21,144.85896648768846
