Date,NFLX
2020-01-01,489.26472539132544
2020-01-02,505.7620893331345
2020-01-03,509.20790301206586
2020-01-06,499.57055242089905
2020-01-07,475.290384305476
2020-01-08,465.84734112503264
2020-01-09,470.4125926805808
2020-01-10,463.9943266998813
2020-01-13,461.06224976231493
2020-01-14,455.9044683902538
2020-01-15,448.102958022165
2020-01-16,436.4052717897941
2020-01-17,436.0194316412137
2020-01-20,435.6858446537177
2020-01-21,435.3347447547517
2020-01-22,436.4605225362983
2020-01-23,424.31849418102126
2020-01-24,437.8925116279093
2020-01-27,421.9898556644312
2020-01-28,423.4965362846096
2020-01-29,412.4294418412382
2020-01-30,424.23468764396694
2020-01-31,426.8688507803292
2020-02-03,414.2026330362826
2020-02-04,420.93389911482336
2020-02-05,423.1159698004491
2020-02-06,424.25386715945234
2020-02-07,415.82157786297853
2020-02-10,413.9720277617903
2020-02-11,403.44219521260925
2020-02-12,409.28353036015375
2020-02-13,398.0694490655086
2020-02-14,411.5001398069211
2020-02-17,416.52945286176066
2020-02-18,424.6294965031363
2020-02-19,411.81195999132626
2020-02-20,412.39204968909854
2020-02-21,416.56046853028073
2020-02-24,416.42339220142577
2020-02-25,434.3485727848798
2020-02-26,434.74357576596805
2020-02-27,435.860682206704
2020-02-28,436.0961094543421
2020-03-02,432.12028804472396
2020-03-03,429.79383858600727
2020-03-04,429.1993770389723
2020-03-05,417.69634315317165
2020-03-06,424.8369755807276
2020-03-09,425.61237231653587
2020-03-10,430.0574881859943
2020-03-11,426.8347712525023
2020-03-12,438.59584898604885
2020-03-13,438.8870000061993
2020-03-16,441.044846423113
2020-03-17,440.329341668201
2020-03-18,447.5404211866386
2020-03-19,444.5348503756573
2020-03-20,453.66170659469367
2020-03-23,449.81518085839843
2020-03-24,451.5773853245147
2020-03-25,440.6640661151765
2020-03-26,451.58196934256137
2020-03-27,449.5943828410892
2020-03-30,457.62283519439313
2020-03-31,456.81274474631266
2020-04-01,448.4788843636074
2020-04-02,442.6501895946995
2020-04-03,430.9986995296263
2020-04-06,434.9954657640623
2020-04-07,434.73997675417627
2020-04-08,442.01835544755454
2020-04-09,447.4838711699037
2020-04-10,443.78466999802436
2020-04-13,433.4537234730919
2020-04-14,427.08623045037723
2020-04-15,418.52933140807914
2020-04-16,403.9139483368649
2020-04-17,405.0852482334024
2020-04-20,393.49373977322307
2020-04-21,401.99505320616595
2020-04-22,397.13265383775104
2020-04-23,396.08333320676707
2020-04-24,395.56878336068485
2020-04-27,386.4915406854647
2020-04-28,388.85223302557563
2020-04-29,395.66698274301746
2020-04-30,399.7615342469053
2020-05-01,404.00889102470654
2020-05-04,397.6515085395798
2020-05-05,398.0002918830213
2020-05-06,410.33018825695154
2020-05-07,399.83915998393655
2020-05-08,399.80509742841235
2020-05-11,390.7449514503761
2020-05-12,397.06924226804597
2020-05-13,390.8663538565749
2020-05-14,396.3744135206112
2020-05-15,386.6984754224117
2020-05-18,380.90156113610976
2020-05-19,376.81274530002077
2020-05-20,372.09151514067804
2020-05-21,369.3879684005051
2020-05-22,368.86409170028185
2020-05-25,358.0476959924925
2020-05-26,357.68896433392086
2020-05-27,368.0651430458814
2020-05-28,372.7684349939946
2020-05-29,359.18881683408074
2020-06-01,364.99572476089276
2020-06-02,359.26405572464074
2020-06-03,355.96300162928543
2020-06-04,357.36519562395654
2020-06-05,345.41203199128046
2020-06-08,341.8842886530688
2020-06-09,340.83014287003914
2020-06-10,338.641298907628
2020-06-11,336.4252300110528
2020-06-12,344.6532957251216
2020-06-15,336.0042351277714
2020-06-16,326.10757730932283
2020-06-17,327.4024886992966
2020-06-18,329.59477001005735
2020-06-19,334.0711018777453
2020-06-22,336.6043548531136
2020-06-23,335.09580901192095
2020-06-24,327.94705086990336
2020-06-25,330.2433261922961
2020-06-26,322.15844670169906
2020-06-29,327.3719804477679
2020-06-30,329.4153488236639
2020-07-01,333.01988859792846
2020-07-02,331.3072558557975
2020-07-03,339.0959722464745
2020-07-06,330.32278409843747
2020-07-07,331.6935105265915
2020-07-08,331.85735709854913
2020-07-09,340.3798884051011
2020-07-10,342.23709515947263
2020-07-13,349.82576463720824
2020-07-14,351.31112069269057
2020-07-15,354.8204884569543
2020-07-16,346.8167053161887
2020-07-17,341.79454577225073
2020-07-20,336.64547376642855
2020-07-21,340.00658864496927
2020-07-22,340.6020697887613
2020-07-23,341.0896359845522
2020-07-24,342.13641653136625
2020-07-27,345.3783854187712
2020-07-28,338.78111762463755
2020-07-29,332.4133057015164
2020-07-30,324.13963558883694
2020-07-31,331.8975727881966
2020-08-03,346.0482930399267
2020-08-04,345.804765753419
2020-08-05,340.42415180692325
2020-08-06,333.33322634269
2020-08-07,337.42700473719253
2020-08-10,345.28303229534174
2020-08-11,351.3675895712118
2020-08-12,337.80494693647324
2020-08-13,338.0736223597317
2020-08-14,339.79493173568784
2020-08-17,344.844474658761
2020-08-18,358.7659182230391
2020-08-19,363.08477611346166
2020-08-20,363.03586652649983
2020-08-21,358.51012412287486
2020-08-24,367.91036443886304
2020-08-25,361.25227275010764
2020-08-26,363.96019612107597
2020-08-27,355.66111992935794
2020-08-28,350.390397212699
2020-08-31,346.75053138531695
2020-09-01,348.2602116292961
2020-09-02,348.7829515539442
2020-09-03,346.3494676857928
2020-09-04,345.419758006166
2020-09-07,353.66807506849597
2020-09-08,344.5599700258703
2020-09-09,336.787993977434
2020-09-10,345.1597254112544
2020-09-11,345.8406934504312
2020-09-14,346.16765269699346
2020-09-15,338.41589673927297
