Date,CI
2020-01-01,92.7805873436618
2020-01-02,92.50529643402528
2020-01-03,93.36456007180676
2020-01-06,96.88231610998388
2020-01-07,96.64473677246971
2020-01-08,97.2657485414719
2020-01-09,96.09255445497845
2020-01-10,95.46672988052909
2020-01-13,95.50005681861808
2020-01-14,95.65109140876258
2020-01-15,100.36579225342231
2020-01-16,98.82392362187076
2020-01-17,98.45000863009767
2020-01-20,99.05495374214944
2020-01-21,97.31957897754322
2020-01-22,99.47531502892873
2020-01-23,98.94235704548177
2020-01-24,95.38544899875453
2020-01-27,95.24630313151386
2020-01-28,93.27060759066129
2020-01-29,94.51313597181723
2020-01-30,94.52455451083395
2020-01-31,100.79733829864429
2020-02-03,106.70337092830664
2020-02-04,107.7377653137852
2020-02-05,108.85016740044347
2020-02-06,112.19785992930997
2020-02-07,116.1100103095869
2020-02-10,116.3353731162244
2020-02-11,111.47838699837136
2020-02-12,111.51373011520903
2020-02-13,109.78964441914724
2020-02-14,106.17028747729864
2020-02-17,102.69535751874031
2020-02-18,104.37829461055134
2020-02-19,105.43112039098807
2020-02-20,107.29228375369162
2020-02-21,107.93382344957983
2020-02-24,111.13584962655337
2020-02-25,112.64059083424178
2020-02-26,111.67611585147903
2020-02-27,112.20771003255234
2020-02-28,105.87169963511661
2020-03-02,109.08893203202007
2020-03-03,112.32820933028722
2020-03-04,112.46341730965618
2020-03-05,112.55965837718705
2020-03-06,111.80566423659896
2020-03-09,110.3867319047439
2020-03-10,110.0575598529323
2020-03-11,112.3274618760234
2020-03-12,112.47619380116933
2020-03-13,110.03855283733637
2020-03-16,111.6124893678441
2020-03-17,110.10496304465154
2020-03-18,117.2723343524459
2020-03-19,116.21315626672677
2020-03-20,114.7418364359236
2020-03-23,115.15677821938426
2020-03-24,115.02517795303253
2020-03-25,114.29869307156866
2020-03-26,114.54913007938801
2020-03-27,113.29387342793999
2020-03-30,112.11916245172797
2020-03-31,110.48637005968479
2020-04-01,109.53449444606338
2020-04-02,112.75948732561386
2020-04-03,116.40371921693185
2020-04-06,114.8497467624726
2020-04-07,115.00204706753695
2020-04-08,121.30706243648615
2020-04-09,121.90373561843322
2020-04-10,115.54570633962355
2020-04-13,116.08742480793586
2020-04-14,117.52277158776245
2020-04-15,115.09966030412785
2020-04-16,114.98031174024078
2020-04-17,114.93498493358919
2020-04-20,115.30046832628891
