Date,MDLZ
2020-01-01,344.55782864073734
2020-01-02,337.7572757542689
2020-01-03,331.6999955877736
2020-01-06,326.47334441990574
2020-01-07,324.97838898064236
2020-01-08,323.84240186521595
2020-01-09,327.83594123347365
2020-01-10,331.19651808328683
2020-01-13,336.85916835348166
2020-01-14,330.7206168024552
2020-01-15,335.1349111141656
2020-01-16,329.1070769341322
2020-01-17,339.1367971121177
2020-01-20,335.31758313261025
2020-01-21,338.09421568013425
2020-01-22,336.21193138520323
2020-01-23,347.75709236656286
2020-01-24,350.5552647248254
2020-01-27,348.5227376384306
2020-01-28,361.2676541398961
2020-01-29,365.7166931435442
2020-01-30,372.14157574661493
2020-01-31,376.2227804086705
2020-02-03,377.07322984691876
2020-02-04,387.02674702265983
2020-02-05,387.28431926978254
2020-02-06,391.83312872150526
2020-02-07,407.79237103065054
2020-02-10,407.26237911633075
2020-02-11,405.4165100529937
2020-02-12,406.2876765766318
2020-02-13,405.08102455689635
2020-02-14,414.000074702381
2020-02-17,415.45536814828824
2020-02-18,415.2701389883681
2020-02-19,424.1219095098392
2020-02-20,413.05617999773506
2020-02-21,428.23693217542166
2020-02-24,422.7964681690975
2020-02-25,425.2531905491125
2020-02-26,431.9551458155007
2020-02-27,426.6272413454587
2020-02-28,423.61600320107925
2020-03-02,425.8619947274015
2020-03-03,418.12308358835924
2020-03-04,411.08924324204816
2020-03-05,422.14155441415187
2020-03-06,421.2247942858519
2020-03-09,427.36673802690865
2020-03-10,444.03235851144626
2020-03-11,436.96021636255796
2020-03-12,442.21709026386026
2020-03-13,446.63935949663477
2020-03-16,447.56972771758666
2020-03-17,447.1448857972131
2020-03-18,458.05038500843284
2020-03-19,454.30441438686023
2020-03-20,451.3980965666503
2020-03-23,452.8182248681929
2020-03-24,452.19730558317
2020-03-25,457.06017970246114
2020-03-26,459.8191775644327
2020-03-27,464.7099585009759
2020-03-30,470.66261088506633
2020-03-31,479.09481792761983
2020-04-01,477.74677677885666
2020-04-02,479.0644977535883
2020-04-03,486.70718764261227
2020-04-06,486.3661640777359
2020-04-07,484.8650785931357
2020-04-08,491.0134045851783
2020-04-09,499.4901038798891
2020-04-10,499.2909231162981
2020-04-13,497.1986784262769
2020-04-14,504.11847948105054
2020-04-15,516.8197884092854
2020-04-16,521.4054077610278
2020-04-17,502.98833819939534
2020-04-20,505.96656717200756
2020-04-21,495.16152232808
2020-04-22,487.2255609462102
2020-04-23,489.5372157371105
2020-04-24,477.1392390839045
2020-04-27,475.09580790803955
2020-04-28,470.24966970499133
2020-04-29,472.8554472660295
2020-04-30,472.1095172700476
2020-05-01,470.13928333940623
2020-05-04,492.30836215258705
2020-05-05,499.3460226093878
2020-05-06,493.44394938953997
2020-05-07,492.1609386018753
2020-05-08,496.3136301160048
2020-05-11,506.92027622296905
