Date,GE
2020-01-01,386.47973084980987
2020-01-02,392.1939204558237
2020-01-03,388.7746205124219
2020-01-06,387.3523628270542
2020-01-07,388.12728344005524
2020-01-08,396.09531422350074
2020-01-09,402.05374479644485
2020-01-10,400.0352648549778
2020-01-13,406.5720909959749
2020-01-14,402.6709474732385
2020-01-15,400.007506008812
2020-01-16,403.0874175319187
2020-01-17,405.856332726539
2020-01-20,411.1257418543723
2020-01-21,413.3422179102894
2020-01-22,409.6101948901887
2020-01-23,409.3116203421743
2020-01-24,412.964108695522
2020-01-27,415.604284383644
2020-01-28,413.63229136192444
2020-01-29,418.0984737783779
2020-01-30,425.0529273272367
2020-01-31,421.3866072577295
2020-02-03,422.3695041287611
2020-02-04,429.10130240567497
2020-02-05,437.8390391724972
2020-02-06,438.2390953941506
2020-02-07,433.2657233966656
2020-02-10,437.3518664748877
2020-02-11,440.2580689807844
2020-02-12,444.03952809761637
2020-02-13,454.1535761400188
2020-02-14,455.80022314455914
2020-02-17,449.9154500674658
2020-02-18,450.6561536025257
2020-02-19,455.2904931233902
2020-02-20,450.70302412583777
2020-02-21,452.1643604219857
2020-02-24,453.78967695196496
2020-02-25,450.38578897383576
2020-02-26,458.9882501075923
2020-02-27,464.0078458686014
2020-02-28,461.85538794259577
2020-03-02,442.72586643430486
2020-03-03,432.8656066998346
2020-03-04,432.2142815851506
2020-03-05,431.06600414241814
2020-03-06,426.6251775996374
2020-03-09,436.3498575883548
2020-03-10,435.04716353082455
2020-03-11,434.3267986792816
2020-03-12,434.8577489701196
2020-03-13,439.90087542582
2020-03-16,427.0377990897058
2020-03-17,436.1646920587051
2020-03-18,428.9694146175928
2020-03-19,424.546131280776
2020-03-20,425.1703984208917
2020-03-23,422.95822482251197
2020-03-24,425.81427689361993
2020-03-25,419.4417432454077
2020-03-26,422.76550780729815
2020-03-27,423.6398293830819
2020-03-30,411.7513035719445
2020-03-31,408.0057449875201
2020-04-01,417.5160333881994
2020-04-02,405.3385756326207
2020-04-03,404.01916183791974
2020-04-06,407.5745792480477
2020-04-07,406.82394447851823
2020-04-08,409.38016333059556
2020-04-09,411.3402582131218
2020-04-10,411.58314958627625
2020-04-13,409.3211491556793
2020-04-14,401.0243919317426
2020-04-15,398.49774362735496
2020-04-16,399.03909870741455
2020-04-17,402.5228632605302
2020-04-20,405.9109651474225
2020-04-21,409.6678534004667
2020-04-22,413.8802866118829
2020-04-23,409.0054187562713
2020-04-24,414.6393857262426
2020-04-27,412.25980253391066
2020-04-28,417.2878060385956
2020-04-29,421.4249211423314
2020-04-30,425.0342004060368
2020-05-01,417.3491933889592
2020-05-04,414.2869796439984
2020-05-05,413.9091182603734
2020-05-06,407.5969550405332
2020-05-07,408.17844010025266
2020-05-08,406.1927851164813
2020-05-11,405.6245403318197
2020-05-12,406.81279009209607
2020-05-13,408.8588514732288
2020-05-14,404.33608884065154
2020-05-15,404.64556367975797
2020-05-18,409.3859615102061
2020-05-19,417.3225985457674
2020-05-20,410.25344604457894
2020-05-21,413.5778483616109
2020-05-22,414.9327315790749
2020-05-25,410.60961844611234
2020-05-26,408.7415116600816
2020-05-27,415.0680891664186
2020-05-28,410.54894076025073
2020-05-29,412.51580078427753
2020-06-01,414.6558950866195
2020-06-02,413.44624997362337
2020-06-03,417.1273664813128
2020-06-04,418.6855021194429
2020-06-05,425.54684718736775
2020-06-08,425.8558474061254
2020-06-09,427.3527461133511
2020-06-10,436.359558291312
2020-06-11,425.0266543932627
2020-06-12,422.89054512706866
2020-06-15,424.8198576340205
2020-06-16,424.2828348605609
2020-06-17,435.3911120600541
2020-06-18,439.2731533348936
