Date,GS
2020-01-01,402.68189927028794
2020-01-02,394.6258668141269
2020-01-03,390.84348151426985
2020-01-06,400.82142045302413
2020-01-07,399.35589346460694
2020-01-08,389.90059199754893
2020-01-09,385.52595573409116
2020-01-10,382.2289106615645
2020-01-13,390.29097259080424
2020-01-14,385.93750285225735
2020-01-15,380.837654970073
2020-01-16,387.94294197780073
2020-01-17,384.9621448319094
2020-01-20,383.8321550443935
2020-01-21,385.3073635581531
2020-01-22,377.1467722635765
2020-01-23,364.11045835697485
2020-01-24,359.24618673242475
2020-01-27,354.3515972746373
2020-01-28,351.1555362507353
2020-01-29,338.0106581950663
2020-01-30,336.5191094802305
2020-01-31,335.7260463259194
2020-02-03,338.05624473768347
2020-02-04,337.5980057772917
2020-02-05,340.6374067568414
2020-02-06,330.6842571311303
2020-02-07,329.9431162560718
2020-02-10,334.3183191288582
2020-02-11,333.0668618006689
2020-02-12,333.51181609997894
2020-02-13,333.67260613813795
2020-02-14,337.61204243943445
2020-02-17,336.387252099084
2020-02-18,344.16590230322026
2020-02-19,352.7623608349261
2020-02-20,348.6343305725303
2020-02-21,344.1018327720266
2020-02-24,347.6816762056984
2020-02-25,361.700486688364
2020-02-26,364.7396967778545
2020-02-27,375.64438009795714
2020-02-28,384.8765754753862
2020-03-02,383.6010454138731
2020-03-03,384.9182783557317
2020-03-04,389.2897299179472
2020-03-05,391.7277308340645
2020-03-06,392.17684933653914
2020-03-09,386.5333260974924
2020-03-10,387.54573266929725
2020-03-11,373.890998587072
2020-03-12,367.0038962591481
2020-03-13,368.4261377817393
2020-03-16,356.6491659804849
2020-03-17,354.45942696738524
2020-03-18,367.59572539209915
2020-03-19,378.7873742350428
2020-03-20,363.5899291830915
2020-03-23,365.11350691926054
2020-03-24,360.896428584126
2020-03-25,361.4108143995028
2020-03-26,360.76302126402464
2020-03-27,367.1767028551228
2020-03-30,360.30614023806993
2020-03-31,354.81253247840334
2020-04-01,352.7172953105617
2020-04-02,360.8312608370568
2020-04-03,360.89759727138045
2020-04-06,370.11334461797907
2020-04-07,364.3936978224181
2020-04-08,366.46579423872913
2020-04-09,365.6631954085259
2020-04-10,376.9473140752692
2020-04-13,367.0398024075019
2020-04-14,360.5458668015237
2020-04-15,369.2848321968811
2020-04-16,358.88561223125765
2020-04-17,357.8164213285861
2020-04-20,361.01202934173654
2020-04-21,357.21978728954974
2020-04-22,360.29292972035194
2020-04-23,358.1900032918596
2020-04-24,360.15802770813497
2020-04-27,356.00032354958836
2020-04-28,368.9822282404155
2020-04-29,355.01642673910817
2020-04-30,343.26826107253606
2020-05-01,343.1198310909917
2020-05-04,344.4649158112886
2020-05-05,334.9711391920086
2020-05-06,332.55197765532614
2020-05-07,341.70825935742624
2020-05-08,350.3750043279043
2020-05-11,354.56360356233586
2020-05-12,359.7637098081616
2020-05-13,353.73321869368755
2020-05-14,345.8358415546478
2020-05-15,353.4778703389627
2020-05-18,354.0775267463115
2020-05-19,354.6467995103701
2020-05-20,359.6729263137324
2020-05-21,355.9389433286119
2020-05-22,365.85216710606693
2020-05-25,365.17206715202417
2020-05-26,375.1175481125401
2020-05-27,371.435365680326
2020-05-28,367.7060960357072
2020-05-29,354.23363206065676
2020-06-01,355.7496842629505
2020-06-02,343.75150137041936
2020-06-03,345.629445909057
2020-06-04,339.82860063433986
2020-06-05,333.39568621178097
2020-06-08,338.70504881147554
2020-06-09,341.58164316723276
2020-06-10,352.2004597891364
2020-06-11,357.38472288323806
2020-06-12,362.5522373743497
2020-06-15,370.9619436179718
2020-06-16,377.7716797884627
2020-06-17,367.42840147927893
2020-06-18,381.49073871143344
2020-06-19,392.75119384637475
2020-06-22,403.17879505309946
2020-06-23,399.8497345192939
2020-06-24,409.4470746005013
2020-06-25,411.99675041237725
2020-06-26,407.6561667078146
2020-06-29,402.7506129024864
2020-06-30,404.32361317744903
2020-07-01,390.16170778752786
2020-07-02,389.6213604264811
2020-07-03,408.3540967195542
2020-07-06,399.6636986874907
2020-07-07,397.3637937428995
2020-07-08,397.04998588176807
2020-07-09,399.5716292000352
2020-07-10,400.3682935372992
2020-07-13,404.8238914478932
2020-07-14,392.0642002204062
2020-07-15,403.0928570843691
2020-07-16,405.48326518091176
2020-07-17,399.90053557518365
2020-07-20,413.13699477570503
2020-07-21,406.63545944250495
2020-07-22,414.627574993392
2020-07-23,425.36824689549974
2020-07-24,423.4144250650739
2020-07-27,421.23538457623624
2020-07-28,412.851523884445
2020-07-29,420.47142966241984
2020-07-30,430.7492436754387
2020-07-31,435.28344124398313
2020-08-03,451.9791723121465
2020-08-04,465.12293936856463
2020-08-05,477.2030274128694
2020-08-06,488.10279174703965
2020-08-07,479.90268669823985
2020-08-10,480.79413706403614
2020-08-11,484.89475026732896
2020-08-12,469.0873210487323
2020-08-13,481.28409224529196
2020-08-14,485.73696429343994
