Date,SLB
2020-01-01,146.2166285036114
2020-01-02,143.71272414901287
2020-01-03,145.56516308109852
2020-01-06,142.04734847236952
2020-01-07,142.13857110055173
2020-01-08,143.07212981717558
2020-01-09,140.37581635475183
2020-01-10,138.54062520474463
2020-01-13,140.65642553672964
2020-01-14,139.23254581203588
2020-01-15,139.49247519203146
2020-01-16,143.58934585184497
2020-01-17,140.80847628927182
2020-01-20,140.2511015201203
2020-01-21,144.5538958347874
2020-01-22,141.58853616052298
2020-01-23,144.93152549668974
2020-01-24,148.57351229711793
2020-01-27,143.8979691646653
2020-01-28,143.87753053272039
2020-01-29,139.79629312137445
2020-01-30,142.39368339791218
2020-01-31,139.87992790129127
2020-02-03,136.68383744195066
2020-02-04,138.00419377634066
2020-02-05,137.70158531504657
2020-02-06,135.93942060812947
2020-02-07,133.51842401022066
2020-02-10,133.5280369251284
2020-02-11,134.09752751969467
2020-02-12,133.4793719636587
2020-02-13,131.46426917811826
2020-02-14,130.5940066227868
2020-02-17,130.13924168797905
2020-02-18,128.04530903836445
2020-02-19,124.7275696137393
2020-02-20,128.4996407446551
2020-02-21,127.67641833964811
2020-02-24,128.0709302578716
2020-02-25,130.55971232205238
2020-02-26,127.70434345609273
2020-02-27,130.84777801105295
2020-02-28,129.35694181950606
2020-03-02,129.96006674266403
2020-03-03,131.78571844906986
2020-03-04,129.50973780386096
2020-03-05,130.87854388531946
2020-03-06,130.666615708535
2020-03-09,128.07754605275164
2020-03-10,128.6291261844367
2020-03-11,128.5680047819155
2020-03-12,130.06599829161092
2020-03-13,130.98761059467543
2020-03-16,133.11603103611557
2020-03-17,131.95901532763327
2020-03-18,132.20679202492977
2020-03-19,132.86837136974125
2020-03-20,131.47848553114324
2020-03-23,130.1407728168835
2020-03-24,129.35892123385852
2020-03-25,127.50170899440967
2020-03-26,128.60662237338815
2020-03-27,129.2843508611675
2020-03-30,130.71212201814168
2020-03-31,124.99179193943027
2020-04-01,123.9013653358884
2020-04-02,124.10526968572752
2020-04-03,125.35404627984384
2020-04-06,126.42070039824002
2020-04-07,128.7697194970531
2020-04-08,128.96561136012997
2020-04-09,129.33985668422625
2020-04-10,126.41160963633745
2020-04-13,125.64897267578503
2020-04-14,124.42357468323259
2020-04-15,126.05665662836495
2020-04-16,126.16112212417688
2020-04-17,128.81313651391943
2020-04-20,127.63579778036647
2020-04-21,129.61160465332824
2020-04-22,128.02067667451018
2020-04-23,129.2402562973217
2020-04-24,124.47544432659554
2020-04-27,122.79660881491111
2020-04-28,123.94275222669022
2020-04-29,121.53357917976032
2020-04-30,122.52717962263465
2020-05-01,125.17012204411866
2020-05-04,124.85220503313754
2020-05-05,124.23142903613275
2020-05-06,124.9212028008178
2020-05-07,124.42472094421161
2020-05-08,124.0879170157178
2020-05-11,123.9437978248754
2020-05-12,124.6631291388752
2020-05-13,126.35014418486475
