Date,TSM
2020-01-01,83.41664777667165
2020-01-02,83.51656090910407
2020-01-03,81.97121226653233
2020-01-06,79.45503256669362
2020-01-07,79.74467111827728
2020-01-08,79.16072025213847
2020-01-09,80.57905338049957
2020-01-10,80.26833519814952
2020-01-13,77.99300978221828
2020-01-14,75.74139837856883
2020-01-15,74.81587413240284
2020-01-16,72.30234341343899
2020-01-17,73.38970546954143
2020-01-20,74.83045576170275
2020-01-21,75.68546398473887
2020-01-22,74.74957971845747
2020-01-23,77.30603553500109
2020-01-24,78.79461470756922
2020-01-27,80.70758786709814
2020-01-28,80.93746524182122
2020-01-29,81.1997212800478
2020-01-30,82.81323187804456
2020-01-31,81.52820987636792
2020-02-03,82.1279580945381
2020-02-04,81.22829813425561
2020-02-05,82.65893399491101
2020-02-06,86.16553693863374
2020-02-07,87.62206683102961
2020-02-10,87.23841410597937
2020-02-11,86.32390767241122
2020-02-12,86.72385697649013
2020-02-13,87.52129962985157
2020-02-14,88.93977174039705
2020-02-17,87.59861240137394
2020-02-18,86.38194332632627
2020-02-19,89.41187729725551
2020-02-20,91.72750422239358
2020-02-21,88.57553715491571
2020-02-24,90.51642022369944
2020-02-25,89.49928336630994
2020-02-26,88.63339387282454
2020-02-27,88.0035802112741
2020-02-28,88.03161475642625
2020-03-02,85.40024712319699
2020-03-03,84.306300205669
2020-03-04,83.59994844912733
2020-03-05,82.00451849395341
2020-03-06,83.05180630381324
2020-03-09,80.40656907127973
2020-03-10,80.09119772783166
2020-03-11,80.81141756224311
2020-03-12,80.59413755935962
2020-03-13,80.57646344811693
2020-03-16,81.4430388251757
2020-03-17,82.88609142204156
2020-03-18,87.32694441009596
2020-03-19,87.74895199218678
2020-03-20,86.99284534264956
2020-03-23,86.68890643617499
2020-03-24,86.77014637501377
2020-03-25,88.10360507310898
2020-03-26,84.60184626481963
2020-03-27,84.44418839512655
2020-03-30,84.62000691145465
2020-03-31,82.6290480130739
2020-04-01,83.26923607148503
2020-04-02,83.24357713326893
2020-04-03,82.97113043870526
2020-04-06,80.13291079186087
2020-04-07,80.48749794143407
2020-04-08,79.21789938077525
2020-04-09,76.22236050741223
2020-04-10,80.76680922882906
2020-04-13,83.13509445030635
2020-04-14,83.51105996048692
2020-04-15,85.83524482910323
2020-04-16,90.19234330094191
2020-04-17,88.45872795014353
2020-04-20,89.70364421922999
2020-04-21,91.8825954346798
2020-04-22,96.02164527661597
2020-04-23,93.37034879900901
2020-04-24,93.69470641234489
2020-04-27,92.08828683137449
2020-04-28,94.09992075626434
2020-04-29,91.97717858821282
2020-04-30,92.70028218037594
2020-05-01,95.41251795890867
2020-05-04,94.94160978538682
2020-05-05,94.69957624237918
2020-05-06,92.2515003630015
2020-05-07,93.23831992651971
2020-05-08,89.47696718281031
2020-05-11,91.5126271694551
2020-05-12,90.20163939677411
2020-05-13,90.29201762081514
2020-05-14,89.1545127358766
2020-05-15,92.70287800138716
2020-05-18,89.5413911291751
2020-05-19,87.63884522559543
2020-05-20,84.8316074661512
2020-05-21,83.91726170153353
2020-05-22,83.42142878306188
2020-05-25,84.39252658918792
2020-05-26,82.83311207275706
2020-05-27,82.08007504153939
2020-05-28,84.85658679244352
2020-05-29,84.75061920801846
2020-06-01,83.72695619975214
2020-06-02,82.14398715506397
2020-06-03,81.87200693492366
2020-06-04,78.52194583760961
2020-06-05,81.62549849532087
2020-06-08,82.87440107619292
2020-06-09,78.85585874563066
2020-06-10,79.44025928979468
2020-06-11,78.6432900314762
2020-06-12,80.08548043679622
2020-06-15,80.71233589585401
2020-06-16,82.83029092800396
2020-06-17,82.06065554586566
2020-06-18,83.58100332786724
2020-06-19,84.6645042950183
2020-06-22,81.98631710505587
2020-06-23,81.33267916300731
2020-06-24,82.39109876014886
2020-06-25,80.25826384868411
2020-06-26,74.9024517894908
2020-06-29,76.78798490216877
2020-06-30,76.30762079157452
2020-07-01,76.45011183351055
2020-07-02,76.51938981285709
2020-07-03,77.33760773573846
2020-07-06,79.29863074435598
2020-07-07,81.18643466198785
2020-07-08,78.8616924182442
2020-07-09,78.17641105980552
2020-07-10,78.12096847082954
2020-07-13,79.15450383668752
2020-07-14,79.01702483814026
2020-07-15,80.0057154799081
2020-07-16,81.69429002321114
2020-07-17,81.0036280030358
2020-07-20,79.79364806543525
2020-07-21,80.1697543790021
2020-07-22,80.66517264845594
2020-07-23,80.76522107695477
2020-07-24,80.83441046215349
2020-07-27,81.81564787507766
2020-07-28,82.91333119025232
2020-07-29,81.53413430321265
2020-07-30,82.64975544063559
2020-07-31,81.5630751107438
2020-08-03,82.08267620949833
2020-08-04,84.39602141373061
2020-08-05,84.98362261590242
2020-08-06,84.97248332915699
2020-08-07,86.66180530474323
2020-08-10,86.44339240129143
2020-08-11,86.411316894408
2020-08-12,86.87760206213456
2020-08-13,86.45870672013572
2020-08-14,87.264893834007
2020-08-17,86.55130948682725
