Date,HSY
2020-01-01,318.484332569135
2020-01-02,331.00364091011477
2020-01-03,326.521993759422
2020-01-06,329.4763157278992
2020-01-07,331.0045787064745
2020-01-08,317.99120697612415
2020-01-09,325.08904768985315
2020-01-10,328.3577313764392
2020-01-13,319.3592812534219
2020-01-14,309.4355416098556
2020-01-15,325.72842278039195
2020-01-16,324.34309485504264
2020-01-17,320.6178374535888
2020-01-20,307.0436784276331
2020-01-21,312.7782559103822
2020-01-22,306.1280203741823
2020-01-23,306.5981070904148
2020-01-24,301.7142358887888
2020-01-27,300.72661333088337
2020-01-28,303.1995170047453
2020-01-29,305.3024332922483
2020-01-30,304.8538915234684
2020-01-31,312.12608663223807
2020-02-03,314.002099528319
2020-02-04,321.1398796152232
2020-02-05,319.57402572572954
2020-02-06,329.7476547328317
2020-02-07,323.65333349351204
2020-02-10,332.51094872619285
2020-02-11,330.23956633887104
2020-02-12,320.3547317727847
2020-02-13,313.5953839614614
2020-02-14,303.71190678922227
2020-02-17,307.63567100451553
2020-02-18,322.8715474379757
2020-02-19,322.5436193612124
2020-02-20,316.641830293329
2020-02-21,313.4887163723938
2020-02-24,319.97837342797067
2020-02-25,332.7731096528859
2020-02-26,338.1824234563482
2020-02-27,338.70019734348415
2020-02-28,343.8965320126021
2020-03-02,333.7215772660133
2020-03-03,329.7271398961659
2020-03-04,342.11907829712504
2020-03-05,341.50509449348533
2020-03-06,352.29160797932286
2020-03-09,350.00650788279336
2020-03-10,345.7336723809531
2020-03-11,342.90524582592803
2020-03-12,355.240492608569
2020-03-13,356.75351447947185
2020-03-16,353.17030463222164
2020-03-17,354.01374439835797
2020-03-18,360.2300652711388
2020-03-19,373.7153702069453
2020-03-20,379.05350693956495
2020-03-23,372.8357109883878
2020-03-24,367.19574633845014
2020-03-25,364.71370086287345
2020-03-26,356.7814132554878
2020-03-27,356.73511055443805
2020-03-30,340.68557020441705
2020-03-31,339.2739394431706
2020-04-01,336.2142020790668
2020-04-02,339.34600700034713
2020-04-03,337.4984174626206
2020-04-06,332.69621560784543
2020-04-07,329.112584737319
2020-04-08,318.35762420438965
2020-04-09,333.83116607608827
2020-04-10,325.2347524923226
2020-04-13,325.94175213692455
2020-04-14,320.9536209952877
2020-04-15,322.6305240110091
2020-04-16,320.81487237610804
2020-04-17,331.07952237741387
2020-04-20,330.07785032700184
2020-04-21,346.6781414865991
2020-04-22,342.55766135222086
2020-04-23,347.1548615252182
2020-04-24,347.3657932300293
2020-04-27,350.98614836666985
2020-04-28,361.67316631957823
2020-04-29,349.69565067057556
2020-04-30,357.3481650883665
2020-05-01,366.59826150433753
2020-05-04,370.87863196075006
2020-05-05,365.48192240351904
2020-05-06,366.04120903426343
2020-05-07,366.6677494321539
2020-05-08,370.3258595321421
2020-05-11,376.07513949616714
2020-05-12,380.68474828701255
2020-05-13,364.98174545557265
2020-05-14,374.2419515791022
2020-05-15,374.710280588741
2020-05-18,386.9597208553697
2020-05-19,408.7603118215638
2020-05-20,414.1821164653924
2020-05-21,423.4970735613113
2020-05-22,427.78569564256304
2020-05-25,436.05487379013385
2020-05-26,458.4868918662899
2020-05-27,464.2733679346842
2020-05-28,463.4691505461206
