Date,ULTA
2020-01-01,445.02056637519587
2020-01-02,442.76728891080705
2020-01-03,463.1060690110835
2020-01-06,448.44879154834166
2020-01-07,440.4559244560815
2020-01-08,448.3256980050056
2020-01-09,467.43241817955203
2020-01-10,454.9410755925863
2020-01-13,444.5095079390962
2020-01-14,440.0454034503278
2020-01-15,430.60594970678926
2020-01-16,445.00427383332834
2020-01-17,436.59315175854175
2020-01-20,436.6646113753529
2020-01-21,450.108306637991
2020-01-22,429.64776937687515
2020-01-23,426.49846370557395
2020-01-24,432.9730317461187
2020-01-27,434.60816987813905
2020-01-28,431.1102751301986
2020-01-29,429.40386565153403
2020-01-30,441.4243673650606
2020-01-31,440.46098137140405
2020-02-03,453.43891057653804
2020-02-04,446.3112025492639
2020-02-05,441.00844600240816
2020-02-06,449.18028544605846
2020-02-07,459.13557150175404
2020-02-10,444.2271623457433
2020-02-11,446.5796401788658
2020-02-12,459.1328747494901
2020-02-13,467.8610446140661
2020-02-14,470.6255932446182
2020-02-17,487.2629763868435
2020-02-18,478.7636188250993
2020-02-19,485.04660935805026
2020-02-20,499.9543706328834
2020-02-21,515.8488482654157
2020-02-24,529.1814338628407
2020-02-25,529.1825157116904
2020-02-26,524.7427055000885
2020-02-27,509.8072746169579
2020-02-28,501.7622732779432
2020-03-02,485.79812414269924
2020-03-03,493.0877591826769
2020-03-04,509.79422630748394
2020-03-05,511.2435151200944
2020-03-06,511.27380221903803
2020-03-09,529.8158168965019
2020-03-10,534.2626929857439
2020-03-11,524.3937100449773
2020-03-12,532.3389369315213
2020-03-13,521.7344711135472
2020-03-16,521.5006653761432
2020-03-17,525.0518292351983
2020-03-18,535.8533188530214
2020-03-19,548.5895597378462
2020-03-20,549.8595038893428
2020-03-23,551.0547821974651
2020-03-24,544.2704864206723
2020-03-25,546.8583034672238
2020-03-26,558.7969655390996
2020-03-27,567.5801909115039
2020-03-30,554.8293253432233
2020-03-31,552.1777407174344
2020-04-01,553.9393091504521
2020-04-02,544.4290879165886
2020-04-03,551.3682579664046
2020-04-06,542.7361161202836
2020-04-07,530.317511992356
2020-04-08,524.1533045000001
2020-04-09,523.0337489424533
2020-04-10,527.830288048818
2020-04-13,520.3657067271184
2020-04-14,527.5126396883524
2020-04-15,525.6114808112625
2020-04-16,522.1149396858183
2020-04-17,511.33374378335026
2020-04-20,522.0265901305148
2020-04-21,504.78606640448623
2020-04-22,507.44204498675396
2020-04-23,500.88065506205794
2020-04-24,492.66459858491885
2020-04-27,496.2264391702835
2020-04-28,501.14524901462545
2020-04-29,507.5990803095825
2020-04-30,502.1547297278234
2020-05-01,504.2001952863288
2020-05-04,514.05594950781
2020-05-05,513.4333299739135
2020-05-06,515.182148430551
2020-05-07,507.8436674115208
2020-05-08,504.9419243150048
2020-05-11,491.3807211169626
2020-05-12,489.91952448593247
2020-05-13,488.2891602000833
2020-05-14,485.26014028970997
2020-05-15,483.20409730444777
2020-05-18,511.42687460105384
2020-05-19,523.2139402310921
2020-05-20,513.4998456187275
2020-05-21,513.8043610146912
2020-05-22,523.7207385545647
2020-05-25,528.7926727326455
2020-05-26,531.9951971455496
2020-05-27,510.89169638492996
2020-05-28,500.15132025398464
2020-05-29,510.14750742895785
2020-06-01,502.8659744972288
2020-06-02,499.407704273266
2020-06-03,505.5752299471104
2020-06-04,502.5780232787073
2020-06-05,479.53239610807304
2020-06-08,482.87236438116196
2020-06-09,479.0916472058458
2020-06-10,479.74892226499367
2020-06-11,493.26631242187636
2020-06-12,492.95271970348324
2020-06-15,464.7529489885501
2020-06-16,458.0138948568446
2020-06-17,452.66908156264395
2020-06-18,454.5092092546293
2020-06-19,456.4818174615073
2020-06-22,459.86538125214804
2020-06-23,479.4372933271836
2020-06-24,474.969331545601
2020-06-25,489.5256566763997
2020-06-26,477.2275046016323
2020-06-29,468.02550833387465
2020-06-30,464.35724574844386
2020-07-01,470.8221746672799
2020-07-02,484.7476681528685
2020-07-03,492.46829603756703
2020-07-06,491.7892275365637
2020-07-07,502.7421324403147
2020-07-08,484.4435090331091
2020-07-09,476.6490372559123
2020-07-10,477.0780893720156
2020-07-13,471.61944548646846
2020-07-14,472.90780854239716
2020-07-15,467.17589441039155
2020-07-16,463.1619517515441
2020-07-17,459.1322946436652
2020-07-20,458.6917345948688
2020-07-21,452.04924529003523
2020-07-22,439.15370658475683
2020-07-23,457.20894821204564
2020-07-24,476.5683472469868
2020-07-27,474.2462694586778
2020-07-28,480.801448977031
2020-07-29,479.5486720882776
2020-07-30,477.22538667769226
2020-07-31,467.6845363331395
2020-08-03,471.09783550183806
2020-08-04,469.92013145988943
2020-08-05,468.5789174611846
2020-08-06,469.3402486365327
2020-08-07,473.42226920259253
2020-08-10,472.89634995418885
2020-08-11,466.76708549490536
2020-08-12,476.73403496941717
2020-08-13,471.5685458480982
2020-08-14,479.61253828642646
2020-08-17,464.3179039128715
2020-08-18,460.917458084508
2020-08-19,442.4440635299513
2020-08-20,441.348895596967
2020-08-21,442.4992003935666
2020-08-24,457.4377893958589
2020-08-25,434.5829253919201
2020-08-26,429.643660598151
2020-08-27,438.76901577177495
2020-08-28,439.0633157033217
2020-08-31,444.8475741459417
2020-09-01,445.33217930727676
2020-09-02,441.5907550969095
2020-09-03,431.84828060743695
2020-09-04,415.72192453786295
2020-09-07,422.27027481191664
2020-09-08,415.66756832364024
2020-09-09,419.4461585331107
2020-09-10,407.086265121585
2020-09-11,399.13436528034055
2020-09-14,404.3753892861137
2020-09-15,402.6217560687285
2020-09-16,399.2276942902784
2020-09-17,403.37165088172037
2020-09-18,400.52186987048435
2020-09-21,402.48387334556304
2020-09-22,397.1225764743844
2020-09-23,393.2720505837528
2020-09-24,375.36666760111666
2020-09-25,369.75534246034914
2020-09-28,384.50254612027715
2020-09-29,368.041004523492
2020-09-30,370.55378989150586
2020-10-01,359.1875006149198
2020-10-02,372.49199013132846
2020-10-05,360.92766297549724
2020-10-06,367.6159703718558
2020-10-07,374.70104551433155
2020-10-08,365.69151848864635
2020-10-09,359.41714835902803
2020-10-12,361.61324958307154
2020-10-13,352.9902932192993
2020-10-14,351.20234528780304
2020-10-15,350.97488469646703
2020-10-16,343.47610909166553
2020-10-19,336.9625403743321
2020-10-20,329.5527245574975
2020-10-21,333.52616102570016
2020-10-22,334.4516941673073
2020-10-23,328.2391354095673
2020-10-26,333.42838050505236
2020-10-27,339.50787110649543
