Date,FDX
2020-01-01,342.7186908211359
2020-01-02,347.7581583168406
2020-01-03,358.93250419804247
2020-01-06,356.27788468038
2020-01-07,360.9884022364065
2020-01-08,361.92369927009327
2020-01-09,362.1159099145198
2020-01-10,357.0107788079039
2020-01-13,347.9999610880642
2020-01-14,339.675882042435
2020-01-15,323.92846438031785
2020-01-16,338.40053811802636
2020-01-17,335.7289462490672
2020-01-20,337.5321611283238
2020-01-21,342.7920031050425
2020-01-22,342.9593554277876
2020-01-23,341.42140886728356
2020-01-24,356.43165181555173
2020-01-27,351.4106506164009
2020-01-28,364.52751890762096
2020-01-29,388.4006215543217
2020-01-30,402.22948751183577
2020-01-31,413.57165998940076
2020-02-03,412.2684053355909
2020-02-04,422.03889558216724
2020-02-05,437.3213065407009
2020-02-06,434.92544528366375
2020-02-07,429.7736252008472
2020-02-10,431.7111555761024
2020-02-11,438.6009507775747
2020-02-12,440.85623800349526
2020-02-13,444.014313928488
2020-02-14,453.78379013728784
2020-02-17,451.88281770607256
2020-02-18,455.57682663137655
2020-02-19,465.84360011193047
2020-02-20,456.13354006450317
2020-02-21,457.72701592972635
2020-02-24,456.0839252971504
2020-02-25,455.6029619511074
2020-02-26,444.0239474926722
2020-02-27,440.979504834324
2020-02-28,422.18093912056236
2020-03-02,412.0692636292173
2020-03-03,411.4903788314574
2020-03-04,413.73368550537054
2020-03-05,417.96950287799893
2020-03-06,404.7723980097574
2020-03-09,411.1876943571259
2020-03-10,424.68329420719465
2020-03-11,422.9381014418885
2020-03-12,419.64668699824495
2020-03-13,416.5683889132428
2020-03-16,422.5781548453964
2020-03-17,424.7424212453373
2020-03-18,432.0653631708595
2020-03-19,449.6240575678646
2020-03-20,450.40805164619013
2020-03-23,455.5565711376879
2020-03-24,463.111674827146
2020-03-25,476.2651586021543
2020-03-26,474.3219601253543
2020-03-27,478.50880072432795
2020-03-30,477.93298043178237
2020-03-31,496.84336920318407
2020-04-01,487.5618041097785
2020-04-02,498.3214730772579
2020-04-03,491.5534591808163
2020-04-06,484.6457946556805
2020-04-07,463.37278089567167
2020-04-08,460.9612260978787
2020-04-09,466.7125781187205
2020-04-10,462.83350048456845
2020-04-13,461.9868126730966
2020-04-14,462.8145327626893
2020-04-15,462.0228236287057
2020-04-16,457.32258025310057
2020-04-17,459.38629433990127
2020-04-20,470.5629575602381
2020-04-21,468.19101526325716
2020-04-22,465.52871297887185
2020-04-23,443.9348361524386
2020-04-24,448.4343692284272
2020-04-27,438.09898642688773
2020-04-28,436.71686806009393
2020-04-29,440.01014621764807
2020-04-30,437.98854494140494
2020-05-01,424.85019513686996
2020-05-04,426.3300598063944
