Date,AMGN
2020-01-01,495.6709118503419
2020-01-02,515.6692793896701
2020-01-03,523.1424806631026
2020-01-06,531.9124803010085
2020-01-07,540.6388213101594
2020-01-08,538.7313579849124
2020-01-09,526.6555689653268
2020-01-10,516.2805569592651
2020-01-13,504.5999835608732
2020-01-14,513.6986571960593
2020-01-15,504.89718393256186
2020-01-16,495.33946033620884
2020-01-17,493.29472052640557
2020-01-20,477.7778619928726
2020-01-21,516.6857111165936
2020-01-22,523.3250921498449
2020-01-23,533.0614585620638
2020-01-24,522.0000852237488
2020-01-27,505.965094682883
2020-01-28,494.66827979501284
2020-01-29,512.6183804556853
2020-01-30,508.93198560123534
2020-01-31,490.50791175009607
2020-02-03,490.3359527019314
2020-02-04,491.2008610650616
2020-02-05,476.46659959671393
2020-02-06,496.5183697415274
2020-02-07,503.9783182227091
2020-02-10,504.76901505332205
2020-02-11,518.1021869102937
2020-02-12,524.2325386758262
2020-02-13,528.2240395737638
2020-02-14,534.4704765914234
2020-02-17,528.9765521504089
2020-02-18,508.27016865802165
2020-02-19,473.80366996914813
2020-02-20,494.06339632807607
2020-02-21,474.68064553643745
2020-02-24,476.920822092717
2020-02-25,477.04547259698734
2020-02-26,450.06631264088895
2020-02-27,461.9850456415966
2020-02-28,451.1192619728353
2020-03-02,452.1297551970958
2020-03-03,455.3227765865185
2020-03-04,459.53989207378635
2020-03-05,467.1448200553584
2020-03-06,469.46740763226916
2020-03-09,478.58787207681945
2020-03-10,482.93277462525083
2020-03-11,451.3966579002891
2020-03-12,442.4715639319805
2020-03-13,472.1843638189354
2020-03-16,507.094139786244
2020-03-17,498.86165776204405
2020-03-18,487.6663863657355
2020-03-19,483.44129898146616
2020-03-20,487.06489749527515
2020-03-23,500.7254121786703
2020-03-24,514.0707133868989
2020-03-25,523.64962761149
2020-03-26,520.4162916838424
2020-03-27,518.1579201192028
2020-03-30,504.27745642742684
2020-03-31,480.3977204659723
2020-04-01,491.00951076705536
2020-04-02,472.49321369649283
2020-04-03,461.205307383068
2020-04-06,438.6474833716929
2020-04-07,424.17908456783186
2020-04-08,450.0908248235127
2020-04-09,419.8524289827128
2020-04-10,419.52731409948444
2020-04-13,390.1855771539194
2020-04-14,387.16069935365067
2020-04-15,362.50947264746605
2020-04-16,363.88397927458715
2020-04-17,364.3364468336744
2020-04-20,378.9858173972858
2020-04-21,384.4300576121932
2020-04-22,386.50189804271133
2020-04-23,382.3351995644884
2020-04-24,386.8506070337097
2020-04-27,389.1739374550287
2020-04-28,404.8012903385348
2020-04-29,371.9877520295143
2020-04-30,391.08301972578585
2020-05-01,385.2338335716922
2020-05-04,379.6513843053846
2020-05-05,391.92490534029525
2020-05-06,377.98809396703655
2020-05-07,385.1463532142333
2020-05-08,392.08284338031376
2020-05-11,389.248709241963
2020-05-12,418.7402422657778
2020-05-13,401.39999018573855
2020-05-14,375.8580433930847
2020-05-15,372.42675423024394
2020-05-18,369.922475567207
2020-05-19,367.73450263015945
2020-05-20,373.39181381056875
2020-05-21,350.32065926504555
2020-05-22,355.6262141949232
2020-05-25,356.6336148009221
2020-05-26,368.95441049341343
2020-05-27,359.3256732970652
2020-05-28,369.0845765519604
2020-05-29,350.2635932222546
2020-06-01,346.22828003425445
2020-06-02,341.08196260230403
2020-06-03,345.0833220248806
2020-06-04,331.4304604032866
2020-06-05,342.73280547745316
2020-06-08,349.7992710571508
2020-06-09,342.06764517664413
2020-06-10,362.91910948290604
2020-06-11,355.36383306839707
2020-06-12,342.138712069603
2020-06-15,338.83101360388036
2020-06-16,334.1495460756557
2020-06-17,349.1592366122668
2020-06-18,343.3593308501991
2020-06-19,351.94175486109015
2020-06-22,354.72016802167275
2020-06-23,337.4203679299381
2020-06-24,322.8580784469273
2020-06-25,312.4141098569566
2020-06-26,310.14023461994316
2020-06-29,314.0669145396539
2020-06-30,308.7359885523589
2020-07-01,307.0286547069744
2020-07-02,310.2703932981568
2020-07-03,306.5264141444428
2020-07-06,295.32846624334354
2020-07-07,295.44748012764705
2020-07-08,294.9106188591167
2020-07-09,286.36953992512366
2020-07-10,296.3079661654658
2020-07-13,302.15428386813124
2020-07-14,306.08294795838
2020-07-15,305.3289381312337
2020-07-16,307.2010461962669
2020-07-17,317.69844897752535
2020-07-20,313.8712243057142
2020-07-21,320.89880349899244
2020-07-22,309.71882703024
2020-07-23,302.271440142155
2020-07-24,314.77806767556876
2020-07-27,319.05437178890423
2020-07-28,328.10356590932713
2020-07-29,325.0982406946015
2020-07-30,329.73784229948114
2020-07-31,335.0075600672265
2020-08-03,350.98232593797974
2020-08-04,364.64067126026646
2020-08-05,359.52714794837624
