Date,ALB
2020-01-01,54.45430934693424
2020-01-02,54.582350259040425
2020-01-03,56.835155331929336
2020-01-06,56.78230497399079
2020-01-07,57.66374202437986
2020-01-08,58.02955700848327
2020-01-09,56.899798136118854
2020-01-10,57.51442882065366
2020-01-13,58.11927363132702
2020-01-14,57.91195900624744
2020-01-15,57.73705195415473
2020-01-16,55.424189344009264
2020-01-17,54.35315218168289
2020-01-20,54.640883159900184
2020-01-21,54.937283479725515
2020-01-22,54.86680034652134
2020-01-23,53.11859329918943
2020-01-24,52.90698137486188
2020-01-27,52.505848946709364
2020-01-28,52.62507780979803
2020-01-29,52.741990503235705
2020-01-30,52.370891869935456
2020-01-31,53.05021399904427
2020-02-03,55.17761322878012
2020-02-04,54.33346384075332
2020-02-05,55.003258527052154
2020-02-06,54.203054912785525
2020-02-07,53.49935076424268
2020-02-10,52.83928589925575
2020-02-11,51.08493418431871
2020-02-12,51.57262232360199
2020-02-13,51.52461209214302
2020-02-14,51.70238338966629
2020-02-17,53.201432782802385
2020-02-18,52.68069517325362
2020-02-19,53.05545201769831
2020-02-20,55.04904776239957
2020-02-21,55.84636867441581
2020-02-24,54.59624555868977
2020-02-25,54.05699561994463
2020-02-26,52.986827007539716
2020-02-27,54.134205139459446
2020-02-28,53.48367572104311
2020-03-02,53.92642823270581
2020-03-03,52.549980952641086
2020-03-04,52.84900520090438
2020-03-05,52.73740084280339
2020-03-06,52.19426449741268
2020-03-09,52.63913100475264
2020-03-10,53.355053693208895
2020-03-11,51.84273934759825
2020-03-12,52.0294971269305
2020-03-13,50.74858985472942
2020-03-16,48.881404028234556
2020-03-17,49.81185580475053
2020-03-18,48.75472524620754
2020-03-19,49.47632964664505
2020-03-20,51.01479671311259
2020-03-23,51.6286582529516
2020-03-24,52.77641597865804
2020-03-25,52.9761067160037
2020-03-26,52.89114245537383
2020-03-27,50.89672294657971
2020-03-30,49.7239351645419
2020-03-31,48.86941779939963
2020-04-01,48.41968498514587
2020-04-02,48.92815672878747
2020-04-03,48.869186848618966
2020-04-06,47.601703278774565
2020-04-07,47.738430144432144
2020-04-08,48.703935211456226
2020-04-09,48.82122850469159
2020-04-10,49.09688779953723
2020-04-13,48.18402007108386
2020-04-14,47.101747088484416
2020-04-15,48.36778299685542
2020-04-16,49.48366375631574
2020-04-17,49.03813103351327
2020-04-20,48.722880534071024
2020-04-21,48.52836375246423
2020-04-22,48.93243420044687
