Date,TRV
2020-01-01,129.47774391548097
2020-01-02,131.41984973691945
2020-01-03,128.70105566669864
2020-01-06,133.8218841316969
2020-01-07,134.6332898368344
2020-01-08,137.75004463191982
2020-01-09,145.72478925017626
2020-01-10,149.0577278608364
2020-01-13,149.36117134449694
2020-01-14,156.2799772883932
2020-01-15,154.51558699285894
2020-01-16,155.09936411765975
2020-01-17,156.77023504662995
2020-01-20,162.50853845229977
2020-01-21,166.84902739340703
2020-01-22,170.20458743603172
2020-01-23,168.87538743959266
2020-01-24,175.58326045485535
2020-01-27,167.10375788093154
2020-01-28,159.81311651296494
2020-01-29,158.10556450540832
2020-01-30,154.17414531565169
2020-01-31,157.35320708071237
2020-02-03,157.83560550448303
2020-02-04,157.88745349645185
2020-02-05,156.83170161697626
2020-02-06,159.61275236387687
2020-02-07,162.13773743320118
2020-02-10,161.7711681650984
2020-02-11,160.63718148185663
2020-02-12,164.4206550795385
2020-02-13,164.0637444192974
2020-02-14,166.3701525672719
2020-02-17,162.47762393888135
2020-02-18,158.2315990255326
2020-02-19,152.85925839928973
2020-02-20,153.36123499053716
2020-02-21,154.25075370377775
2020-02-24,149.63363948725797
2020-02-25,154.9240759285453
2020-02-26,157.63070167670523
2020-02-27,162.5021535803408
2020-02-28,170.32805551645134
2020-03-02,167.00729979981932
2020-03-03,166.28481983570185
2020-03-04,167.3670473683271
2020-03-05,168.86408302007956
2020-03-06,169.80775771372302
2020-03-09,166.36532106835782
2020-03-10,169.48611374865735
2020-03-11,176.052475113766
2020-03-12,176.11687279405461
2020-03-13,179.9009657042799
2020-03-16,182.58232088677602
2020-03-17,192.7461072096162
2020-03-18,199.08407258900144
2020-03-19,202.61378546771124
2020-03-20,207.03964761949317
2020-03-23,213.68307868623
2020-03-24,213.3902084470601
2020-03-25,220.86151777392635
2020-03-26,217.03714190977897
2020-03-27,225.47981801555818
2020-03-30,215.24938402456877
2020-03-31,216.1914279945443
2020-04-01,218.53854146614844
2020-04-02,220.3707065377448
2020-04-03,228.31229874561672
2020-04-06,224.51616905783587
2020-04-07,227.22739013740068
2020-04-08,235.02205792837293
2020-04-09,236.93474103886678
2020-04-10,241.68276477385504
2020-04-13,252.90686199305614
2020-04-14,254.35710467692564
2020-04-15,245.75487498361431
2020-04-16,249.97919600463402
2020-04-17,256.14577665166547
2020-04-20,253.72772386444709
2020-04-21,258.89258353238756
2020-04-22,247.12919921968015
2020-04-23,254.4716845178256
2020-04-24,251.36224775962577
2020-04-27,256.85047947823557
2020-04-28,242.0022641177875
2020-04-29,235.0041600909557
2020-04-30,233.490002039712
2020-05-01,243.40191136844345
2020-05-04,239.72784755031373
2020-05-05,239.83942897600335
2020-05-06,228.1554907320966
2020-05-07,227.05602995615493
2020-05-08,234.75859144262813
2020-05-11,233.64037545068538
2020-05-12,227.42222956529216
2020-05-13,228.50494807129198
2020-05-14,234.08078584084518
2020-05-15,231.693924677152
2020-05-18,219.69977033399263
2020-05-19,217.51299185334304
2020-05-20,215.73802469335095
2020-05-21,221.9513133189205
2020-05-22,218.8932076907745
2020-05-25,213.832908191478
2020-05-26,222.07710399152185
2020-05-27,228.92144614921042
2020-05-28,228.80615599118303
2020-05-29,219.86704393151686
2020-06-01,214.7922187796495
2020-06-02,213.42959013595828
2020-06-03,218.72478462213326
2020-06-04,218.04205686934475
2020-06-05,216.33359787559422
2020-06-08,213.17780443591803
2020-06-09,205.14733677955263
2020-06-10,210.04207855888424
2020-06-11,209.21978118021494
2020-06-12,209.29875217505545
2020-06-15,216.44329262492127
2020-06-16,227.84702221161547
2020-06-17,228.10828080720458
2020-06-18,228.84258373627122
