Date,MLM
2020-01-01,479.22667303111376
2020-01-02,471.9463443581951
2020-01-03,481.15611038297754
2020-01-06,478.8638496817416
2020-01-07,463.25098292333143
2020-01-08,480.0595548682014
2020-01-09,481.8085653862561
2020-01-10,477.47740751723404
2020-01-13,465.87715772172237
2020-01-14,462.05260825244676
2020-01-15,463.7658320754568
2020-01-16,472.1715671805942
2020-01-17,495.82481169183393
2020-01-20,512.2881702181029
2020-01-21,523.8439531048119
2020-01-22,538.6866297889617
2020-01-23,531.2509100494151
2020-01-24,523.5048381819145
2020-01-27,531.7582816930558
2020-01-28,529.1594302148889
2020-01-29,482.20729023802306
2020-01-30,471.1807298399902
2020-01-31,473.7387233278274
2020-02-03,484.75852516620444
2020-02-04,475.6802091173758
2020-02-05,481.3582921669788
2020-02-06,489.82719072534445
2020-02-07,486.44978359442325
2020-02-10,475.1472070114001
2020-02-11,473.05962225287203
2020-02-12,475.7669973221784
2020-02-13,460.18406429649457
2020-02-14,435.5836349122083
2020-02-17,419.37119280646516
2020-02-18,412.5348319252733
2020-02-19,396.1625539105593
2020-02-20,402.19582556390316
2020-02-21,415.04442900328246
2020-02-24,415.55219645788753
2020-02-25,415.4681651466392
2020-02-26,413.90766777610054
2020-02-27,419.5831527402721
2020-02-28,425.90421017141955
2020-03-02,421.45764172268565
2020-03-03,397.56623392299275
2020-03-04,411.78022410048357
2020-03-05,400.2679693785451
2020-03-06,391.4287108041824
2020-03-09,386.0231575616345
2020-03-10,376.200909247868
2020-03-11,393.9900060887359
2020-03-12,413.20081974564545
2020-03-13,406.9025106549354
2020-03-16,404.47093049389883
2020-03-17,382.37522264301487
2020-03-18,384.3756867332964
2020-03-19,382.77758188699903
2020-03-20,376.69059274470004
2020-03-23,394.1093507201146
2020-03-24,383.0388517952231
2020-03-25,390.1078407977104
2020-03-26,381.0696723837005
2020-03-27,385.72142497818834
2020-03-30,381.7081833382584
2020-03-31,391.61879816141476
2020-04-01,398.91386560210134
2020-04-02,392.2932202882868
2020-04-03,392.52762653065747
2020-04-06,416.28339539808354
2020-04-07,420.36538003776707
2020-04-08,420.13891501292983
2020-04-09,432.9204581883232
2020-04-10,427.8556771907011
2020-04-13,424.80346990489375
2020-04-14,420.8860007989279
2020-04-15,430.16018424819333
2020-04-16,414.3764274478185
2020-04-17,405.8149173747021
2020-04-20,398.76674136292274
2020-04-21,412.2491405302767
2020-04-22,401.9247604385723
2020-04-23,412.92268007552667
2020-04-24,408.3488583788311
2020-04-27,409.63919266998556
2020-04-28,412.97711083361486
2020-04-29,421.0591651590842
2020-04-30,423.5226613459167
2020-05-01,414.3646434355467
2020-05-04,409.6540003697416
2020-05-05,407.4876994685849
2020-05-06,413.4098745897214
2020-05-07,392.4822627802158
2020-05-08,383.4055856605483
2020-05-11,389.4765013850249
2020-05-12,383.5406248758061
2020-05-13,379.6892779533727
2020-05-14,363.5811680627915
2020-05-15,356.8490459625244
2020-05-18,350.1595825210082
2020-05-19,358.4520516510622
2020-05-20,355.23611555901084
2020-05-21,371.3532621219095
2020-05-22,360.33342505247657
2020-05-25,373.75650795205263
2020-05-26,367.5603538557166
2020-05-27,370.9608133640635
2020-05-28,375.977968218108
2020-05-29,379.326667974242
2020-06-01,391.8226333681327
2020-06-02,405.5932819601227
2020-06-03,418.9580436041681
2020-06-04,422.0065266926208
2020-06-05,419.034578900359
2020-06-08,437.4069675645733
2020-06-09,442.08389625740904
2020-06-10,431.42813296871066
2020-06-11,432.51653880109427
2020-06-12,439.49742992134014
2020-06-15,460.21099089106644
2020-06-16,456.5048149736272
2020-06-17,467.08132190683534
2020-06-18,467.2140594619675
2020-06-19,461.9203087244236
2020-06-22,462.99604331784474
2020-06-23,444.84675386258226
2020-06-24,441.085406305271
2020-06-25,446.17876767255814
2020-06-26,451.1160473221591
2020-06-29,448.54547962073184
2020-06-30,435.36631880962415
2020-07-01,424.22227234299135
2020-07-02,433.6351438343951
2020-07-03,435.6345841328406
2020-07-06,431.7194171949784
2020-07-07,436.4420153514407
2020-07-08,425.1367185041551
2020-07-09,417.9083238026539
2020-07-10,429.9009299180663
2020-07-13,433.52545213962276
2020-07-14,427.7136681700469
2020-07-15,437.618621894429
2020-07-16,429.018271597187
2020-07-17,413.13835529855214
2020-07-20,407.59554795471917
2020-07-21,421.52955956024266
2020-07-22,425.4129933803627
2020-07-23,403.6443894839775
2020-07-24,409.00103953678615
2020-07-27,425.1711753196062
2020-07-28,440.54140788900816
2020-07-29,450.9604984118359
2020-07-30,452.21183633327007
2020-07-31,440.51349710108025
2020-08-03,428.3422819852383
2020-08-04,438.40083317060754
2020-08-05,433.933601682592
2020-08-06,439.58978245685495
2020-08-07,428.60802596652735
2020-08-10,436.6992508704642
2020-08-11,425.8772546338022
2020-08-12,412.3644224960926
2020-08-13,425.6317795147835
2020-08-14,425.54192455418354
2020-08-17,408.1129305853062
2020-08-18,424.8301871855915
2020-08-19,418.51325799911035
2020-08-20,420.69569435020003
2020-08-21,408.68454810704617
2020-08-24,416.1711142584369
2020-08-25,427.6049335333622
2020-08-26,428.90304791950143
2020-08-27,428.136833293247
2020-08-28,416.4206105103434
2020-08-31,407.431568798042
2020-09-01,416.3993198294637
2020-09-02,421.59519937748394
2020-09-03,425.37842159314243
2020-09-04,435.25605397976875
2020-09-07,420.3076256039704
2020-09-08,419.40281852039004
2020-09-09,420.74944129266794
2020-09-10,406.1810570464833
2020-09-11,403.1445144610437
2020-09-14,417.252054956175
2020-09-15,421.9203903071487
2020-09-16,422.9091230257762
2020-09-17,414.2858444194853
2020-09-18,413.47650052945625
2020-09-21,413.7199840372518
2020-09-22,410.5053365879387
2020-09-23,395.1486917090828
2020-09-24,397.47549105824356
2020-09-25,405.35236595710006
2020-09-28,393.9308436248691
2020-09-29,391.74397900255383
2020-09-30,389.77405003551013
2020-10-01,387.8432131483345
2020-10-02,371.4103068560635
2020-10-05,388.34643040320987
2020-10-06,413.13632706817714
2020-10-07,415.22109374296775
2020-10-08,393.9294759118171
2020-10-09,385.3087623364187
2020-10-12,377.378770703988
2020-10-13,378.6920701198063
2020-10-14,382.9332136803062
2020-10-15,376.8897496118535
2020-10-16,390.1300796027899
2020-10-19,396.57955947469105
2020-10-20,396.73112022837256
