Date,STLD
2020-01-01,195.32647073072502
2020-01-02,193.26511862790514
2020-01-03,193.98883697037297
2020-01-06,192.20128766798567
2020-01-07,190.54201827950394
2020-01-08,190.1520827027462
2020-01-09,185.41854155398698
2020-01-10,180.5315451678965
2020-01-13,182.71612559106495
2020-01-14,185.35754544658198
2020-01-15,187.97887416428776
2020-01-16,190.9408892886334
2020-01-17,186.44356998606875
2020-01-20,186.1619458045149
2020-01-21,189.1903461401092
2020-01-22,184.70021885861513
2020-01-23,185.391957730858
2020-01-24,180.54287701913165
2020-01-27,178.28006249479495
2020-01-28,177.02109949185916
2020-01-29,178.62334605846848
2020-01-30,179.4677249477903
2020-01-31,181.44010991499917
2020-02-03,183.3647900951322
2020-02-04,185.51646444787224
2020-02-05,188.06788127857368
2020-02-06,186.61186105606774
2020-02-07,183.7459818154737
2020-02-10,180.3620067894567
2020-02-11,183.0438008784016
2020-02-12,182.71326201717497
2020-02-13,180.3620108927916
2020-02-14,183.3378699253965
2020-02-17,185.19480039448638
2020-02-18,179.2449378108413
2020-02-19,177.61043700382615
2020-02-20,183.4109904198349
2020-02-21,182.91603876868143
2020-02-24,175.12341973020168
2020-02-25,176.8054054273761
2020-02-26,178.88669045503997
2020-02-27,174.9796185867429
2020-02-28,181.504655025835
2020-03-02,180.7636708551333
2020-03-03,179.7439648663884
2020-03-04,181.65011821165328
2020-03-05,182.77831084398474
2020-03-06,182.96848232761698
2020-03-09,179.17960480139445
2020-03-10,178.2813688464253
2020-03-11,179.22148128342025
2020-03-12,179.66933912516325
2020-03-13,175.36688805306613
2020-03-16,174.88455900537792
2020-03-17,175.14403460003194
2020-03-18,175.047060390552
2020-03-19,173.81247565650088
2020-03-20,177.29828110180046
2020-03-23,177.16993412549567
2020-03-24,179.82317705931024
2020-03-25,180.47027227473825
2020-03-26,183.66424691466364
2020-03-27,182.1505106005018
2020-03-30,184.00091278461318
2020-03-31,185.1292613036233
2020-04-01,182.19986076731365
2020-04-02,185.0512924956351
2020-04-03,185.54687498888762
2020-04-06,183.32796429174297
2020-04-07,184.82765746626592
2020-04-08,184.80175588672859
2020-04-09,188.99532677558824
2020-04-10,184.94941169785824
2020-04-13,182.8392362737569
2020-04-14,182.90116354040464
2020-04-15,182.41555682031634
2020-04-16,185.0402079738797
2020-04-17,187.21916717602437
2020-04-20,182.5896981399545
2020-04-21,184.73150468916674
2020-04-22,176.88593840198618
2020-04-23,180.79043187879523
2020-04-24,179.32465474277643
2020-04-27,177.04344968070308
2020-04-28,180.00550257732408
2020-04-29,179.74445504006414
2020-04-30,179.91095947046205
2020-05-01,183.3573510639479
2020-05-04,188.62308300151577
2020-05-05,177.6463682091692
2020-05-06,179.78191657342305
2020-05-07,180.71215027867763
2020-05-08,188.9362112192042
2020-05-11,192.5200947433237
2020-05-12,197.10599796138246
2020-05-13,192.70504040710307
2020-05-14,191.4159612700468
2020-05-15,187.21662166300501
2020-05-18,189.88473040786346
2020-05-19,186.6537958044917
2020-05-20,189.6202819689454
2020-05-21,189.82252862393912
2020-05-22,194.01741213392492
2020-05-25,197.12431156362274
2020-05-26,197.94903363044946
2020-05-27,196.01595513847982
2020-05-28,196.06866867001094
2020-05-29,203.87676996552509
2020-06-01,201.4642894438049
2020-06-02,197.06402949111327
2020-06-03,192.5673508082305
2020-06-04,195.11795873799517
2020-06-05,194.10931194491582
2020-06-08,197.58715384629534
2020-06-09,200.39081220996843
