Date,ROK
2020-01-01,425.46309444478374
2020-01-02,417.5190132174803
2020-01-03,413.0528886783487
2020-01-06,403.569657281897
2020-01-07,413.43391250870735
2020-01-08,420.5160069657898
2020-01-09,423.33260540560383
2020-01-10,409.5769207628435
2020-01-13,417.965685701622
2020-01-14,420.37919206890615
2020-01-15,433.8035614052662
2020-01-16,425.599008603382
2020-01-17,438.7324086532186
2020-01-20,423.6155012157556
2020-01-21,430.0459351377887
2020-01-22,432.7812680191758
2020-01-23,403.9123886109025
2020-01-24,406.2610486490357
2020-01-27,435.3275669624245
2020-01-28,432.87160496532016
2020-01-29,423.2084656517764
2020-01-30,433.65077334039427
2020-01-31,423.7883621340531
2020-02-03,413.3589268022985
2020-02-04,419.8535145559651
2020-02-05,449.0537082440919
2020-02-06,433.8728931818484
2020-02-07,439.1576790141058
2020-02-10,422.29758318097475
2020-02-11,407.8334772218948
2020-02-12,430.37968720931735
2020-02-13,415.09678207932524
2020-02-14,410.84931218580135
2020-02-17,388.86028388509953
2020-02-18,398.7956790820114
2020-02-19,408.1224176646555
2020-02-20,420.80026000630056
2020-02-21,422.11386455252654
2020-02-24,440.19320792318774
2020-02-25,411.37542863493684
2020-02-26,414.62462829133915
2020-02-27,428.6164523047671
2020-02-28,438.973713053723
2020-03-02,458.3222008654857
2020-03-03,475.21221412199515
2020-03-04,459.75479213378986
2020-03-05,458.43856757909373
2020-03-06,460.0292714416118
2020-03-09,458.91562144753993
2020-03-10,471.1523715436247
2020-03-11,461.20945875885513
2020-03-12,458.9810902252366
2020-03-13,465.2353967414371
2020-03-16,474.19218804900913
2020-03-17,480.87480812674943
2020-03-18,461.046951182798
2020-03-19,485.6578860780834
2020-03-20,484.35341511247896
2020-03-23,485.53331969827394
2020-03-24,481.63962535280496
2020-03-25,466.5374023110713
2020-03-26,470.912940682845
2020-03-27,469.9747886099006
2020-03-30,471.4595604265502
2020-03-31,472.1059841312265
2020-04-01,469.53222835011815
2020-04-02,473.8278906811987
2020-04-03,468.32172493361605
2020-04-06,479.7434187239066
2020-04-07,492.3779189413824
2020-04-08,481.15750416260556
2020-04-09,463.10345912048484
2020-04-10,440.34840959420865
2020-04-13,440.6055469639818
2020-04-14,435.88409333464006
2020-04-15,419.5773982753631
2020-04-16,416.78747284471257
2020-04-17,415.70755363694013
2020-04-20,427.3653290687673
2020-04-21,428.22103223628903
2020-04-22,414.3188169333263
2020-04-23,412.80022605982214
2020-04-24,420.56601950535133
2020-04-27,389.76554409861626
2020-04-28,387.4839612548281
2020-04-29,392.58352413014984
2020-04-30,386.73128841320886
2020-05-01,385.60456323402013
2020-05-04,386.37202535737134
2020-05-05,366.5493571429461
2020-05-06,375.0086746789201
2020-05-07,375.71677696935643
2020-05-08,353.46078144202136
2020-05-11,341.52553530344704
2020-05-12,333.2836338922822
2020-05-13,337.2035059521024
2020-05-14,343.67021958793026
2020-05-15,337.89297160272105
2020-05-18,306.96104558968864
2020-05-19,306.32165772683504
2020-05-20,308.2630774752973
2020-05-21,310.9535299260577
2020-05-22,311.8054359280195
2020-05-25,317.09694087183277
2020-05-26,322.23597594827555
2020-05-27,308.1880844166704
2020-05-28,305.83782014835526
2020-05-29,303.20908298764937
2020-06-01,301.7387299047887
2020-06-02,293.40393736774286
2020-06-03,310.303563155563
2020-06-04,308.69543467227476
2020-06-05,294.8863072561312
2020-06-08,297.7952085934285
2020-06-09,307.8501960033812
2020-06-10,304.68532366752277
2020-06-11,318.8700494434649
2020-06-12,304.1213141571715
2020-06-15,293.40105906406103
2020-06-16,296.60509165614354
2020-06-17,290.1924466761475
2020-06-18,287.0274532535825
2020-06-19,287.39725931553676
2020-06-22,287.9477730542655
2020-06-23,287.18616151496803
2020-06-24,271.9399011534089
2020-06-25,283.46035066376106
2020-06-26,288.21358304616825
2020-06-29,272.47619924807475
2020-06-30,273.2467726714688
2020-07-01,277.57507535547956
2020-07-02,291.1263917932539
2020-07-03,297.8974692704604
2020-07-06,287.70108316096514
2020-07-07,275.67211031132484
2020-07-08,284.30228105309124
2020-07-09,289.47726225994205
2020-07-10,296.4984368864765
2020-07-13,305.5158726097384
2020-07-14,313.0644379323303
2020-07-15,319.800395078332
2020-07-16,328.27528701329135
2020-07-17,322.37185627051434
2020-07-20,330.3366419277576
2020-07-21,346.4164121099962
2020-07-22,347.7472550775328
2020-07-23,356.1292368464925
2020-07-24,351.0544267244842
2020-07-27,365.5300525442701
2020-07-28,401.2286781324408
2020-07-29,408.0780837595319
2020-07-30,410.06672347952116
2020-07-31,412.807142792285
2020-08-03,407.93404918568916
2020-08-04,434.3943474979234
2020-08-05,418.66609321159217
2020-08-06,418.81965958771985
2020-08-07,419.460063254854
2020-08-10,406.77484220430847
2020-08-11,392.8408607772867
2020-08-12,398.23563164526826
2020-08-13,393.385976256353
2020-08-14,397.79305605090934
2020-08-17,402.00864937982766
2020-08-18,412.7015882932646
2020-08-19,396.886536579447
2020-08-20,407.4057656451383
2020-08-21,408.53620620994775
2020-08-24,414.25280994790035
2020-08-25,394.92663243571747
2020-08-26,392.41682853099985
2020-08-27,401.06112139204953
2020-08-28,401.451776297537
2020-08-31,402.0415786180037
2020-09-01,417.3826519424026
2020-09-02,419.95136462585
2020-09-03,420.2129127719433
2020-09-04,414.82301763415046
2020-09-07,423.42195967706897
2020-09-08,435.11821182689084
2020-09-09,427.7633180571973
2020-09-10,439.8063550911836
2020-09-11,452.2967210215805
2020-09-14,445.8158779769872
2020-09-15,443.3125003972374
2020-09-16,447.91432090833285
2020-09-17,437.17598884734156
2020-09-18,438.89774381326555
2020-09-21,456.76823708537705
2020-09-22,471.749657533657
2020-09-23,464.7439167626892
2020-09-24,447.58936453427975
2020-09-25,455.0466630792293
2020-09-28,483.94446764188496
2020-09-29,465.7984670643322
2020-09-30,469.83337939791886
2020-10-01,446.0774290072974
2020-10-02,443.5013801541192
2020-10-05,422.4208937155351
2020-10-06,415.46936663792803
2020-10-07,415.5769077382556
2020-10-08,430.52710217132875
2020-10-09,440.394803136157
2020-10-12,423.61213565024764
2020-10-13,461.3241767883992
2020-10-14,486.4245698890118
2020-10-15,488.54032720849426
2020-10-16,502.6635560741678
2020-10-19,474.4049872387469
2020-10-20,448.37603862432877
2020-10-21,450.35098676957205
2020-10-22,443.3678523145887
2020-10-23,439.1544050469992
2020-10-26,434.47217867063245
2020-10-27,419.1229618567292
2020-10-28,428.63702728500664
2020-10-29,414.5727403621949
2020-10-30,416.92831599060145
2020-11-02,426.3483985545109
2020-11-03,403.4666653580586
2020-11-04,403.4568645600932
2020-11-05,412.2534597427497
2020-11-06,417.2303562646968
2020-11-09,400.7089622644038
2020-11-10,413.36857535841614
2020-11-11,400.04166486059273
2020-11-12,386.7029125227429
2020-11-13,399.3283364890721
2020-11-16,417.74755468386826
2020-11-17,426.1884192846744
2020-11-18,423.1207006089895
2020-11-19,414.7749019738043
2020-11-20,428.05767897608916
2020-11-23,426.3059147498121
2020-11-24,420.48184865434604
2020-11-25,425.67272261470845
2020-11-26,428.5363880526653
2020-11-27,428.3068162447271
2020-11-30,432.61929586080805
2020-12-01,417.486454872882
2020-12-02,414.444885625902
