Date,USB
2020-01-01,322.13972579707166
2020-01-02,322.7321082686084
2020-01-03,329.9553928446001
2020-01-06,331.80015078392586
2020-01-07,331.95400828537527
2020-01-08,340.0562851864369
2020-01-09,338.4836393312686
2020-01-10,341.0135337491172
2020-01-13,348.5551625299998
2020-01-14,348.98591166221945
2020-01-15,344.9981970344033
2020-01-16,337.2568154999166
2020-01-17,338.51030090637397
2020-01-20,330.847024692555
2020-01-21,334.28130661671065
2020-01-22,345.01051563929326
2020-01-23,354.67052666705024
2020-01-24,353.74464383242156
2020-01-27,356.36662906515727
2020-01-28,343.8609815331112
2020-01-29,344.55736043991897
2020-01-30,333.8368859529857
2020-01-31,328.50460724839274
2020-02-03,321.7717501551411
2020-02-04,315.3570437287039
2020-02-05,323.33515021704903
2020-02-06,324.0307679860402
2020-02-07,325.09403102736445
2020-02-10,332.0667083481908
2020-02-11,336.14987136664683
2020-02-12,336.9830806535562
2020-02-13,344.512088287272
2020-02-14,345.59773624302227
2020-02-17,344.55161806406903
2020-02-18,342.5143611691214
2020-02-19,333.8346735290431
2020-02-20,341.8489058720255
2020-02-21,347.0515218381439
2020-02-24,350.37966390239893
2020-02-25,354.81864628048027
2020-02-26,339.3911862168544
2020-02-27,349.81562109618386
2020-02-28,353.73558345189275
2020-03-02,363.16154109451406
2020-03-03,357.529758882027
2020-03-04,354.25640477955534
2020-03-05,356.2351213479088
2020-03-06,351.41513464265284
2020-03-09,355.2628472400362
2020-03-10,346.27952572511595
2020-03-11,354.13270477782197
2020-03-12,352.0502430683241
2020-03-13,353.2724344021416
2020-03-16,364.5914397312304
2020-03-17,354.11468553020035
2020-03-18,344.64593747845777
2020-03-19,345.2692597027132
2020-03-20,350.7119309298463
2020-03-23,349.02489245105926
2020-03-24,338.90501382835555
2020-03-25,344.45325742945
2020-03-26,344.2274733469689
2020-03-27,341.5669278549111
2020-03-30,339.91567227199835
2020-03-31,346.04659756688113
2020-04-01,346.91236033738284
2020-04-02,349.5927594040476
2020-04-03,340.4524775299393
2020-04-06,339.0563517187079
2020-04-07,330.059076051906
2020-04-08,332.4023832639079
2020-04-09,352.2439731121805
2020-04-10,352.5987140213138
2020-04-13,362.4916397985851
2020-04-14,365.49438370618014
2020-04-15,362.51917461685485
2020-04-16,360.1040552919366
2020-04-17,356.09321200723696
2020-04-20,367.04647447160045
2020-04-21,359.0045610074971
2020-04-22,357.0444762480501
2020-04-23,354.5076856769704
2020-04-24,355.40054833745285
2020-04-27,352.5664227105402
2020-04-28,359.7072319105105
2020-04-29,356.1672549835886
2020-04-30,361.8320593824649
2020-05-01,362.1459730520699
2020-05-04,365.8206198287914
2020-05-05,365.309943753971
2020-05-06,366.2378857424116
2020-05-07,377.6676310193452
2020-05-08,370.2216791153781
2020-05-11,357.82457701766157
2020-05-12,352.24687849594676
2020-05-13,351.85700600215677
2020-05-14,358.828243459907
2020-05-15,356.28290933744915
2020-05-18,354.51644974630256
2020-05-19,361.42213783642336
2020-05-20,370.7142943979815
2020-05-21,373.79648675571036
2020-05-22,382.7230496763045
2020-05-25,388.7942744087914
2020-05-26,378.0247588394371
2020-05-27,378.20788588524215
2020-05-28,383.45853698577463
2020-05-29,387.8667183714059
2020-06-01,381.5512389215864
2020-06-02,373.7815707134426
2020-06-03,376.46664212500406
2020-06-04,378.0102962566922
2020-06-05,379.53137690029007
2020-06-08,373.8411248222166
2020-06-09,363.799142893044
2020-06-10,368.9565734973664
2020-06-11,369.2878900507463
2020-06-12,360.7866410155341
2020-06-15,365.44667412105684
2020-06-16,371.4510396303943
2020-06-17,376.5081208617491
2020-06-18,376.57328496729644
2020-06-19,371.92553553296847
2020-06-22,378.4167250827955
2020-06-23,382.91458351065694
2020-06-24,377.8025015438563
2020-06-25,377.58773371782553
2020-06-26,374.62682281199733
2020-06-29,381.78985268998537
2020-06-30,395.304302792353
2020-07-01,397.9998206116507
2020-07-02,383.1899561417218
2020-07-03,378.11453544377497
2020-07-06,368.61329599590437
2020-07-07,368.8766035907429
2020-07-08,371.95455577719343
2020-07-09,384.54154523621764
2020-07-10,392.2243119070509
2020-07-13,406.8147256622081
2020-07-14,412.89108297386207
2020-07-15,404.9640280815966
2020-07-16,399.3462391521282
2020-07-17,403.7719107400613
2020-07-20,408.4145024569803
2020-07-21,385.4625573602294
2020-07-22,387.34124057229803
2020-07-23,389.9756764406108
2020-07-24,394.31889325971673
2020-07-27,400.8900086319553
2020-07-28,401.88213461833226
2020-07-29,397.3307721024964
2020-07-30,405.8277570184618
2020-07-31,400.51477098963034
2020-08-03,390.8554749047028
2020-08-04,388.258982044304
2020-08-05,382.33219344717327
2020-08-06,384.44758270251066
2020-08-07,385.055916491546
2020-08-10,383.8717299010553
2020-08-11,391.73923733524015
2020-08-12,399.9682841395262
2020-08-13,404.19887670023945
2020-08-14,412.1301983631712
2020-08-17,425.30139866251966
2020-08-18,428.54795633624576
2020-08-19,424.88824047893905
2020-08-20,440.6885857066402
2020-08-21,433.49900101305
2020-08-24,424.2436288796046
2020-08-25,420.3862826131645
2020-08-26,423.62611025352663
2020-08-27,422.68947682781527
2020-08-28,412.3877458969224
2020-08-31,418.19479487109055
2020-09-01,416.9168747490048
2020-09-02,413.0906762013159
2020-09-03,431.6393706210935
2020-09-04,421.5047528494756
2020-09-07,422.82572330069956
2020-09-08,416.07630100185645
2020-09-09,420.94430137209815
2020-09-10,420.43245553380257
2020-09-11,426.3453728883945
2020-09-14,433.80011279198123
2020-09-15,432.04955261951756
2020-09-16,430.3146994999679
2020-09-17,436.923738627636
2020-09-18,431.61999495798887
2020-09-21,434.4792124582196
2020-09-22,434.45480181807324
2020-09-23,416.53883806534344
2020-09-24,412.44629286569693
2020-09-25,411.20870787120566
2020-09-28,405.90214334112676
2020-09-29,407.2221644617247
2020-09-30,402.12716900836523
2020-10-01,400.8077702734817
2020-10-02,406.9980694582328
2020-10-05,411.3572602328317
2020-10-06,423.45406714472244
2020-10-07,430.98931997172235
2020-10-08,432.7605045078535
2020-10-09,429.5156683465374
2020-10-12,428.1737389750076
2020-10-13,433.6518575281239
2020-10-14,429.71910095294623
2020-10-15,439.89629129327096
2020-10-16,443.4258064609
2020-10-19,431.4413316600968
2020-10-20,433.49619829021196
2020-10-21,444.49901438576353
2020-10-22,422.9545953448449
2020-10-23,418.7926278816912
2020-10-26,417.9882801508898
2020-10-27,428.0187391113459
2020-10-28,425.03384404194867
2020-10-29,423.65227437806726
2020-10-30,413.7021150611321
2020-11-02,397.41773712060717
2020-11-03,396.52589444300764
2020-11-04,398.47453047488176
2020-11-05,389.50327810848637
2020-11-06,399.9582511924148
2020-11-09,395.4986014193852
2020-11-10,403.1680786374606
2020-11-11,409.64464800180923
2020-11-12,408.84287529509623
2020-11-13,405.8688153157685
2020-11-16,409.8578797602516
2020-11-17,420.1840909956258
2020-11-18,426.949091848291
2020-11-19,439.73164344591066
2020-11-20,432.3238182630575
2020-11-23,417.41981497678734
2020-11-24,415.160900623936
2020-11-25,428.7479589347624
2020-11-26,431.4698524192918
2020-11-27,434.7997666131084
2020-11-30,446.4051635774378
2020-12-01,446.67915218793166
2020-12-02,452.6342732469052
2020-12-03,446.2768678004906
2020-12-04,444.7178987665078
2020-12-07,460.1920473408386
2020-12-08,464.47199300901804
2020-12-09,478.56638613633913
2020-12-10,477.0220301296199
2020-12-11,472.09708125722346
2020-12-14,475.2548089549304
2020-12-15,469.7648498432545
2020-12-16,477.7736604762148
2020-12-17,475.31136956153796
2020-12-18,471.19646314160553
2020-12-21,472.46826672364165
2020-12-22,465.01657753874804
2020-12-23,456.99042436976146
2020-12-24,465.59567590014467
2020-12-25,474.36524009030757
2020-12-28,455.3068770764727
2020-12-29,442.0871641844404
2020-12-30,426.7801660156799
2020-12-31,427.1504436661574
2021-01-01,420.4063569784754
2021-01-04,425.36184457602394
2021-01-05,421.37590648836874
2021-01-06,413.41234889955274
2021-01-07,417.57796357809656
2021-01-08,424.9917127783961
2021-01-11,431.9314258630542
2021-01-12,436.2657915358352
2021-01-13,437.7525099558068
2021-01-14,440.44274646351437
2021-01-15,432.0854687012232
2021-01-18,444.17254991945833
2021-01-19,444.8553880684977
2021-01-20,437.6806961150233
2021-01-21,431.84983934068885
2021-01-22,418.5686502494997
2021-01-25,424.89949407949337
2021-01-26,429.43399648382524
2021-01-27,429.6649526320643
2021-01-28,415.9166973594195
2021-01-29,402.33175018460366
2021-02-01,410.79650890395635
2021-02-02,412.50895790831396
2021-02-03,416.0680464285012
2021-02-04,416.77903074691454
2021-02-05,415.4816307736716
2021-02-08,418.08014747252514
2021-02-09,422.3518004111236
2021-02-10,416.55366926003387
2021-02-11,412.2541820300459
2021-02-12,404.19045720115525
2021-02-15,399.82044275184217
2021-02-16,407.29317689228776
2021-02-17,414.02659176213183
2021-02-18,408.25990374464544
2021-02-19,419.2020701571632
2021-02-22,409.7026914173389
2021-02-23,412.67369381540806
2021-02-24,421.87144307742966
2021-02-25,412.7295080859249
2021-02-26,415.77515233467955
2021-03-01,408.3139683921304
2021-03-02,417.3273369898467
2021-03-03,421.6174665636744
2021-03-04,416.59564129668416
2021-03-05,414.5848238734167
2021-03-08,422.98799568615885
2021-03-09,403.79280513855167
2021-03-10,395.31759300547174
2021-03-11,410.18567079545767
2021-03-12,419.87245980272553
2021-03-15,430.53115350946075
2021-03-16,431.42630268496947
2021-03-17,417.67688409244255
2021-03-18,429.5417976172697
2021-03-19,432.7911184612272
2021-03-22,426.99314674313894
2021-03-23,438.51900948748386
2021-03-24,445.6524830118983
