Date,CSX
2020-01-01,106.41704142066459
2020-01-02,106.60801758334291
2020-01-03,109.26289983544889
2020-01-06,110.27102243268462
2020-01-07,112.63256911792887
2020-01-08,112.45703519312138
2020-01-09,112.22297096159343
2020-01-10,109.51432482221946
2020-01-13,107.9434685273197
2020-01-14,103.970090622893
2020-01-15,102.81087891898879
2020-01-16,105.7829681134983
2020-01-17,102.58434018670864
2020-01-20,106.4193083376974
2020-01-21,106.41291649804369
2020-01-22,105.28533015892594
2020-01-23,100.64744438992011
2020-01-24,104.06685050124112
2020-01-27,108.00113273013224
2020-01-28,108.18896962383452
2020-01-29,110.79319374301473
2020-01-30,111.64830897279145
2020-01-31,109.52482528756258
2020-02-03,112.40954771778439
2020-02-04,113.54370713882939
2020-02-05,105.82663031471861
2020-02-06,104.80254436832317
2020-02-07,108.03541663693754
2020-02-10,109.93004199374468
2020-02-11,111.5208475340754
2020-02-12,112.63640424027106
2020-02-13,115.2262654742887
2020-02-14,113.62186768892842
2020-02-17,113.8937751882617
2020-02-18,107.37118952660933
2020-02-19,104.92944371669098
2020-02-20,103.83041416454583
2020-02-21,106.11378770627722
2020-02-24,110.89306078480931
2020-02-25,112.00683653202844
2020-02-26,108.75547703145894
2020-02-27,114.30874383508144
2020-02-28,111.09702020775745
2020-03-02,110.21182913225489
2020-03-03,113.73903894836187
2020-03-04,111.4606528691916
2020-03-05,107.62101498659243
2020-03-06,109.27728037446417
2020-03-09,111.15203345183512
2020-03-10,117.85055998142965
2020-03-11,125.48670937502648
2020-03-12,128.10833514937733
2020-03-13,120.97324114969959
2020-03-16,119.44023552859676
2020-03-17,120.73370437737236
2020-03-18,123.74700565259181
2020-03-19,120.5421458502326
2020-03-20,125.04329828816526
2020-03-23,128.8996712440815
2020-03-24,129.06979102431282
2020-03-25,125.7312757630149
2020-03-26,128.80305480188255
2020-03-27,126.8740049681259
2020-03-30,124.148632505853
2020-03-31,127.05785831533736
2020-04-01,129.16153924464868
2020-04-02,128.1950885310911
2020-04-03,133.84518495609709
2020-04-06,135.0900068705601
2020-04-07,128.79035738217326
2020-04-08,123.60561793333666
2020-04-09,130.52599299825164
2020-04-10,128.94730857449125
2020-04-13,130.47120081203494
2020-04-14,136.9833420052102
2020-04-15,140.24636574085952
2020-04-16,138.85362587345094
2020-04-17,146.51605700176384
2020-04-20,144.23597916093652
2020-04-21,144.87199886159308
2020-04-22,139.39635815564918
2020-04-23,138.38209913168828
2020-04-24,138.4476128032941
2020-04-27,137.7780377788296
2020-04-28,137.89837994431358
2020-04-29,144.5341517595337
2020-04-30,141.4126074172361
2020-05-01,137.22180162360644
2020-05-04,138.61020662308914
2020-05-05,137.04622222488638
2020-05-06,136.55132280113241
2020-05-07,133.8506743513983
2020-05-08,129.83940528238747
2020-05-11,124.85859485420788
2020-05-12,119.80471775906945
2020-05-13,120.34448183220887
2020-05-14,115.32928643741316
2020-05-15,119.04471016658457
2020-05-18,120.49059697835355
2020-05-19,120.27281252803196
2020-05-20,120.70895005385103
2020-05-21,119.20524398926125
2020-05-22,118.75525823826548
2020-05-25,116.36894751654533
2020-05-26,117.75779451347586
2020-05-27,108.97506248171962
2020-05-28,107.18956512477308
2020-05-29,112.64258396528238
2020-06-01,109.5612188419228
2020-06-02,109.19566897952149
2020-06-03,105.21176451845666
2020-06-04,107.67039409937168
2020-06-05,110.51754854648092
2020-06-08,110.18816874936309
2020-06-09,114.73275733251529
2020-06-10,115.24611250432667
2020-06-11,118.41910533450532
2020-06-12,115.4932472869987
2020-06-15,119.73237734508417
2020-06-16,116.41895624688267
2020-06-17,117.83086494756154
2020-06-18,118.96251775309058
2020-06-19,121.47639476484076
2020-06-22,119.15685576411609
2020-06-23,120.93223755629433
2020-06-24,118.86885144221353
2020-06-25,120.06852049964989
2020-06-26,118.62294824577228
2020-06-29,116.98830437078013
2020-06-30,112.5712329453219
2020-07-01,114.91789635325487
2020-07-02,112.70296845390517
2020-07-03,112.52969336367194
2020-07-06,106.70836715178929
2020-07-07,111.45894056072201
2020-07-08,110.32486643403516
2020-07-09,112.46062008952909
2020-07-10,112.38202051632328
2020-07-13,112.4014589926903
2020-07-14,109.78797571379182
2020-07-15,109.84900228333669
2020-07-16,114.93171288567117
2020-07-17,121.33580615574805
2020-07-20,123.638609210108
2020-07-21,119.40343959278967
2020-07-22,123.43365934295316
2020-07-23,124.61307731582191
2020-07-24,129.01865600101888
2020-07-27,127.77151695595413
2020-07-28,131.01140562978406
2020-07-29,132.70563391811206
2020-07-30,136.21879240343324
2020-07-31,140.25950684250725
2020-08-03,141.53780244936462
2020-08-04,135.31775043882013
2020-08-05,132.2416302008583
2020-08-06,135.95504062123888
2020-08-07,135.2995355050269
2020-08-10,130.32893758639793
2020-08-11,129.99878899323375
2020-08-12,135.92075590002477
2020-08-13,139.91755711182577
2020-08-14,141.92018719251664
2020-08-17,144.318982243382
2020-08-18,148.5128025832106
2020-08-19,145.95189402828387
2020-08-20,141.30958330130923
2020-08-21,142.31220184646565
2020-08-24,145.1203658629109
2020-08-25,146.309831718912
2020-08-26,146.92973037427979
2020-08-27,148.32054742042334
2020-08-28,147.9036686491426
2020-08-31,149.4786883110003
2020-09-01,139.08415048306665
2020-09-02,140.19133619022054
