Date,SCHW
2020-01-01,263.22207988054714
2020-01-02,263.4916902520594
2020-01-03,261.8851380600214
2020-01-06,255.12052498515138
2020-01-07,250.46584008454371
2020-01-08,248.24468722107392
2020-01-09,241.40786832869887
2020-01-10,246.96240076045208
2020-01-13,246.03171146899712
2020-01-14,249.15231376739172
2020-01-15,241.46923703084505
2020-01-16,241.6807137339595
2020-01-17,236.2559618114322
2020-01-20,232.47327043218795
2020-01-21,231.8663704549373
2020-01-22,217.5757694799812
2020-01-23,220.71465673187984
2020-01-24,227.2764999400214
2020-01-27,236.86434423294304
2020-01-28,230.42603759421928
2020-01-29,226.7605604882726
2020-01-30,233.846462589897
2020-01-31,235.73640519425356
2020-02-03,238.07977447623443
2020-02-04,237.69051012301102
2020-02-05,239.79537965808592
2020-02-06,239.33110539202377
2020-02-07,238.89961157789682
2020-02-10,241.39262454612683
2020-02-11,238.41832346804463
2020-02-12,242.55964269943323
2020-02-13,242.28390679669687
2020-02-14,248.97541928517606
2020-02-17,240.0265966809341
2020-02-18,239.7637626960565
2020-02-19,240.33142208383464
2020-02-20,242.38411397038888
2020-02-21,243.69037101864768
2020-02-24,247.17445133931474
2020-02-25,239.4160169236654
2020-02-26,239.90269163093836
2020-02-27,234.1326426643512
2020-02-28,234.30753289851714
2020-03-02,243.2891929222427
2020-03-03,240.74095955858354
2020-03-04,239.68583773770743
2020-03-05,240.33087409030227
2020-03-06,238.1465910272566
2020-03-09,237.15415028322096
2020-03-10,240.4363381294569
2020-03-11,241.771119066554
2020-03-12,246.93447514427928
2020-03-13,255.5376779426718
2020-03-16,261.9083169651045
2020-03-17,257.4259773618394
2020-03-18,262.31055108164327
2020-03-19,256.0520079713172
2020-03-20,254.46314466317907
2020-03-23,245.25882321151676
2020-03-24,246.36290241628612
2020-03-25,254.91018669996265
2020-03-26,253.89245252245897
2020-03-27,251.80004495652852
2020-03-30,249.23172663453775
2020-03-31,253.80926054754602
2020-04-01,252.45864528822213
2020-04-02,250.65684889908977
2020-04-03,253.7154612204657
2020-04-06,257.2971259546027
2020-04-07,253.23174408051923
2020-04-08,253.55533473858458
2020-04-09,254.51598855040822
2020-04-10,252.07837955105373
2020-04-13,251.47848361553162
2020-04-14,259.0775395888155
2020-04-15,257.78549897559446
2020-04-16,251.0242893172628
2020-04-17,248.25505957597915
2020-04-20,248.82486968959924
2020-04-21,245.31770610376577
2020-04-22,237.70184635841758
2020-04-23,234.4511936941139
2020-04-24,230.7651788862117
2020-04-27,235.62141690485558
2020-04-28,233.03668418406437
2020-04-29,228.07695075606597
2020-04-30,230.19001099161002
2020-05-01,231.96889113893764
2020-05-04,229.69832035542828
2020-05-05,240.12552921875528
2020-05-06,241.63307576230685
2020-05-07,251.9872109041755
2020-05-08,254.5502372631313
2020-05-11,249.30645241185724
2020-05-12,250.80957859761358
2020-05-13,247.24630379361352
2020-05-14,250.3439149343742
2020-05-15,260.82622892402713
2020-05-18,255.81841200811203
2020-05-19,248.27725295853153
2020-05-20,244.98086779799522
2020-05-21,244.2647076424965
2020-05-22,244.15948391280503
2020-05-25,240.29239552882035
2020-05-26,236.5441003888152
2020-05-27,237.62236308441092
2020-05-28,244.2572586781887
2020-05-29,248.85654681565734
2020-06-01,243.35880797777543
2020-06-02,247.13228902652327
2020-06-03,245.49678057694013
2020-06-04,243.466108457375
2020-06-05,243.4419181493251
2020-06-08,246.35633161950142
2020-06-09,243.58911976602295
2020-06-10,244.5189592852417
2020-06-11,246.2199692208061
2020-06-12,244.05555688881438
2020-06-15,246.06081890876416
2020-06-16,251.85984715088904
2020-06-17,251.48446173688805
2020-06-18,252.82252406218095
2020-06-19,257.0805288263869
2020-06-22,249.32729499019035
2020-06-23,236.33837706018488
2020-06-24,237.6453311411567
2020-06-25,245.2177023825625
2020-06-26,241.18466352956523
