Date,HCA
2020-01-01,71.02956237887548
2020-01-02,70.0525290398555
2020-01-03,70.41400615381677
2020-01-06,68.91763653246771
2020-01-07,71.61934896288068
2020-01-08,70.52151762200509
2020-01-09,67.50548664821562
2020-01-10,70.89920965403532
2020-01-13,72.43619672796532
2020-01-14,69.29781795729768
2020-01-15,66.80123393315824
2020-01-16,66.76678606754906
2020-01-17,67.78463602947517
2020-01-20,67.78231019628113
2020-01-21,67.09122123311893
2020-01-22,67.28431787623946
2020-01-23,68.90247976081933
2020-01-24,69.024925441198
2020-01-27,70.16318641710265
2020-01-28,70.60680768756521
2020-01-29,73.65982114027017
2020-01-30,72.22116413305433
2020-01-31,72.21445662058768
2020-02-03,70.43536177958279
2020-02-04,66.43196134653162
2020-02-05,67.75492988919109
2020-02-06,63.24097477174353
2020-02-07,67.39508938341918
2020-02-10,68.68785280322129
2020-02-11,71.4428133662988
2020-02-12,73.24706899994129
2020-02-13,71.7563477395593
2020-02-14,72.68142949837086
2020-02-17,70.54687647855192
2020-02-18,69.44231880173614
2020-02-19,72.63840270821623
2020-02-20,74.96670894944381
2020-02-21,73.97245350567896
2020-02-24,77.49562607739024
2020-02-25,73.72601783965872
2020-02-26,75.01717515522216
2020-02-27,76.35081700565357
2020-02-28,77.16360497433605
2020-03-02,79.32299821502697
2020-03-03,78.59954606935277
2020-03-04,77.12133575969338
2020-03-05,81.3392338684228
2020-03-06,78.3914238748031
2020-03-09,80.32366109399594
2020-03-10,79.51482831489153
2020-03-11,76.72519920552337
2020-03-12,76.39671181754015
2020-03-13,75.37546399773392
2020-03-16,74.25150263701006
2020-03-17,70.86514365296443
2020-03-18,67.78629175827827
2020-03-19,65.00968275044583
2020-03-20,63.12699254967488
2020-03-23,65.43933012303373
2020-03-24,66.67694603410845
2020-03-25,66.6173937481818
2020-03-26,65.05610210604634
2020-03-27,67.89810218901916
2020-03-30,68.62823793718955
2020-03-31,68.76799592738897
2020-04-01,69.56987951482922
2020-04-02,72.4288179341703
2020-04-03,70.17792221124775
2020-04-06,70.88759103543678
2020-04-07,69.99742267768839
2020-04-08,68.64017176987008
2020-04-09,66.89724146355589
2020-04-10,67.87576964141844
2020-04-13,69.47834953307466
2020-04-14,68.15402941007554
2020-04-15,68.90122359229719
2020-04-16,67.982842418204
2020-04-17,67.87132694146526
2020-04-20,70.05699922118922
2020-04-21,68.52125402885426
2020-04-22,68.46158085223485
2020-04-23,71.40536440742108
2020-04-24,75.84757668639779
2020-04-27,74.996855387243
2020-04-28,75.31430241762405
2020-04-29,72.92235484099236
2020-04-30,72.56161030367977
2020-05-01,73.34671614817826
2020-05-04,71.48361648339969
2020-05-05,71.05134987469589
2020-05-06,73.54028281584085
2020-05-07,76.36190484595582
2020-05-08,78.49633393405789
2020-05-11,79.88488483959149
2020-05-12,80.9863761213536
2020-05-13,81.91390391508168
2020-05-14,80.04439380098873
2020-05-15,83.0389587222807
2020-05-18,78.554012494292
2020-05-19,74.09238683920135
2020-05-20,74.68443462424987
2020-05-21,73.20935185782177
2020-05-22,69.7535169289396
2020-05-25,70.04441659362983
2020-05-26,67.18448140595244
2020-05-27,68.56582582558465
2020-05-28,66.0319864990219
2020-05-29,67.20340114198346
2020-06-01,72.85090371618371
2020-06-02,76.21060610376038
2020-06-03,77.79480073758728
2020-06-04,79.84391396575532
2020-06-05,76.92856376878642
2020-06-08,76.77522217521691
2020-06-09,75.3814209022443
2020-06-10,76.88792280684162
2020-06-11,78.19643252154938
2020-06-12,83.63415518495383
2020-06-15,88.01082817428089
2020-06-16,90.02015031475189
2020-06-17,88.2621732922898
2020-06-18,89.75290634865047
2020-06-19,88.71743345558276
2020-06-22,85.09280816859561
2020-06-23,92.54065303623508
2020-06-24,91.54346223674152
2020-06-25,89.86708093309547
2020-06-26,91.73744042458236
2020-06-29,93.66760524847932
2020-06-30,92.78859705178512
2020-07-01,91.81645176385885
2020-07-02,96.85331900877256
2020-07-03,95.18700646778055
2020-07-06,100.70956875380114
2020-07-07,93.46052312508823
2020-07-08,96.1748480117546
2020-07-09,98.58489887046373
2020-07-10,99.72331231852263
2020-07-13,94.51698317095432
2020-07-14,97.54022656435883
2020-07-15,94.76220273459987
2020-07-16,98.04172709747098
2020-07-17,98.05233645932036
2020-07-20,102.33127737583801
2020-07-21,107.12464340588836
2020-07-22,107.60107088684677
2020-07-23,105.34394422579939
2020-07-24,105.98398917678531
2020-07-27,105.54359857324705
2020-07-28,105.73184335123733
2020-07-29,104.9316341264515
2020-07-30,105.5292565052063
2020-07-31,108.96683059472439
2020-08-03,106.36360581042062
2020-08-04,105.50581541667434
2020-08-05,106.11673943758925
2020-08-06,101.82294913483297
2020-08-07,101.59586595528276
2020-08-10,102.70541929563274
2020-08-11,108.34300771008928
2020-08-12,114.56260533957294
2020-08-13,116.32399409136988
2020-08-14,115.54619181605614
2020-08-17,106.0363472838878
2020-08-18,108.4393991064255
2020-08-19,106.99849313425109
2020-08-20,111.40746350675109
2020-08-21,106.19725125990595
2020-08-24,107.95060089931128
2020-08-25,108.76826410421678
