Date,LOW
2020-01-01,370.9976410177007
2020-01-02,370.724207481034
2020-01-03,375.0787365389669
2020-01-06,370.25353278186384
2020-01-07,371.90495821810765
2020-01-08,379.9770254440529
2020-01-09,375.76352374483844
2020-01-10,377.0059150271628
2020-01-13,368.3701247841676
2020-01-14,368.0898303883212
2020-01-15,366.0789057295092
2020-01-16,366.111915649771
2020-01-17,372.1194901810765
2020-01-20,372.47716549714715
2020-01-21,368.8151580327731
2020-01-22,364.4787444380614
2020-01-23,366.04548486170097
2020-01-24,363.3908385774632
2020-01-27,361.16529737457034
2020-01-28,360.03726096598064
2020-01-29,363.8250948111708
2020-01-30,361.6146785895069
2020-01-31,366.46800841155635
2020-02-03,362.32125692502876
2020-02-04,366.5196652439412
2020-02-05,374.0458727015914
2020-02-06,377.9242948503736
2020-02-07,383.7216248654958
2020-02-10,378.03132339483847
2020-02-11,375.10592229600775
2020-02-12,375.79575125821196
2020-02-13,377.35046666636214
2020-02-14,378.17402881027766
2020-02-17,380.0411781444449
2020-02-18,379.41483655253774
2020-02-19,375.7723668844633
2020-02-20,382.3643986852176
2020-02-21,379.1908971804699
2020-02-24,380.84207490149095
2020-02-25,381.15022343921913
2020-02-26,379.4242928731841
2020-02-27,389.4498556624669
2020-02-28,394.80386179149576
2020-03-02,396.15186871307003
2020-03-03,396.35628820279356
2020-03-04,399.5042139558451
2020-03-05,400.74623181974954
2020-03-06,410.84890552524865
2020-03-09,409.88213574545017
2020-03-10,406.06546066368526
2020-03-11,406.42115750411716
2020-03-12,407.879762849715
2020-03-13,415.48097943196836
2020-03-16,422.4117086011054
2020-03-17,417.5238773348167
2020-03-18,415.9537836904071
2020-03-19,409.6647386576053
2020-03-20,413.45259140126916
2020-03-23,415.4887324108705
2020-03-24,420.2236827176921
2020-03-25,419.40663771846806
2020-03-26,420.0757110213098
2020-03-27,429.6559091662023
2020-03-30,432.6445763110427
2020-03-31,436.67531070804813
2020-04-01,440.07455755515866
2020-04-02,437.48114850801534
2020-04-03,435.6180043565502
2020-04-06,440.69120564588326
2020-04-07,437.7240202796899
2020-04-08,440.44203995797085
2020-04-09,437.34025132773155
2020-04-10,439.3395100677613
2020-04-13,442.1992747365519
2020-04-14,434.49883066224936
2020-04-15,435.28562985745884
2020-04-16,436.19290708128585
2020-04-17,436.2166521449248
2020-04-20,436.747913279353
2020-04-21,432.1638413582294
2020-04-22,439.04269699461776
2020-04-23,434.73970688510263
2020-04-24,435.3186299126333
2020-04-27,438.81663840697263
2020-04-28,437.72959383176294
2020-04-29,440.7344114960283
2020-04-30,436.76114091888127
2020-05-01,441.4398172868104
2020-05-04,440.1871046494799
2020-05-05,439.94661934130403
2020-05-06,437.25870794032016
2020-05-07,431.65157674039256
