Date,KR
2020-01-01,282.29935366035335
2020-01-02,276.1059850008213
2020-01-03,273.9430297860664
2020-01-06,270.1638571111301
2020-01-07,272.14677586071235
2020-01-08,275.6646671993127
2020-01-09,271.9402413805109
2020-01-10,276.4828964109133
2020-01-13,286.2031460793204
2020-01-14,287.1945525609757
2020-01-15,284.9076523096378
2020-01-16,276.54204372808886
2020-01-17,275.02712626734706
2020-01-20,270.266112527285
2020-01-21,266.0816495077697
2020-01-22,270.32414178885546
2020-01-23,270.50469597871194
2020-01-24,273.3289819681207
2020-01-27,273.8827278986103
2020-01-28,279.7937186487243
2020-01-29,281.41072518205794
2020-01-30,280.56621322484995
2020-01-31,275.41701198453177
2020-02-03,272.38300046074306
2020-02-04,272.15380312391767
2020-02-05,275.06686599868357
2020-02-06,270.1708861551511
2020-02-07,278.8945106428869
2020-02-10,281.6771560648561
2020-02-11,281.22752301602924
2020-02-12,280.0187119315409
2020-02-13,278.82733073616726
2020-02-14,277.1297182845373
2020-02-17,277.7528545301263
2020-02-18,275.5035810584527
2020-02-19,276.0720264958494
2020-02-20,276.81864178654195
2020-02-21,278.653243731232
2020-02-24,274.79297294450026
2020-02-25,275.5411978730675
2020-02-26,276.66244064118484
2020-02-27,276.8099897842434
2020-02-28,277.95993829485167
2020-03-02,278.4862996059127
2020-03-03,277.0562336511295
2020-03-04,273.96585796951734
2020-03-05,274.53671742679484
2020-03-06,275.28981824570013
2020-03-09,277.8176922369774
2020-03-10,280.95576904074966
2020-03-11,283.33615149754297
2020-03-12,276.97680023013726
2020-03-13,278.0684292043688
2020-03-16,278.85232920713383
2020-03-17,276.93230699845765
2020-03-18,281.136295548292
2020-03-19,283.104475089455
2020-03-20,285.12321393935093
2020-03-23,287.49754420259245
2020-03-24,284.5028816251334
2020-03-25,284.4670097617144
2020-03-26,279.461363337381
2020-03-27,277.26022007539007
2020-03-30,274.0979493636339
2020-03-31,276.07193734349806
2020-04-01,273.48920072098974
2020-04-02,268.99853717954784
2020-04-03,264.6876841382032
2020-04-06,267.0406697425931
2020-04-07,264.23323934992806
2020-04-08,259.93775580419657
2020-04-09,260.60502771465406
2020-04-10,261.73880404646377
2020-04-13,256.7384670222214
2020-04-14,249.88961803716455
2020-04-15,248.55576620408624
2020-04-16,249.1599901445839
2020-04-17,255.43745546534268
2020-04-20,244.26586957973316
2020-04-21,244.80228678752502
2020-04-22,246.65716155606196
2020-04-23,248.30522731687105
2020-04-24,242.5272517227754
2020-04-27,243.70900201177722
2020-04-28,245.32494438222082
