Date,CMCSA
2020-01-01,66.3635986557338
2020-01-02,64.03260883334374
2020-01-03,65.05035050748384
2020-01-06,66.00418406549862
2020-01-07,65.59558534429218
2020-01-08,64.48718151346293
2020-01-09,64.21451505444661
2020-01-10,64.85817241095245
2020-01-13,65.25774348278145
2020-01-14,64.70365960371376
2020-01-15,63.03299479478627
2020-01-16,63.83039848510852
2020-01-17,64.85624101239121
2020-01-20,64.93960680886384
2020-01-21,66.99174582526211
2020-01-22,68.77340855046084
2020-01-23,71.00941071806105
2020-01-24,72.07889017811543
2020-01-27,73.64825412110234
2020-01-28,71.46324863868713
2020-01-29,73.06256070472641
2020-01-30,71.26565058451818
2020-01-31,72.05421640613247
2020-02-03,71.63829449983596
2020-02-04,71.56740341365195
2020-02-05,70.33128835983575
2020-02-06,71.15195930327597
2020-02-07,68.7334537496343
2020-02-10,70.55631899227797
2020-02-11,68.60519648151325
2020-02-12,72.12270306210429
2020-02-13,69.32084085597882
2020-02-14,71.45260855911678
2020-02-17,71.89053376301736
2020-02-18,71.5346255917942
2020-02-19,70.04051839536999
2020-02-20,70.91285524673697
2020-02-21,73.1290594768292
2020-02-24,73.82199745617271
2020-02-25,70.7011192438234
2020-02-26,68.15527427572785
2020-02-27,68.68377755101109
2020-02-28,67.81756432670458
2020-03-02,69.5441391020217
2020-03-03,68.51881981696332
2020-03-04,70.68094523478096
2020-03-05,70.08052554231789
2020-03-06,74.16393394275357
2020-03-09,72.93147235498336
2020-03-10,72.39229259276865
2020-03-11,70.89506794575726
2020-03-12,70.67398275480537
2020-03-13,68.86882339682123
2020-03-16,72.65191626033865
2020-03-17,72.03932407784067
2020-03-18,77.44819247106786
2020-03-19,77.88027783744603
2020-03-20,79.45930668551487
2020-03-23,78.82883186573038
2020-03-24,79.54012421421362
2020-03-25,80.03897616725078
2020-03-26,77.6774014221521
2020-03-27,73.59105737145754
2020-03-30,77.17460776567714
2020-03-31,78.40428031499128
2020-04-01,77.18990471912844
2020-04-02,78.14818916384168
2020-04-03,78.3702888188785
2020-04-06,80.42210057558263
2020-04-07,77.56627149715496
2020-04-08,78.15305170092128
2020-04-09,76.78110652556461
2020-04-10,75.79469130433338
