Date,LMT
2020-01-01,105.15212474814844
2020-01-02,106.81525614438294
2020-01-03,104.51537112305618
2020-01-06,102.5171183948809
2020-01-07,101.29175349276976
2020-01-08,99.95555420409755
2020-01-09,101.0931756352274
2020-01-10,100.03550161083396
2020-01-13,100.32285993075145
2020-01-14,100.0833210782137
2020-01-15,100.92870915742691
2020-01-16,103.60882737808774
2020-01-17,103.49710437985922
2020-01-20,104.16382397919895
2020-01-21,104.07224429633932
2020-01-22,104.60144046555953
2020-01-23,104.12124071205693
2020-01-24,102.00062530568862
2020-01-27,104.48486440857128
2020-01-28,105.24062234836249
2020-01-29,102.47310605910698
2020-01-30,102.91899659326567
2020-01-31,104.94728557469006
2020-02-03,104.46728449973594
2020-02-04,104.33775827778305
2020-02-05,105.98154925364594
2020-02-06,106.71187615803096
2020-02-07,107.16438679620863
2020-02-10,107.5205657361569
2020-02-11,108.46703539456377
2020-02-12,107.63379269771696
2020-02-13,108.05436592656784
2020-02-14,108.64113908503715
2020-02-17,109.34212231167731
2020-02-18,108.80000892234206
2020-02-19,109.74450779904144
2020-02-20,109.10103599108092
2020-02-21,108.30285223256648
2020-02-24,108.49061938299403
2020-02-25,107.62800256448985
2020-02-26,108.86361812622839
2020-02-27,108.94479394398675
2020-02-28,105.37291139394057
2020-03-02,107.98940585117772
2020-03-03,106.53442136228944
2020-03-04,104.79046743170211
2020-03-05,100.70535199753792
2020-03-06,100.84812945133677
2020-03-09,99.60020713317329
2020-03-10,99.46211910148713
2020-03-11,98.86519402228876
2020-03-12,97.74383605013426
2020-03-13,98.55628833086382
2020-03-16,97.25867595885995
2020-03-17,96.43362963043776
2020-03-18,97.36449046071007
2020-03-19,97.08038104330892
2020-03-20,98.99057842816195
2020-03-23,100.03350509607034
2020-03-24,101.01578445002421
2020-03-25,101.57293780845545
2020-03-26,101.27580734486538
2020-03-27,98.96907453827171
2020-03-30,98.39549743926975
2020-03-31,99.5407810478244
2020-04-01,98.15972270023649
2020-04-02,96.5203269385998
2020-04-03,98.34157001641141
2020-04-06,98.08599910996772
2020-04-07,96.68931214522729
2020-04-08,95.22940541167105
2020-04-09,96.93020693527886
2020-04-10,98.3604733408374
2020-04-13,98.11256062273603
