Date,PEP
2020-01-01,242.21057869471267
2020-01-02,236.71250623527357
2020-01-03,243.9788340969244
2020-01-06,246.64098334190848
2020-01-07,249.65611256315827
2020-01-08,246.6020853346848
2020-01-09,269.3372665093633
2020-01-10,282.23096484350106
2020-01-13,276.7504026685185
2020-01-14,269.5953008413755
2020-01-15,269.96261285536525
2020-01-16,257.7533454691507
2020-01-17,263.47483594542257
2020-01-20,259.8406854677852
2020-01-21,277.1527476152109
2020-01-22,280.619387377468
2020-01-23,288.77182083876727
2020-01-24,293.1077584766851
2020-01-27,287.0214826143003
2020-01-28,279.3281838087576
2020-01-29,286.3508024962266
2020-01-30,290.3152742440613
2020-01-31,284.0123041924256
2020-02-03,287.86869486643064
2020-02-04,302.52076666305425
2020-02-05,304.75008991008553
2020-02-06,310.56141676110207
2020-02-07,319.87846994467884
2020-02-10,302.7778884490948
2020-02-11,317.6105002396998
2020-02-12,327.2036480675511
2020-02-13,330.3281072219989
2020-02-14,325.8508248217532
2020-02-17,310.01006194904744
2020-02-18,303.80263838916153
2020-02-19,299.6798427255246
2020-02-20,304.2884295798815
2020-02-21,317.8709507783699
2020-02-24,323.23998276448907
2020-02-25,314.2220389154541
2020-02-26,318.0788863808912
2020-02-27,323.98283971428936
2020-02-28,344.8009532909944
2020-03-02,352.42262055148365
2020-03-03,354.9930965636528
2020-03-04,337.4799035605373
2020-03-05,345.5356144998719
2020-03-06,354.37673779321455
2020-03-09,349.2237540829027
2020-03-10,344.0639208828287
2020-03-11,359.8678286298296
2020-03-12,358.96429093752505
2020-03-13,360.90596785695715
2020-03-16,358.2153344608089
2020-03-17,351.8082010383263
2020-03-18,362.396842265821
2020-03-19,359.7076242432314
2020-03-20,365.03676122860185
2020-03-23,358.4833492786974
2020-03-24,380.5098624667911
2020-03-25,356.5009896153992
2020-03-26,350.78735898095255
2020-03-27,360.1581763943391
2020-03-30,337.5573505710066
2020-03-31,340.543680625398
2020-04-01,358.44698200513636
2020-04-02,372.8285413120746
2020-04-03,379.5674364358626
2020-04-06,377.7522731738032
2020-04-07,382.1932525096555
2020-04-08,378.62073826621986
2020-04-09,389.5864323654589
2020-04-10,386.5507063605975
2020-04-13,383.63409028085925
2020-04-14,403.88467588231157
2020-04-15,410.80745154561913
2020-04-16,384.11667326515374
2020-04-17,400.6184494663742
2020-04-20,387.59610300299295
2020-04-21,410.17550595885876
2020-04-22,405.5352787913359
2020-04-23,422.61492770328493
2020-04-24,416.70185185472747
2020-04-27,408.7481372742151
2020-04-28,405.3851432840689
2020-04-29,422.8799091620036
2020-04-30,412.0005035694658
2020-05-01,406.3298598641862
2020-05-04,383.4055537331043
2020-05-05,400.79306540327923
2020-05-06,397.94984097356365
2020-05-07,425.5833457684502
2020-05-08,427.8606940886248
2020-05-11,412.72695493198137
2020-05-12,402.3619967445262
2020-05-13,405.44623765992316
2020-05-14,418.1332297697648
2020-05-15,422.1849883300817
2020-05-18,411.43265021321116
2020-05-19,407.1080037644734
2020-05-20,415.1520289121741
2020-05-21,415.79904186162935
2020-05-22,440.445178024729
2020-05-25,445.7305778094597
2020-05-26,445.50785126047845
2020-05-27,443.5335664912109
2020-05-28,454.96232838383565
2020-05-29,467.00995843870226
2020-06-01,488.66657401319037
2020-06-02,510.36281403206704
2020-06-03,515.8061906671464
2020-06-04,539.349576431991
2020-06-05,540.4182698912223
2020-06-08,541.2245271918076
2020-06-09,535.4144320910794
2020-06-10,522.153859269515
2020-06-11,506.7190667304626
2020-06-12,510.7192733388977
2020-06-15,528.1610288689667
2020-06-16,539.8568416392085
2020-06-17,527.5463157979323
2020-06-18,524.3157710726417
2020-06-19,533.5598745251608
2020-06-22,502.97407547816454
2020-06-23,510.69769761495473
2020-06-24,485.7518803046554
2020-06-25,489.91784349955185
2020-06-26,489.7305043463879
2020-06-29,481.64668167486917
2020-06-30,471.1272995818243
2020-07-01,461.9136517760226
2020-07-02,441.0252707624353
2020-07-03,460.8061969428186
2020-07-06,473.2601191808205
2020-07-07,471.5148551857037
2020-07-08,462.7179934726002
2020-07-09,460.2452855982255
2020-07-10,463.3759197466384
2020-07-13,472.32643085040024
2020-07-14,464.9957699054409
2020-07-15,455.4378666404304
2020-07-16,463.7453337961973
2020-07-17,472.5996536358838
2020-07-20,439.5945559578824
2020-07-21,440.18092235037983
2020-07-22,424.2801865421294
2020-07-23,408.2718684934322
2020-07-24,382.485195296293
2020-07-27,379.0757945905922
2020-07-28,397.202017005495
2020-07-29,394.0594228188447
2020-07-30,395.60957237523303
2020-07-31,388.9322367968303
2020-08-03,402.5825248953692
2020-08-04,395.6839918095618
2020-08-05,398.1500252446097
2020-08-06,408.8121879469867
2020-08-07,424.6080171826484
2020-08-10,429.8420527646688
2020-08-11,414.3417335470058
2020-08-12,425.07155743050373
2020-08-13,442.69428324742836
2020-08-14,442.7446267686218
2020-08-17,472.0886019660362
2020-08-18,476.51124360636027
2020-08-19,479.4598097156467
2020-08-20,502.1933295533666
2020-08-21,504.233201546447
2020-08-24,493.07756642969895
2020-08-25,513.088094403948
2020-08-26,535.6457678811227
2020-08-27,547.4517500732396
2020-08-28,565.481127708035
2020-08-31,538.9026671221819
2020-09-01,540.8983034070274
2020-09-02,536.2511558527158
2020-09-03,545.4401579636716
2020-09-04,579.0660105615254
2020-09-07,595.1334415468378
2020-09-08,605.8585261522036
2020-09-09,634.6987425177499
2020-09-10,622.1172938737848
2020-09-11,617.3473387073252
2020-09-14,645.2594409540601
2020-09-15,637.6850367060824
2020-09-16,607.8964248182167
2020-09-17,644.2031475571004
2020-09-18,651.9534762749914
2020-09-21,679.130007707979
2020-09-22,675.6672859996736
2020-09-23,663.716884378541
2020-09-24,639.6819352413802
2020-09-25,622.053501154834
2020-09-28,629.8178052118024
2020-09-29,617.4069947270452
2020-09-30,608.5659873039796
2020-10-01,606.5622910069403
2020-10-02,613.2200878939318
2020-10-05,626.5436359120483
2020-10-06,660.8003788885469
2020-10-07,677.7374677132718
2020-10-08,712.5768626493008
2020-10-09,720.6275167877719
2020-10-12,719.2820076035345
2020-10-13,716.0139296075893
2020-10-14,718.6280700542172
2020-10-15,677.5285976057145
2020-10-16,694.6270417228081
2020-10-19,673.7010563420442
2020-10-20,695.1743665495419
2020-10-21,705.3395902484971
2020-10-22,723.4403978189814
2020-10-23,742.0474983234972
2020-10-26,718.5562186945175
2020-10-27,696.0802910022369
2020-10-28,700.409017375709
2020-10-29,741.1359918246997
2020-10-30,773.4150143443035
2020-11-02,776.8494703700043
2020-11-03,775.3933170971488
2020-11-04,786.8816709409948
2020-11-05,776.5841107965633
2020-11-06,754.0000855357824
2020-11-09,743.1083150311931
2020-11-10,752.5961148620277
2020-11-11,746.041064147142
2020-11-12,746.605702291755
2020-11-13,749.6773687919803
2020-11-16,755.2636949264447
2020-11-17,727.9610623664569
2020-11-18,721.1927127538746
2020-11-19,718.9059589303126
2020-11-20,701.8335376268556
2020-11-23,681.0392457146
2020-11-24,690.9059780776239
2020-11-25,682.6052734507884
2020-11-26,719.3386660964567
2020-11-27,707.7007447235444
2020-11-30,736.8894479548237
2020-12-01,712.7390096074672
2020-12-02,686.2677411444516
2020-12-03,721.322302135334
2020-12-04,730.7988714511748
2020-12-07,708.3185475054399
2020-12-08,717.4406278822048
2020-12-09,694.9586067499605
2020-12-10,695.2095329675672
2020-12-11,709.085904946465
2020-12-14,703.8907617204377
2020-12-15,725.5580927916603
2020-12-16,734.7739207179632
