Date,JNJ
2020-01-01,256.08840309996657
2020-01-02,262.8005816763222
2020-01-03,264.5446294934431
2020-01-06,266.92504396600486
2020-01-07,263.61367456148963
2020-01-08,261.1923773771048
2020-01-09,263.6506624728557
2020-01-10,260.5492200994273
2020-01-13,259.44803166453147
2020-01-14,254.84801195836178
2020-01-15,253.5659144379451
2020-01-16,249.9020677362101
2020-01-17,252.93196777864165
2020-01-20,254.87151933557817
2020-01-21,252.77908338764635
2020-01-22,250.32052135297025
2020-01-23,248.4855587022746
2020-01-24,245.54570841388093
2020-01-27,240.79611307586606
2020-01-28,241.40178482432555
2020-01-29,246.00227049541863
2020-01-30,244.5635919271322
2020-01-31,245.66295596787978
2020-02-03,246.7552486692688
2020-02-04,249.39497812711892
2020-02-05,247.314706459158
2020-02-06,248.21756698294953
2020-02-07,247.87297355861944
2020-02-10,247.92215502948625
2020-02-11,247.2555837965875
2020-02-12,245.82535142747787
2020-02-13,243.78096908059055
2020-02-14,239.08074049283348
2020-02-17,250.4710951075327
2020-02-18,247.17353098063575
2020-02-19,246.86859820905946
2020-02-20,244.05581099784868
2020-02-21,244.99733704105105
2020-02-24,244.5832932712313
2020-02-25,243.09475884136313
2020-02-26,241.42934494344632
2020-02-27,248.763895245573
2020-02-28,251.35846015949028
2020-03-02,248.49442992595553
2020-03-03,244.31032558720858
2020-03-04,242.08306693626932
2020-03-05,238.92548481444382
2020-03-06,237.8277416260144
2020-03-09,238.02648031525533
2020-03-10,235.8669357608681
2020-03-11,234.06193628337297
2020-03-12,231.89555452763406
2020-03-13,232.06395664151194
2020-03-16,232.4994867059167
2020-03-17,229.13216138814437
2020-03-18,225.8998323172243
2020-03-19,226.58314867229777
2020-03-20,227.76274695673487
2020-03-23,225.12202881792783
2020-03-24,230.41763473665614
2020-03-25,228.32314950609918
2020-03-26,224.2945743676637
2020-03-27,226.09904292999164
2020-03-30,225.81419090509024
2020-03-31,224.12593490905383
2020-04-01,224.4721007838654
2020-04-02,224.31429935316936
2020-04-03,225.07561992158674
2020-04-06,226.52416360486663
2020-04-07,228.88252758927842
2020-04-08,231.51651756456997
2020-04-09,225.97820075745327
2020-04-10,220.75927252582412
2020-04-13,222.33346002419768
2020-04-14,220.80452251729469
2020-04-15,222.81694970414352
2020-04-16,223.14250375215292
2020-04-17,226.08510506961386
2020-04-20,221.9339682971404
2020-04-21,219.84790054203359
2020-04-22,213.89454572611294
2020-04-23,212.18322636872887
2020-04-24,211.98040696947092
2020-04-27,210.8422233129043
2020-04-28,207.27944413753008
2020-04-29,205.83015220512812
2020-04-30,205.49224646194503
2020-05-01,212.74070812849334
2020-05-04,215.4892285370132
2020-05-05,211.13371003656871
2020-05-06,214.35108404913345
2020-05-07,209.92775868857441
2020-05-08,209.28929809401936
2020-05-11,215.23054348149577
2020-05-12,214.29542061615908
2020-05-13,218.3622791101609
2020-05-14,223.43145317832776
2020-05-15,225.6412305671942
2020-05-18,221.674728651479
2020-05-19,220.6392575814972
2020-05-20,217.3400764039509
2020-05-21,214.71126030062757
2020-05-22,216.55971680597628
2020-05-25,214.7936960784241
2020-05-26,214.7407461935862
2020-05-27,215.2722296150332
2020-05-28,211.14422580731784
2020-05-29,212.64995689307312
2020-06-01,213.95343993975158
2020-06-02,209.7855234102043
2020-06-03,211.4393496408854
2020-06-04,210.63513565659665
2020-06-05,210.69702867028212
2020-06-08,214.86115455362605
2020-06-09,221.1591201537702
2020-06-10,221.75815676953164
2020-06-11,220.85484881002407
2020-06-12,221.58016985750996
2020-06-15,220.06468605515497
2020-06-16,216.9607964745484
2020-06-17,216.59817575693617
2020-06-18,219.6654595153283
2020-06-19,223.8793178270474
2020-06-22,224.53005560425922
2020-06-23,219.92435941774383
2020-06-24,226.45045298045724
2020-06-25,225.42435089046856
2020-06-26,220.3394675784425
2020-06-29,217.836876024761
2020-06-30,221.93455996000648
2020-07-01,221.8181296349777
2020-07-02,217.12350458880312
2020-07-03,217.70424286326508
2020-07-06,213.53912681103682
2020-07-07,211.55819064734402
2020-07-08,212.8790112013194
2020-07-09,212.56368843349014
2020-07-10,210.81708198594737
2020-07-13,215.49952880360064
2020-07-14,209.6935846977661
2020-07-15,207.88751076702283
2020-07-16,210.81744273592832
2020-07-17,213.68344346888176
2020-07-20,212.82776290919165
2020-07-21,213.87240720097358
2020-07-22,216.17180261828193
2020-07-23,212.25612395738625
2020-07-24,212.67190656472593
2020-07-27,209.6672400827869
2020-07-28,206.81351725530558
2020-07-29,208.3900578120194
2020-07-30,206.43118911653227
2020-07-31,207.18140513010135
2020-08-03,201.97348277665358
2020-08-04,201.96328400433305
2020-08-05,199.88454369739378
2020-08-06,204.04359859049896
2020-08-07,201.82786170805883
2020-08-10,198.03184500113107
2020-08-11,195.70320763947618
2020-08-12,200.89819540206253
