Date,RTX
2020-01-01,437.5165811238295
2020-01-02,431.71444890315803
2020-01-03,429.8435272886567
2020-01-06,432.30797908080797
2020-01-07,427.8710463313354
2020-01-08,433.4678034003294
2020-01-09,427.90131787493755
2020-01-10,429.7877523295681
2020-01-13,428.2919680747015
2020-01-14,428.02799647086704
2020-01-15,426.36848555604837
2020-01-16,433.07359496793225
2020-01-17,423.21900150473965
2020-01-20,424.30440051377997
2020-01-21,424.59681669272925
2020-01-22,427.5037069651107
2020-01-23,424.3568709203376
2020-01-24,426.9574879696832
2020-01-27,426.76833276199574
2020-01-28,417.4521823914342
2020-01-29,412.87439739393784
2020-01-30,410.65507147460704
2020-01-31,408.16924440224443
2020-02-03,413.10639727594634
2020-02-04,407.8556829928654
2020-02-05,413.3537590440674
2020-02-06,415.5022326419445
2020-02-07,414.040062926423
2020-02-10,410.2099841791623
2020-02-11,406.92161924151316
2020-02-12,403.56185390845064
2020-02-13,395.87587150760146
2020-02-14,391.5644683438509
2020-02-17,387.4896862912219
2020-02-18,388.7203990918688
2020-02-19,383.387064208986
2020-02-20,387.3810081669847
2020-02-21,384.21222217058624
2020-02-24,383.4931218624983
2020-02-25,386.88534198993233
2020-02-26,390.53177000686264
2020-02-27,390.69963535989484
2020-02-28,393.70815434871923
2020-03-02,393.590892534589
2020-03-03,395.5565087871734
2020-03-04,395.3180415876001
2020-03-05,392.77483686693404
2020-03-06,393.2488560210873
2020-03-09,387.5207920341718
2020-03-10,383.3108231037082
2020-03-11,380.1563549609553
2020-03-12,378.1452163214311
2020-03-13,382.47646732788985
2020-03-16,383.5406402827916
2020-03-17,377.2184890799173
2020-03-18,376.9646652508385
2020-03-19,372.34547822108834
2020-03-20,367.59733719943654
2020-03-23,369.7358600988811
2020-03-24,369.1797860963541
2020-03-25,371.616376828792
2020-03-26,370.14469956309557
2020-03-27,366.5860285396152
2020-03-30,364.93220053994116
2020-03-31,356.82359594530294
2020-04-01,359.557469377655
2020-04-02,358.5362025369897
2020-04-03,355.7341737366349
2020-04-06,352.72222721970024
2020-04-07,354.32598431638155
2020-04-08,348.80773365845215
2020-04-09,347.96522925323796
2020-04-10,349.5448845946481
2020-04-13,349.9968165900799
2020-04-14,349.49766872209045
2020-04-15,344.54704033268024
2020-04-16,348.477469028115
2020-04-17,349.06688203576584
2020-04-20,351.6963339059945
2020-04-21,354.81444068561825
2020-04-22,354.25758485188925
2020-04-23,355.86015716190434
2020-04-24,351.59489291157064
2020-04-27,360.1545723499425
2020-04-28,358.31261087323725
2020-04-29,350.87360164985853
2020-04-30,352.3652494270648
2020-05-01,355.08207659237104
2020-05-04,353.64219981092634
2020-05-05,355.0188395885501
2020-05-06,357.7780613291571
2020-05-07,360.5854448975726
2020-05-08,363.2122537466827
2020-05-11,362.0350087752397
2020-05-12,359.4227289030293
2020-05-13,367.2319946509047
2020-05-14,369.80165451991843
2020-05-15,370.5056758725485
2020-05-18,370.2945940610605
2020-05-19,373.53332575506244
2020-05-20,368.38784593418455
2020-05-21,375.6065666526161
2020-05-22,377.6914193074186
2020-05-25,370.84901264827386
2020-05-26,369.99615264087186
2020-05-27,361.81789655294216
2020-05-28,359.47522138687157
2020-05-29,359.3533636132035
2020-06-01,358.0472717756964
2020-06-02,352.10258148291507
2020-06-03,352.6036111438929
2020-06-04,347.7248534639253
2020-06-05,345.4715269381877
2020-06-08,344.3214881039421
2020-06-09,343.4579600325316
2020-06-10,347.20873818208116
2020-06-11,346.8791736728767
2020-06-12,343.2243978963213
2020-06-15,339.4726022577377
2020-06-16,343.6990183360037
2020-06-17,340.1717501827612
2020-06-18,347.4125200128727
2020-06-19,347.06317021773793
2020-06-22,350.6969868995404
2020-06-23,362.83829818534457
2020-06-24,368.9676425982286
2020-06-25,373.38275762848974
2020-06-26,376.55332493411964
2020-06-29,377.26053025141744
2020-06-30,381.2564646380088
2020-07-01,386.6282673628443
2020-07-02,393.50848993965997
2020-07-03,393.8295610772484
2020-07-06,399.97380581286666
2020-07-07,401.2422417478676
2020-07-08,405.1124167298408
2020-07-09,394.9261596922746
2020-07-10,396.7892668481117
2020-07-13,404.0761486701529
2020-07-14,402.9229336754884
2020-07-15,391.834330395584
2020-07-16,391.7326959275201
2020-07-17,386.1301438700303
2020-07-20,387.52570063182577
2020-07-21,389.85344824992717
2020-07-22,395.6666695022604
2020-07-23,390.9028752979288
2020-07-24,382.50435581091125
2020-07-27,388.46981171962165
2020-07-28,392.1256915989207
2020-07-29,389.4111931839721
2020-07-30,391.61244800558364
2020-07-31,386.57379271999514
2020-08-03,391.09644760453
2020-08-04,389.6416908590465
2020-08-05,395.5532799202268
2020-08-06,396.4307505846881
2020-08-07,393.74241336579075
2020-08-10,400.0330891958775
2020-08-11,399.7267177096762
2020-08-12,399.86856343533776
2020-08-13,401.26312857217755
2020-08-14,406.74485818186025
2020-08-17,402.2066005846596
2020-08-18,405.66966811265934
2020-08-19,401.7786853746394
2020-08-20,396.06952180336094
2020-08-21,395.06518205089986
2020-08-24,393.96801559717153
2020-08-25,393.1291164503644
2020-08-26,391.3252500660591
2020-08-27,389.89859977565925
2020-08-28,390.65858279957
2020-08-31,388.62777423404583
2020-09-01,389.62373613265277
2020-09-02,390.6629833262755
2020-09-03,387.89065213583416
2020-09-04,381.35051585358053
2020-09-07,386.35376406321956
2020-09-08,386.4043916385612
2020-09-09,388.7401388209397
2020-09-10,388.4526159479662
2020-09-11,384.9034444108913
2020-09-14,385.03836966771314
2020-09-15,378.7769513555802
2020-09-16,373.92110683419287
2020-09-17,366.65649363237793
2020-09-18,363.37578177191983
2020-09-21,365.1289961491728
2020-09-22,366.6485486164667
