Date,NOW
2020-01-01,198.70870250338223
2020-01-02,193.34460612842568
2020-01-03,195.1905628046111
2020-01-06,192.84074400332705
2020-01-07,196.74576080704946
2020-01-08,198.82671007617836
2020-01-09,193.273791720167
2020-01-10,187.5201843704067
2020-01-13,183.95713726652625
2020-01-14,175.09277836940498
2020-01-15,168.8066588114961
2020-01-16,168.0998762068476
2020-01-17,163.01862444061928
2020-01-20,161.07042652491145
2020-01-21,161.3426963298836
2020-01-22,163.4893380526032
2020-01-23,167.6873612986385
2020-01-24,169.528071574902
2020-01-27,174.5009223569763
2020-01-28,177.5103888941521
2020-01-29,174.4565545909075
2020-01-30,171.3842140335314
2020-01-31,166.51255592248106
2020-02-03,171.73557662418298
2020-02-04,177.82682774679856
2020-02-05,179.57807040771078
2020-02-06,177.7384925660275
2020-02-07,183.21924864838886
2020-02-10,176.41364979044866
2020-02-11,174.5344992342392
2020-02-12,172.69689707873127
2020-02-13,172.39988403534718
2020-02-14,161.93752366638145
2020-02-17,157.80993570453015
2020-02-18,150.6222925372786
2020-02-19,150.5531961832175
2020-02-20,149.7348912002906
2020-02-21,149.54326128253365
2020-02-24,150.79130983290247
2020-02-25,151.75667757691164
2020-02-26,153.01696292473196
2020-02-27,156.02616733580808
2020-02-28,161.29796172516873
2020-03-02,164.2676771824268
2020-03-03,161.98903204265068
2020-03-04,166.0833008643121
2020-03-05,162.3510009217553
2020-03-06,159.822371039483
2020-03-09,167.89601010484137
2020-03-10,170.24793149969204
2020-03-11,168.2348539444642
2020-03-12,160.01044557731734
2020-03-13,160.64579464203277
2020-03-16,167.8043808013665
2020-03-17,168.3309574721712
2020-03-18,175.7647603442811
2020-03-19,175.562470854646
2020-03-20,179.13643863211922
2020-03-23,182.03434010829324
2020-03-24,178.8827799905537
2020-03-25,182.45265485885147
2020-03-26,178.87217916707127
2020-03-27,181.67198834088512
2020-03-30,187.70315814821328
2020-03-31,189.34420324569967
2020-04-01,191.50836864723155
2020-04-02,193.4552135487071
2020-04-03,192.52470779707122
