Date,ZS
2020-01-01,154.74819493690433
2020-01-02,154.8296746861067
2020-01-03,157.13562815269268
2020-01-06,156.0967005287573
2020-01-07,154.87808061610713
2020-01-08,158.20402346554238
2020-01-09,155.77537999166444
2020-01-10,156.70791451416142
2020-01-13,154.0539830774175
2020-01-14,155.1949314749949
2020-01-15,157.19621658268102
2020-01-16,157.3946548104432
2020-01-17,156.44840083216417
2020-01-20,155.97283261143605
2020-01-21,153.9928643278188
2020-01-22,150.6548442423103
2020-01-23,147.66311877128447
2020-01-24,147.3775747724284
2020-01-27,145.23692516404952
2020-01-28,146.14695608906138
2020-01-29,147.60012866573857
2020-01-30,147.49617148010668
2020-01-31,148.87720907923136
2020-02-03,149.52787337054184
2020-02-04,149.29674130129254
2020-02-05,148.2352751180276
2020-02-06,146.31215810386544
2020-02-07,149.29124101483538
2020-02-10,147.21261936968847
2020-02-11,146.63491406833518
2020-02-12,148.70832326597483
2020-02-13,146.04707129031863
2020-02-14,144.91493303487306
2020-02-17,146.46135707704843
2020-02-18,148.6480183474448
2020-02-19,149.5358423237652
2020-02-20,145.97264720639274
2020-02-21,146.7496140039118
2020-02-24,144.80562634351725
2020-02-25,143.41602667641325
2020-02-26,144.49811280785997
2020-02-27,145.04428724312464
2020-02-28,145.10406561805195
2020-03-02,146.43765300803665
2020-03-03,147.19653801313623
2020-03-04,146.58301267241086
2020-03-05,147.86632394960287
2020-03-06,147.32509653802595
2020-03-09,145.2309914463585
2020-03-10,146.90072200348044
2020-03-11,145.7181626964192
2020-03-12,145.96439395216365
2020-03-13,146.71338842303794
2020-03-16,146.24719627796813
2020-03-17,148.03963995074812
2020-03-18,148.01186923182786
2020-03-19,150.6992118650806
2020-03-20,154.08710315990118
2020-03-23,155.91812044290572
2020-03-24,158.13108815276726
2020-03-25,159.19151140833162
2020-03-26,156.33292565098
2020-03-27,157.51314725498256
2020-03-30,157.49792892004064
2020-03-31,155.31798962037595
2020-04-01,157.63284255688194
2020-04-02,157.33252305750463
2020-04-03,156.22579383427643
2020-04-06,160.1786711108264
2020-04-07,159.83811237964247
2020-04-08,159.33161297948857
2020-04-09,156.18616000529303
2020-04-10,153.60845396365468
