Date,EA
2020-01-01,68.64289862648292
2020-01-02,67.99381644266799
2020-01-03,67.65554774948235
2020-01-06,68.18970423203362
2020-01-07,67.33193053723508
2020-01-08,66.27205647247787
2020-01-09,67.41710131933178
2020-01-10,67.8124548813211
2020-01-13,68.04772109089994
2020-01-14,68.38379982126472
2020-01-15,68.67739719480933
2020-01-16,69.52234431582451
2020-01-17,69.13020709889469
2020-01-20,70.7481304730261
2020-01-21,71.51009916605102
2020-01-22,70.23737704858235
2020-01-23,70.27086631957664
2020-01-24,70.27091197077652
2020-01-27,70.29292072388185
2020-01-28,70.58989244009169
2020-01-29,70.6510085607287
2020-01-30,70.82264280434205
2020-01-31,70.71479413651976
2020-02-03,70.611290735303
2020-02-04,69.74037547484704
2020-02-05,69.46591267620933
2020-02-06,69.74071453490919
2020-02-07,70.04318258954672
2020-02-10,70.68285107980972
2020-02-11,70.31393580341212
2020-02-12,69.81337027248216
2020-02-13,70.50585909787844
2020-02-14,70.78206564813529
2020-02-17,71.53580688254745
2020-02-18,71.5801335656466
2020-02-19,71.88844286361189
2020-02-20,71.16005951782734
2020-02-21,69.5939347718079
2020-02-24,70.13364791576053
2020-02-25,70.56642487839527
2020-02-26,70.48306704995204
2020-02-27,71.53156802794287
2020-02-28,72.29950322335768
2020-03-02,71.3218485193855
2020-03-03,71.82458747408995
2020-03-04,72.47805077525582
2020-03-05,71.37422709097139
2020-03-06,69.90370142405618
2020-03-09,69.1245976562544
2020-03-10,68.5815875326598
2020-03-11,68.39010505590741
2020-03-12,68.71116510866814
2020-03-13,68.89893544506378
2020-03-16,68.59341021404197
2020-03-17,69.2144501887014
2020-03-18,69.18144227920217
2020-03-19,69.09771661067676
2020-03-20,69.30457601092942
2020-03-23,69.53463993823404
2020-03-24,69.74900138153815
2020-03-25,71.53883061929844
2020-03-26,72.16178103601658
2020-03-27,73.61258876381638
2020-03-30,72.62080110727398
2020-03-31,71.74160194745734
2020-04-01,71.5856463333658
2020-04-02,73.07680647398536
2020-04-03,73.39860781874513
2020-04-06,74.57617329024261
2020-04-07,73.42084924712323
2020-04-08,71.81387704927094
2020-04-09,71.16892068572862
2020-04-10,69.69848931734693
2020-04-13,70.81518720696836
2020-04-14,70.29959470337049
2020-04-15,70.4479156531532
2020-04-16,70.87937772359012
2020-04-17,71.22698141863201
2020-04-20,70.77067031410957
2020-04-21,70.64777495346132
2020-04-22,70.00193513683787
2020-04-23,69.47580640913297
2020-04-24,69.96267985655463
2020-04-27,69.99051167568076
2020-04-28,70.36039841609237
2020-04-29,70.6178874591018
2020-04-30,71.01389736068717
2020-05-01,70.69452098542321
2020-05-04,70.5940291081698
2020-05-05,71.09598109313087
2020-05-06,70.17634128596535
2020-05-07,70.00457910852815
2020-05-08,70.34941351578094
2020-05-11,69.73406972683107
2020-05-12,68.25984441024612
2020-05-13,68.6668623741598
2020-05-14,69.9453497068526
2020-05-15,69.85245542538533
2020-05-18,69.09594678747175
2020-05-19,69.75447914215314
2020-05-20,68.50185043005752
2020-05-21,68.72815812944279
2020-05-22,70.38489638280387
